productId,name,add_prodno,add_prodname
40469,소량떡메모지,40339,OPP봉투
40470,소량떡메모지,40339,OPP봉투
40476,긴팔T-프린트스타(17수),40480,접착식 폴리백
40478,에코백(기존),40480,접착식 폴리백
40479,에코백,40480,접착식 폴리백
40483,포토카드,40484,탑로더
40493,엠보싱금박명함,40123,종이 명함케이스
40493,엠보싱금박명함,40124,반투명 명함케이스
40493,엠보싱금박명함,40590,프리미엄 명함케이스
40494,엠보싱은박명함,40123,종이 명함케이스
40494,엠보싱은박명함,40124,반투명 명함케이스
40494,엠보싱은박명함,40590,프리미엄 명함케이스
40495,엠보싱홀로그램박명함,40123,종이 명함케이스
40495,엠보싱홀로그램박명함,40124,반투명 명함케이스
40495,엠보싱홀로그램박명함,40590,프리미엄 명함케이스
40504,투명엠보싱엽서,40202,엽서봉투(무지)
40505,엠보싱금박엽서,40202,엽서봉투(무지)
40506,엠보싱은박엽서,40202,엽서봉투(무지)
40507,엠보싱홀로그램박엽서,40202,엽서봉투(무지)
40509,벨벳코팅명함,40123,종이 명함케이스
40509,벨벳코팅명함,40124,반투명 명함케이스
40509,벨벳코팅명함,40590,프리미엄 명함케이스
40563,윈도우플래그,40565,압축거치대
40574,미니등신대,40577,등신대 종이거치대
40574,미니등신대,40578,등신대 철제거치대
40575,일반등신대,40577,등신대 종이거치대
40575,일반등신대,40578,등신대 철제거치대
40579,헤더택,40591,비접착 OPP봉투
40585,현수막배너,40586,실내용 배너거치대(일반형)
40589,메쉬현수막,40080,큐방(4cm)
40589,메쉬현수막,40111,로프(3Mx4개)
40599,미니명함,40123,종이 명함케이스
40599,미니명함,40124,반투명 명함케이스
40599,미니명함,40590,프리미엄 명함케이스
40600,개폐형 철제입간판,40603,개폐형 철제입간판
40601,선반형 철제입간판,40604,선반형 철제입간판
40602,걸이형 철제입간판,40605,걸이형 철제입간판
40607,식권,40123,종이 명함케이스
40607,식권,40124,반투명 명함케이스
40607,식권,40590,프리미엄 명함케이스
40609,모양포스터,40117,포스터박스
40609,모양포스터,40118,지관통
40614,모양엽서,40202,엽서봉투(무지)
40615,캔버스엽서,40202,엽서봉투(무지)
40616,포토카드(대량),40484,탑로더
