comp_price_id,comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note,reg_dt,upd_dt,proc_cd,opt_cd
4922,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000092,,,,93.30,용지비 스노우지 300g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4923,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000095,,,,54.87,용지비 앙상블 100g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4924,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000101,,,,71.33,용지비 랑데뷰 WH 240g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4925,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000102,,,,87.80,용지비 랑데뷰 WH 310g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4926,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000104,,,,59.25,용지비 몽블랑 100g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4927,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000105,,,,77.03,용지비 몽블랑 130g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4928,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000106,,,,94.80,용지비 몽블랑 160g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4929,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000107,,,,112.58,용지비 몽블랑 190g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4930,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000108,,,,124.43,용지비 몽블랑 210g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4931,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000109,,,,142.20,용지비 몽블랑 240g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4932,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000113,,,,126.00,용지비 아코팩(웜화이트) 250g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4933,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000114,,,,152.50,용지비 리사이클러스 240g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4934,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000115,,,,167.75,용지비 매쉬멜로우 233g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4935,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000116,,,,295.00,용지비 린넨커버 216g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4936,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000117,,,,337.50,용지비 스타화이트(하이테크) 238g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4937,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000118,,,,480.00,용지비 클래식 크래스트 스티플 270g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4938,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000120,,,,226.86,용지비 매직터치(백색) 250g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4939,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000121,,,,244.00,용지비 켄도 250g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4940,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000125,,,,330.00,용지비 한지 170g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4941,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000126,,,,380.00,용지비 스코트랜드 220g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4942,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000127,,,,407.50,용지비 스타드림(다이아몬드) 240g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4943,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000128,,,,425.00,용지비 스타드림(실버) 240g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4944,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000129,,,,435.00,용지비 스타드림(골드) 240g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4945,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000130,,,,524.00,용지비 스타드림(로즈쿼츠) 240g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4946,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000136,,,,314.00,용지비 뉴에코블랙 400g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4947,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000137,,,,880.00,용지비 큐리어스스킨 화이트 270g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4948,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000138,,,,1242.50,용지비 큐리어스스킨 레드 270g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4949,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000139,,,,1242.50,용지비 큐리어스스킨 다크블루 270g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4950,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000140,,,,1242.50,용지비 큐리어스스킨 바이올렛 270g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4951,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000141,,,,1242.50,용지비 큐리어스스킨 블랙 270g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4952,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000142,,,,100.00,용지비 유니크라프트 260g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4953,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000150,,,,105.00,용지비 뉴크라프트 250g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
4954,COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000151,,,,72.00,용지비 팬시크라프트 120g 국4절(316x467) 절가,2026-06-07 06:18:40.884935,,,
