prd_cd,prd_nm,prd_typ,verdict,prd_min,prd_max,prd_incr,strictest_band_min,loosest_band_min,max_band_start,frm_cd,trap_comps
PRD_000111,벽걸이캘린더,PRD_TYPE.01,OK,1,10000,1,1,1,1000000,PRF_DGP_CAL_WIDE,
PRD_000112,와이드벽걸이캘린더,PRD_TYPE.01,OK,1,10000,1,1,1,1000000,PRF_DGP_CAL_WIDE,
PRD_000131,프레임리스우드액자,PRD_TYPE.01,INFO_MAX,1,1000,1,1,1,1,PRF_POSTER_FRAMELESS,
PRD_000132,레더아트액자,PRD_TYPE.01,INFO_MAX,1,1000,1,1,1,1,PRF_POSTER_LEATHER_FRAME,
PRD_000133,캔버스 행잉포스터,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_POSTER_CANVAS_HANGING,
PRD_000134,린넨 우드봉 족자,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_POSTER_LINEN_WOODBONG,
PRD_000135,족자포스터,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_POSTER_JOKJA,
PRD_000136,PET배너,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_POSTER_PET_BANNER,
PRD_000137,메쉬배너,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_POSTER_MESH_BANNER,
PRD_000138,일반현수막,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_POSTER_BANNER_N,
PRD_000144,미니보드스탠딩,PRD_TYPE.01,TRAP_MIN,1,10000,1,4,4,10000,PRF_POSTER_MINI_STANDBOARD,COMP_POSTER_MINI_STANDBOARD
PRD_000145,미니배너,PRD_TYPE.01,TRAP_MIN,1,10000,1,4,4,10000,PRF_POSTER_MINI_BANNER,COMP_POSTER_MINI_BANNER
PRD_000146,아크릴키링,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_CLR_ACRYL,
PRD_000147,아크릴마그넷,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_CLR_ACRYL,
PRD_000148,아크릴뱃지,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_CLR_ACRYL,
PRD_000149,아크릴집게,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_CLR_ACRYL,
PRD_000150,아크릴스마트톡,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_CLR_ACRYL,
PRD_000152,아크릴명찰,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_CLR_ACRYL,
PRD_000153,아크릴명찰(골드실버),PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_ACRYL_NAMETAG_GS,
PRD_000154,아크릴 머리끈,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_CLR_ACRYL,
PRD_000155,아크릴볼펜,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_ACRYL_BALLPEN,
PRD_000156,아크릴지비츠,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_ZIBITZ_ACRYL,
PRD_000157,아크릴네임택,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_CLR_ACRYL,
PRD_000158,아크릴 포카키링,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_CLR_ACRYL,
PRD_000160,아크릴자유형스탠드,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_ACRYL_FREESTAND,
PRD_000161,판아크릴,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_CLR_ACRYL,
PRD_000162,아크릴포카스탠드,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_CLR_ACRYL,
PRD_000163,아크릴미니파츠,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_ACRYL_MINIPART,
PRD_000166,아크릴카라비너,PRD_TYPE.01,INFO_MAX,1,10000,1,1,1,1,PRF_ACRYL_CARABINER,
PRD_000171,지비츠★,PRD_TYPE.01,OK,(미등록=1),,,1,1,1,PRF_ZIBITZ_ACRYL,
PRD_000172,만년다이어리(소프트커버),PRD_TYPE.01,INFO_MAX,1,500,1,1,1,1,PRF_STN_DIARY_SOFT,
PRD_000173,만년다이어리(하드커버),PRD_TYPE.01,INFO_MAX,1,500,1,1,1,1,PRF_STN_DIARY_HARD,
PRD_000174,만년다이어리(레더하드커버),PRD_TYPE.01,INFO_MAX,1,500,1,1,1,1,PRF_STN_DIARY_LHARD,
PRD_000175,만년다이어리(레더소프트커버),PRD_TYPE.01,INFO_MAX,1,500,1,1,1,1,PRF_STN_DIARY_LSOFT,
PRD_000176,먼슬리플래너,PRD_TYPE.01,INFO_MAX,1,500,1,1,1,1,PRF_STN_MONTHLY,
PRD_000177,스프링노트,PRD_TYPE.02,INFO_MAX,1,1000,1,1,1,1,PRF_STN_SPRINGNOTE,
PRD_000178,스프링수첩,PRD_TYPE.01,INFO_MAX,4,500,4,1,1,1,PRF_STN_SPRINGNOTEBK,
PRD_000179,메모패드,PRD_TYPE.01,INFO_MAX,1,1000,1,1,1,1,PRF_STN_MEMOPAD,
