prd_cd,prd_nm,prd_typ,extract_group,ambiguous,all_groups,pricein_sheet,frm,frm_nm,n_cases,calc_status,priced,pansu_match,pansu_signal,R1_contamination,R3_dflt_ok,n_dflt,OC_score,OC_missing
PRD_000021,핑크별색엽서,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_A,디지털인쇄 원자합산형A 엽서·상품권·슬로건,4,OK,4,0/0,,,False,3,80,spot_color
PRD_000022,금은별색엽서,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_A,디지털인쇄 원자합산형A 엽서·상품권·슬로건,4,OK,4,0/0,,,False,3,80,spot_color
PRD_000023,모양엽서,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_B,디지털인쇄 원자합산형B 모양엽서·라벨택,1,PRICED-0,0,0/0,,,False,3,80,cutting
PRD_000024,포토카드,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_PHOTOCARD_NORMAL,일반포토카드 세트 고정가,1,PRICED-0,0,0/0,,,True,1,29,coating;finish;material;print_opt;spot_color
PRD_000025,투명포토카드,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_PHOTOCARD_CLEAR,투명포토카드 세트 고정가,1,PRICED-0,0,0/0,,,True,1,33,finish;material;print_opt;spot_color
PRD_000026,종이슬로건,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_A,디지털인쇄 원자합산형A 엽서·상품권·슬로건,2,OK,2,0/0,,,True,1,80,coating
PRD_000027,2단접지카드,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_E,디지털인쇄 원자합산형E 접지카드·접지리플렛,5,PRICED-0,4,0/4,100x150:e9/a8;135x135:e6/a8;110x170:e4/a8;170x110:e4/a10,,True,1,83,folding
PRD_000028,미니접지카드,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_E,디지털인쇄 원자합산형E 접지카드·접지리플렛,4,PRICED-0,3,0/0,,,True,1,83,folding
PRD_000029,3단접지카드,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_E,디지털인쇄 원자합산형E 접지카드·접지리플렛,3,PRICED-0,2,0/0,,,True,1,83,folding
PRD_000030,지그재그엽서,PRD_TYPE.01,digital-print,False,digital-print,False,,,0,UNBOUND-NO-PRICE,0,0/0,,,True,1,40,folding;material;print_opt
PRD_000031,프리미엄명함,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_NAMECARD_FIXED,명함 면/소재/수량별 단가(용지포함),0,UNSCORED-축미탑재,0,0/0,,,True,1,80,finish
PRD_000032,코팅명함,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_NAMECARD_FIXED,명함 면/소재/수량별 단가(용지포함),0,UNSCORED-축미탑재,0,0/0,,,False,2,67,coating;finish
PRD_000033,스탠다드명함,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_NAMECARD_FIXED,명함 면/소재/수량별 단가(용지포함),0,UNSCORED-축미탑재,0,0/0,,,False,5,80,finish
PRD_000034,펄명함,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_NAMECARD_PEARL,펄명함(스타드림) 면/소재/수량별 단가(용지포함),0,UNSCORED-축미탑재,0,0/0,,MAT_000128(면끈);MAT_000129(아크릴키링고리),False,4,80,finish
PRD_000035,모양명함,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_NAMECARD_SHAPE,모양명함 면/수량별 단가(용지포함),1,OK,1,0/0,,,True,1,60,cutting;material
PRD_000036,미니모양명함,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_NAMECARD_MINISHAPE,미니모양명함 면/수량별 단가(용지포함),1,OK,1,0/0,,,True,1,60,cutting;material
PRD_000037,오리지널박명함,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_NAMECARD_FOIL,오리지널박명함 박종류/수량별 단가 + 동판셋업비,0,UNSCORED-축미탑재,0,0/0,,MAT_000138(젤리볼펜(가칭));MAT_000139(지비츠부속),False,5,67,material
PRD_000038,형압명함,PRD_TYPE.01,digital-print,False,digital-print,False,,,0,UNBOUND-NO-PRICE,0,0/0,,,False,0,40,finish;material;print_opt
PRD_000039,투명명함,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_NAMECARD_CLEAR,투명명함 수량별 단가(용지포함),0,UNSCORED-축미탑재,0,0/0,,,True,1,33,finish;material;print_opt;spot_color
PRD_000040,화이트인쇄명함,PRD_TYPE.01,digital-print,False,digital-print,False,,,0,UNBOUND-NO-PRICE,0,0/0,,MAT_000138(젤리볼펜(가칭));MAT_000139(지비츠부속),False,4,40,finish;material;spot_color
PRD_000041,스탠다드 쿠폰/상품권,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_A,디지털인쇄 원자합산형A 엽서·상품권·슬로건,2,OK,2,0/0,,,False,4,100,
PRD_000042,프리미엄 쿠폰/상품권,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_A,디지털인쇄 원자합산형A 엽서·상품권·슬로건,2,OK,2,0/0,,MAT_000128(면끈);MAT_000129(아크릴키링고리),False,8,100,
PRD_000043,인쇄배경지(OPP봉투타입),PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_C,디지털인쇄 원자합산형C 인쇄배경지·헤더택,6,OK,6,0/0,,,True,1,80,cutting
PRD_000044,인쇄배경지(투명케이스타입),PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_C,디지털인쇄 원자합산형C 인쇄배경지·헤더택,2,OK,2,0/0,,,True,1,80,folding
PRD_000045,인쇄헤더택,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_C,디지털인쇄 원자합산형C 인쇄배경지·헤더택,4,OK,4,0/0,,,True,1,80,folding
PRD_000046,라벨/택,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_B,디지털인쇄 원자합산형B 모양엽서·라벨택,3,OK,3,0/0,,,True,1,80,cutting
PRD_000047,소량전단지,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_D,디지털인쇄 원자합산형D 소량전단지,4,OK,4,0/0,,MAT_000128(면끈);MAT_000129(아크릴키링고리);MAT_000130(네오디움자석),True,1,83,coating
PRD_000048,접지리플렛,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_FOLD_SUM,접지 합산형(오시+접지 후가공 구성요소),0,UNSCORED-축미탑재,0,0/0,,MAT_000128(면끈);MAT_000129(아크릴키링고리);MAT_000130(네오디움자석),True,1,29,coating;finish;folding;material;print_opt
PRD_000049,와이드 접지리플렛,PRD_TYPE.01,digital-print,False,digital-print,False,,,0,UNBOUND-NO-PRICE,0,0/0,,,False,5,29,coating;finish;folding;material;print_opt
PRD_000050,봉투제작,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_ENV_MAKING,봉투제작 소재/수량별 단가,0,UNSCORED-축미탑재,0,0/0,,MAT_000168(레자크체크백색 110g);MAT_000169(레자크줄무늬백색 110g),False,3,100,
PRD_000051,썬캡,PRD_TYPE.01,digital-print,False,digital-print,False,PRF_DGP_F,디지털인쇄 원자합산형F 썬캡(미출시),1,PRICED-0,0,0/0,,,True,1,100,
PRD_000052,반칼 자유형 스티커,PRD_TYPE.01,sticker,False,sticker,False,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,2,OK,2,0/0,,,False,5,60,cutting;print_opt
PRD_000053,반칼 자유형 투명스티커,PRD_TYPE.01,sticker,False,sticker,False,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,2,OK,2,0/0,,,True,1,50,cutting;print_opt;spot_color
PRD_000054,반칼 자유형 홀로그램스티커,PRD_TYPE.01,sticker,False,sticker,False,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,2,OK,2,0/0,,,True,1,50,cutting;print_opt;spot_color
PRD_000055,낱장 자유형 스티커,PRD_TYPE.01,sticker,False,sticker,False,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,5,OK,5,0/0,,,True,1,60,cutting;print_opt
PRD_000056,낱장 자유형 투명스티커,PRD_TYPE.01,sticker,False,sticker,False,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,5,OK,5,0/0,,,True,1,50,cutting;print_opt;spot_color
PRD_000057,대형 자유형 스티커,PRD_TYPE.01,sticker,False,sticker,False,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,1,OK,1,0/0,,,True,1,60,cutting;print_opt
PRD_000058,반칼원형스티커,PRD_TYPE.01,sticker,False,sticker,False,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,2,OK,2,0/0,,,False,5,60,cutting;print_opt
PRD_000059,반칼정사각스티커,PRD_TYPE.01,sticker,False,sticker,False,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,2,OK,2,0/0,,,False,5,60,cutting;print_opt
PRD_000060,반칼직사각스티커,PRD_TYPE.01,sticker,False,sticker,False,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,2,OK,2,0/0,,,False,5,60,cutting;print_opt
PRD_000061,반칼띠지스티커,PRD_TYPE.01,sticker,False,sticker,False,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,2,OK,2,0/0,,,False,5,60,cutting;print_opt
PRD_000062,반칼팬시스티커,PRD_TYPE.01,sticker,False,sticker,False,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,2,OK,2,0/0,,,False,5,60,cutting;print_opt
PRD_000063,반칼팬시투명스티커,PRD_TYPE.01,sticker,False,sticker,False,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,2,OK,2,0/0,,,True,1,50,cutting;print_opt;spot_color
PRD_000064,소량자유형스티커,PRD_TYPE.01,sticker,False,sticker,False,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,7,OK,7,0/0,,,False,5,60,cutting;print_opt
PRD_000065,스티커팩,PRD_TYPE.01,sticker,False,sticker,False,PRF_STK_PACK,스티커팩 합가형(54장1세트 4000),1,OK,1,0/0,,,False,2,50,material;print_opt
PRD_000066,합판도무송스티커,PRD_TYPE.01,sticker,False,sticker,False,PRF_GANGPAN_FIXED,합판도무송 사이즈/소재/수량별 단가,37,OFFGRID-격자밖,0,0/0,,,False,6,75,print_opt
PRD_000067,타투스티커,PRD_TYPE.01,sticker,False,sticker,False,PRF_STK_TATTOO,타투스티커 합가형(3장당 4000),1,OK,1,0/0,,,True,1,75,print_opt
PRD_000068,중철책자,PRD_TYPE.01,booklet,False,booklet,False,PRF_BIND_SUM,제본 합산형(중철),0,UNSCORED-축미탑재,0,0/0,,,False,2,100,
PRD_000069,무선책자,PRD_TYPE.01,booklet,False,booklet,False,PRF_BIND_MUSEON,제본 합산형(무선),0,UNSCORED-축미탑재,0,0/0,,,False,2,100,
PRD_000070,PUR책자,PRD_TYPE.01,booklet,False,booklet,False,PRF_BIND_PUR,제본 합산형(PUR),0,UNSCORED-축미탑재,0,0/0,,,False,0,100,
PRD_000071,트윈링책자,PRD_TYPE.01,booklet,False,booklet,False,PRF_BIND_TWINRING,제본 합산형(트윈링),0,UNSCORED-축미탑재,0,0/0,,MAT_000013(화이트링);MAT_000014(블랙링);MAT_000015(링 메탈링);MAT_000244(투명커버 유광투명커버);MAT_000245(투명커버 무광투명커버),False,7,100,
PRD_000108,탁상형캘린더,PRD_TYPE.01,design-calendar,True,calendar;design-calendar,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,MAT_000252(삼각대(싸바리));MAT_000253(링 블랙),False,4,100,
PRD_000109,미니탁상형캘린더,PRD_TYPE.01,design-calendar,True,calendar;design-calendar,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,MAT_000253(링 블랙);MAT_000254(삼각대(종이)),False,4,100,
PRD_000110,엽서캘린더,PRD_TYPE.01,design-calendar,True,calendar;design-calendar,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,2,100,
PRD_000111,벽걸이캘린더,PRD_TYPE.01,design-calendar,True,calendar;design-calendar,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,MAT_000253(링 블랙),False,3,100,
PRD_000112,와이드벽걸이캘린더,PRD_TYPE.01,design-calendar,True,calendar;design-calendar,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,MAT_000253(링 블랙),False,4,100,
PRD_000118,아트프린트포스터,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_ARTPRINT,아트프린트포스터 완제품가(면적/규격 단가),2,OK,2,0/0,,,True,1,50,coating;material
PRD_000119,아트페이퍼포스터,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_ARTPAPER,아트페이퍼포스터 완제품가(면적/규격 단가),2,OK,2,0/0,,,True,1,67,material
PRD_000120,방수포스터,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_WATERPROOF,방수포스터 완제품가(면적/규격 단가),2,OK,2,0/0,,,True,1,50,coating;material
PRD_000121,접착방수포스터,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_ADH_WP,접착방수포스터 완제품가(면적/규격 단가),2,OK,2,0/0,,,True,1,50,coating;material
PRD_000122,접착투명포스터,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_ADH_CLEAR,접착투명포스터 완제품가(면적/규격 단가),2,OK,2,0/0,,,True,1,67,material
PRD_000123,아트패브릭포스터,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_ARTFABRIC,아트패브릭포스터 완제품가(면적/규격 단가),2,OK,2,0/0,,,True,1,67,material
PRD_000124,린넨패브릭포스터,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_LINEN,린넨패브릭포스터 완제품가(면적/규격 단가),2,OK,2,0/0,,,True,1,67,material
PRD_000125,캔버스패브릭포스터,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_CANVAS,캔버스패브릭포스터 완제품가(면적/규격 단가),2,OK,2,0/0,,,True,1,67,material
PRD_000126,레더아트프린트,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_LEATHER_AP,레더아트프린트 완제품가(면적/규격 단가),2,OK,2,0/0,,,True,1,67,material
PRD_000127,타이벡프린트,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_TYVEK,타이벡프린트 완제품가(면적/규격 단가),2,OK,2,0/0,,,False,2,67,material
PRD_000128,메쉬프린트,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_MESH,메쉬프린트 완제품가(면적/규격 단가),2,OK,2,0/0,,,True,1,67,material
PRD_000129,폼보드,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_FOAMBOARD,폼보드 완제품가(면적/규격 단가),2,PRICED-0,0,0/0,,,False,0,67,coating
PRD_000130,포맥스보드,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_FOMEXBOARD,포맥스보드 완제품가(면적/규격 단가),2,PRICED-0,0,0/0,,,False,0,67,coating
PRD_000131,프레임리스우드액자,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_FRAMELESS,프레임리스우드액자 완제품가(면적/규격 단가),2,PRICED-0,0,0/0,,,False,0,67,coating
PRD_000132,레더아트액자,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_LEATHER_FRAME,레더아트액자 완제품가(면적/규격 단가),6,PRICED-0,0,0/0,,,False,0,100,
PRD_000133,캔버스 행잉포스터,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_CANVAS_HANGING,캔버스 행잉포스터 완제품가(면적/규격 단가),3,PRICED-0,0,0/0,,,True,1,67,material
PRD_000134,린넨 우드봉 족자,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_LINEN_WOODBONG,린넨 우드봉 족자 완제품가(면적/규격 단가),3,OK,3,0/0,,,True,1,67,material
PRD_000135,족자포스터,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_JOKJA,족자포스터 완제품가(면적/규격 단가),5,PRICED-0,2,0/0,,,True,1,67,material
PRD_000136,PET배너,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_PET_BANNER,PET배너 완제품가(면적/규격 단가),1,OK,1,0/0,,MAT_000223(우드거치대),True,1,50,coating;material
PRD_000137,메쉬배너,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_MESH_BANNER,메쉬배너 완제품가(면적/규격 단가),1,OK,1,0/0,,,True,1,67,material
PRD_000138,일반현수막,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_BANNER_N,일반현수막 완제품가(면적/규격 단가),2,OK,1,0/0,,MAT_000069(양면테입);MAT_000070(설치용끈);MAT_000337(큐방);MAT_000338(각목);MAT_000340(봉제사),True,1,67,material
PRD_000139,메쉬현수막,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_BANNER_M,메쉬현수막 완제품가(면적/규격 단가),2,OK,1,0/0,,MAT_000070(설치용끈),True,1,50,material
PRD_000140,무광시트커팅,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_SHEETCUT_MATTE,무광시트커팅 완제품가(면적/규격 단가),3,PRICED-0,0,0/0,,,False,2,67,material
PRD_000141,홀로그램 시트커팅,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_SHEETCUT_HOLO,홀로그램 시트커팅 완제품가(면적/규격 단가),3,PRICED-0,0,0/0,,,True,1,67,material
PRD_000142,유광아크릴스티커,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_ACRYLSTK_GLOSS,유광아크릴스티커 완제품가(면적/규격 단가),4,OK,4,0/0,,,False,2,67,material
PRD_000143,미러아크릴스티커,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_ACRYLSTK_MIRROR,미러아크릴스티커 완제품가(면적/규격 단가),4,OK,4,0/0,,,False,2,67,material
PRD_000144,미니보드스탠딩,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_MINI_STANDBOARD,미니보드스탠딩 완제품가(면적/규격 단가),3,PRICED-0,0,0/0,,,False,0,100,
PRD_000145,미니배너,PRD_TYPE.01,silsa,False,silsa,False,PRF_POSTER_MINI_BANNER,미니배너 완제품가(면적/규격 단가),2,OK,2,0/0,,,True,1,50,coating;material
PRD_000146,아크릴키링,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_CLR_ACRYL,투명 아크릴 공식,2,OK,2,0/0,,,True,1,100,
PRD_000147,아크릴마그넷,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_CLR_ACRYL,투명 아크릴 공식,2,OK,2,0/0,,,True,1,100,
PRD_000148,아크릴뱃지,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_CLR_ACRYL,투명 아크릴 공식,2,OK,2,0/0,,,True,1,100,
PRD_000149,아크릴집게,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_CLR_ACRYL,투명 아크릴 공식,2,OK,2,0/0,,,True,1,100,
PRD_000150,아크릴스마트톡,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_CLR_ACRYL,투명 아크릴 공식,2,OK,2,0/0,,,True,1,100,
PRD_000151,맥세이프 스마트톡,PRD_TYPE.01,acrylic,False,acrylic,False,,,2,UNBOUND-NO-PRICE,0,0/0,,,True,1,67,material
PRD_000152,아크릴명찰,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_CLR_ACRYL,투명 아크릴 공식,2,OK,2,0/0,,,True,1,100,
PRD_000153,아크릴명찰(골드실버),PRD_TYPE.01,acrylic,False,acrylic,False,PRF_ACRYL_NAMETAG_GS,아크릴명찰(골드실버) 공식,3,OK,3,0/0,,MAT_000195(아크릴(골드));MAT_000196(아크릴(실버)),False,2,67,material
PRD_000154,아크릴 머리끈,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_CLR_ACRYL,투명 아크릴 공식,2,OK,2,0/0,,,True,1,100,
PRD_000155,아크릴볼펜,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_ACRYL_BALLPEN,아크릴볼펜 공식,3,OK,3,0/0,,,True,1,67,material
PRD_000156,아크릴지비츠,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_ACRYL_ZIBITZ_TBD,아크릴지비츠 (★본체 미세격자15mm·가공 슈츠참 단가 확인필요),2,TBD-미설정,0,0/0,,,True,1,67,material
PRD_000157,아크릴네임택,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_CLR_ACRYL,투명 아크릴 공식,0,UNSCORED-축미탑재,0,0/0,,,True,1,100,
PRD_000158,아크릴 포카키링,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_CLR_ACRYL,투명 아크릴 공식,0,UNSCORED-축미탑재,0,0/0,,,True,1,100,
PRD_000159,아크릴 코스터,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_CLR_ACRYL,투명 아크릴 공식,0,UNSCORED-축미탑재,0,0/0,,,True,1,100,
PRD_000160,아크릴자유형스탠드,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_ACRYL_FREESTAND,아크릴자유형스탠드 공식,5,OK,5,0/0,,,True,1,67,material
PRD_000161,판아크릴,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_CLR_ACRYL,투명 아크릴 공식,0,UNSCORED-축미탑재,0,0/0,,,True,1,100,
PRD_000162,아크릴포카스탠드,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_CLR_ACRYL,투명 아크릴 공식,0,UNSCORED-축미탑재,0,0/0,,,True,1,100,
PRD_000163,아크릴미니파츠,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_ACRYL_MINIPART,아크릴미니파츠 공식 (★단가 확인필요),1,TBD-미설정,0,0/0,,,True,1,67,material
PRD_000164,아크릴코롯토,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_COROTTO_ACRYL,아크릴코롯토 공식,2,OK,2,0/0,,,True,1,67,material
PRD_000165,포카코롯토,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_ACRYL_PHCOROTTO_TBD,포카코롯토 (★투명8mm 55x86 단가 확인필요),0,TBD-미설정,0,0/0,,,True,1,67,material
PRD_000166,아크릴카라비너,PRD_TYPE.01,acrylic,False,acrylic,False,PRF_ACRYL_CARABINER,아크릴카라비너 공식,4,OK,4,0/0,,,True,1,67,material
PRD_000168,아크릴입체코롯토,PRD_TYPE.01,(미발견),False,,False,PRF_ACRYL_3DCOROTTO_TBD,아크릴입체코롯토 (★사이즈/자재/단가 미설정),0,TBD-미설정,0,0/0,,,False,0,,
PRD_000169,아크릴입체블럭,PRD_TYPE.01,(미발견),False,,False,PRF_ACRYL_3DBLOCK_TBD,아크릴입체블럭 (★단가 확인필요),0,TBD-미설정,0,0/0,,,True,1,,
PRD_000170,아크릴쉐이커★,PRD_TYPE.01,(미발견),False,,False,PRF_ACRYL_SHAKER_TBD,아크릴쉐이커 (★자재/단가 확인필요),0,TBD-미설정,0,0/0,,,False,0,,
PRD_000171,지비츠★,PRD_TYPE.01,(미발견),False,,False,PRF_ACRYL_ZIBITZ2_TBD,지비츠★ (★사이즈/자재/단가 미설정),0,TBD-미설정,0,0/0,,,True,1,,
PRD_000172,만년다이어리(소프트커버),PRD_TYPE.01,stationery,False,stationery,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,True,1,100,
PRD_000173,만년다이어리(하드커버),PRD_TYPE.01,stationery,False,stationery,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,True,1,100,
PRD_000174,만년다이어리(레더하드커버),PRD_TYPE.01,stationery,False,stationery,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,MAT_000186(레더),True,1,100,
PRD_000175,만년다이어리(레더소프트커버),PRD_TYPE.01,stationery,False,stationery,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,MAT_000186(레더),True,1,100,
PRD_000176,먼슬리플래너,PRD_TYPE.01,stationery,False,stationery,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,2,100,
PRD_000178,스프링수첩,PRD_TYPE.01,stationery,False,stationery,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,3,100,
PRD_000179,메모패드,PRD_TYPE.01,stationery,False,stationery,True,,,0,UNBOUND-PRICE-IN-SHEET,0,0/0,,,False,3,100,
