live_comp,frm_cd,frm_nm,frm_use,prd_cd,prd_nm,prd_use,nonspec,new_codes
COMP_STK_PRINT,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,Y,PRD_000054,반칼 자유형 홀로그램스티커,Y,N,STK_KISSCUT_PRINT / STK_CUT_PRINT / STK_CUT_CLEAR_PRINT / STK_CUT_LARGE_PRINT
COMP_STK_PRINT,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,Y,PRD_000055,낱장 자유형 스티커,Y,N,STK_KISSCUT_PRINT / STK_CUT_PRINT / STK_CUT_CLEAR_PRINT / STK_CUT_LARGE_PRINT
COMP_STK_PRINT,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,Y,PRD_000056,낱장 자유형 투명스티커,Y,N,STK_KISSCUT_PRINT / STK_CUT_PRINT / STK_CUT_CLEAR_PRINT / STK_CUT_LARGE_PRINT
COMP_STK_PRINT,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,Y,PRD_000057,대형 자유형 스티커,Y,N,STK_KISSCUT_PRINT / STK_CUT_PRINT / STK_CUT_CLEAR_PRINT / STK_CUT_LARGE_PRINT
COMP_STK_PRINT,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,Y,PRD_000058,반칼원형스티커,Y,N,STK_KISSCUT_PRINT / STK_CUT_PRINT / STK_CUT_CLEAR_PRINT / STK_CUT_LARGE_PRINT
COMP_STK_PRINT,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,Y,PRD_000059,반칼정사각스티커,Y,N,STK_KISSCUT_PRINT / STK_CUT_PRINT / STK_CUT_CLEAR_PRINT / STK_CUT_LARGE_PRINT
COMP_STK_PRINT,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,Y,PRD_000060,반칼직사각스티커,Y,N,STK_KISSCUT_PRINT / STK_CUT_PRINT / STK_CUT_CLEAR_PRINT / STK_CUT_LARGE_PRINT
COMP_STK_PRINT,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,Y,PRD_000061,반칼띠지스티커,Y,N,STK_KISSCUT_PRINT / STK_CUT_PRINT / STK_CUT_CLEAR_PRINT / STK_CUT_LARGE_PRINT
COMP_STK_PRINT,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,Y,PRD_000062,반칼팬시스티커,Y,N,STK_KISSCUT_PRINT / STK_CUT_PRINT / STK_CUT_CLEAR_PRINT / STK_CUT_LARGE_PRINT
COMP_STK_PRINT,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,Y,PRD_000063,반칼팬시투명스티커,Y,N,STK_KISSCUT_PRINT / STK_CUT_PRINT / STK_CUT_CLEAR_PRINT / STK_CUT_LARGE_PRINT
COMP_STK_PRINT,PRF_STK_FIXED,스티커 규격/소재/수량별 단가,Y,PRD_000064,소량자유형스티커,N,N,STK_KISSCUT_PRINT / STK_CUT_PRINT / STK_CUT_CLEAR_PRINT / STK_CUT_LARGE_PRINT
COMP_STK_TATTOO,PRF_STK_TATTOO,타투스티커 합가형(3장당 4000),Y,PRD_000067,타투스티커,Y,N,STK_TATTOO_SETUP / STK_TATTOO_PRINT
