no,sheet,new_code,new_name,authority_loc,authority_cells,authority_axis,live_comp,live_prc_typ,live_use_dims,live_price_rows,formulas,formula_cnt,products_in_scope,products_out,products
21,포스터사인,POSTER_LEATHER_PRINT,포스터_레더_출력가,r156~r169 c1~c6,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,COMP_POSTER_CANVAS_FABRIC,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52,PRF_POSTER_CANVAS PRF_POSTER_LEATHER_AP PRF_POSTER_MESH PRF_POSTER_TYVEK,4,4,0,PRD_000125:캔버스패브릭포스터 | PRD_000126:레더아트프린트 | PRD_000127:타이벡프린트 | PRD_000128:메쉬프린트
22,포스터사인,POSTER_TYVEK_PRINT,포스터_타이벡_출력가,r175~r188 c1~c6,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,COMP_POSTER_CANVAS_FABRIC,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52,PRF_POSTER_CANVAS PRF_POSTER_LEATHER_AP PRF_POSTER_MESH PRF_POSTER_TYVEK,4,4,0,PRD_000125:캔버스패브릭포스터 | PRD_000126:레더아트프린트 | PRD_000127:타이벡프린트 | PRD_000128:메쉬프린트
23,포스터사인,POSTER_MESH_PRINT,포스터_메쉬_출력가,r194~r207 c1~c6,52,가로 / 세로 | 600mm | 800mm | 1000mm | 1200mm,COMP_POSTER_CANVAS_FABRIC,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",52,PRF_POSTER_CANVAS PRF_POSTER_LEATHER_AP PRF_POSTER_MESH PRF_POSTER_TYVEK,4,4,0,PRD_000125:캔버스패브릭포스터 | PRD_000126:레더아트프린트 | PRD_000127:타이벡프린트 | PRD_000128:메쉬프린트
24,포스터사인,POSTER_PLACARD_PRINT,포스터_일반현수막_출력가,r287~r303 c1~c7,80,가로 / 세로 | 900mm | 1000mm | 1200mm | 1500mm | 1750mm,COMP_POSTER_BANNER_NORMAL,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",80,PRF_POSTER_BANNER_N,1,1,0,PRD_000138:일반현수막
25,포스터사인,POSTER_MESHPLACARD_PRINT,포스터_메쉬현수막_출력가,r310~r326 c1~c5,48,가로 / 세로 | 900mm | 1000mm | 1200mm,COMP_POSTER_BANNER_MESH,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]",48,PRF_POSTER_BANNER_M,1,1,0,PRD_000139:메쉬현수막
26,포스터사인,POSTER_LINEN_FINISHING,포스터_린넨_가공가,r118~r123 c10~c11,5,사이즈 / 가공옵션 | A3 / A2 / A1,COMP_POSTEROPT_LINEN_FINISH,PRICE_TYPE.01,"[""opt_cd""  ""min_qty""]",5,PRF_POSTER_LINEN,1,1,0,PRD_000124:린넨패브릭포스터
27,포스터사인,POSTER_PLACARD_FINISHING,포스터_현수막_가공가,r287~r293 c10~c11,6,가공옵션명,COMP_BANNER_OPTION,PRICE_TYPE.01,"[""opt_cd""  ""min_qty""  ""opt_grp:OPT_000003""]",6,PRF_POSTER_BANNER_N,1,1,0,PRD_000138:일반현수막
28,포스터사인,POSTER_PLACARD_ADDON,포스터_현수막_부자재,r287~r292 c13~c14,5,추가옵션명,COMP_BANNER_ADDON,PRICE_TYPE.01,"[""opt_cd""  ""min_qty""  ""opt_grp:OPT_000004""]",4,PRF_POSTER_BANNER_N,1,1,0,PRD_000138:일반현수막
29,포스터사인,POSTER_HANGINGCANVAS_ADDON,포스터_캔버스행잉_부자재,r251~r253 c10~c13,6,사이즈 / 추가옵션 | A4 | A3 | A2,COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,PRICE_TYPE.01,"[""opt_cd""  ""siz_cd""  ""min_qty""  ""opt_grp:OPT_000283""]",3,PRF_POSTER_CANVAS_HANGING,1,1,0,PRD_000133:캔버스 행잉포스터
30,포스터사인,POSTER_HANGINGLINEN_ADDON,포스터_린넨우드봉_부자재,r260~r262 c10~c13,6,사이즈 / 추가옵션 | A4 | A3 | A2,COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,PRICE_TYPE.01,"[""opt_cd""  ""siz_cd""  ""min_qty""  ""opt_grp:OPT_000266""]",3,PRF_POSTER_LINEN_WOODBONG,1,1,0,PRD_000134:린넨우드봉족자
31,포스터사인,POSTER_FORMBOARD_PRINT,포스터_폼보드_출력가,r213~r215 c1~c4,6,사이즈 / 옵션명 | A3 | A2 | A1,COMP_POSTER_FOAMBOARD_BOARD,PRICE_TYPE.01,"[""opt_cd""  ""siz_cd""  ""min_qty""]",4,PRF_POSTER_FOAMBOARD,1,1,0,PRD_000129:폼보드
32,포스터사인,POSTER_FOAMEX_PRINT,포스터_포맥스_출력가,r221~r223 c1~c4,6,사이즈 / 옵션명 | A3 | A2 | A1,COMP_POSTER_FOMEXBOARD_BOARD,PRICE_TYPE.01,"[""opt_cd""  ""siz_cd""  ""min_qty""]",4,PRF_POSTER_FOMEXBOARD,1,1,0,PRD_000130:포맥스보드
33,포스터사인,POSTER_WOODPANEL_PRINT,포스터_나무판넬_출력가,r229~r230 c1~c4,3,사이즈 / 수량 | A3 | A2 | A1,COMP_POSTER_FRAMELESS_WOOD,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",2,PRF_POSTER_FRAMELESS,1,1,0,PRD_000131:프레임리스우드액자
34,포스터사인,POSTER_LEATHERPANEL_PRINT,포스터_레더아트액자_출력가,r236~r237 c1~c7,6,사이즈 / 수량 | 5x5 | 5x7 | 8x8 | 8x10 | A4 | A3,COMP_POSTER_LEATHER_FRAME,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",6,PRF_POSTER_LEATHER_FRAME,1,1,0,PRD_000132:레더아트액자
35,포스터사인,POSTER_HANGINGSCROLL_PRINT,포스터_족자_출력가,r243~r245 c1~c6,5,사이즈 / 수량 | A3 | A2 | A1 | 300*600 | 900*1200,COMP_POSTER_JOKJA,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",5,PRF_POSTER_JOKJA,1,1,0,PRD_000135:족자포스터
36,포스터사인,POSTER_HANGINGCANVAS_PRINT,포스터_캔버스행잉_제작가,r251~r252 c1~c4,3,사이즈 / 수량 | A4 | A3 | A2,COMP_POSTER_CANVAS_HANGING,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""siz_cd""  ""min_qty""]",3,PRF_POSTER_CANVAS_HANGING,1,1,0,PRD_000133:캔버스 행잉포스터
37,포스터사인,POSTER_HANGINGLINEN_PRINT,포스터_린넨우드봉_제작가,r260~r261 c1~c4,3,사이즈 / 수량 | A4 | A3 | A2,COMP_POSTER_LINEN_WOODBONG,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",3,PRF_POSTER_LINEN_WOODBONG,1,1,0,PRD_000134:린넨우드봉족자
38,포스터사인,POSTER_PETBANNER_PRINT,포스터_PET배너_제작가,r279~r280 c1~c2,1,사이즈 / 수량 | 600x1800 mm,COMP_POSTER_PET_BANNER,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",1,PRF_POSTER_PET_BANNER,1,1,0,PRD_000136:PET배너
39,포스터사인,POSTER_MESHBANNER_PRINT,포스터_메쉬배너_제작가,권위코드오기(D-3),,,COMP_POSTER_MESH_BANNER,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",1,PRF_POSTER_MESH_BANNER,1,1,0,PRD_000137:메쉬배너
40,포스터사인,POSTER_SHEETCUT_FINAL,포스터_시트커팅_제작가,r333~r335 c1~c4,6,사이즈 / 소재 | A4 | A3 | A2,COMP_POSTER_SHEETCUT_MATTE + COMP_POSTER_SHEETCUT_HOLO,,,,PRF_POSTER_SHEETCUT_HOLO PRF_POSTER_SHEETCUT_MATTE,2,2,0,PRD_000140:무광시트커팅 | PRD_000141:홀로그램 시트커팅
41,포스터사인,POSTER_ACRYLICSTICKER_FINAL,포스터_아크릴스티커_제작가,r342~r344 c1~c5,8,사이즈 / 소재 | 290 x 90 mm | 290 x 190 mm | 390 x 290 mm | 590 x 390 mm,COMP_POSTER_ACRYLSTK_GLOSS + COMP_POSTER_ACRYLSTK_MIRROR,,,,PRF_POSTER_ACRYLSTK_GLOSS PRF_POSTER_ACRYLSTK_MIRROR,2,2,0,PRD_000142:유광아크릴스티커 | PRD_000143:미러아크릴스티커
42,포스터사인,POSTER_MINIBOARD_FINAL,포스터_미니스탠딩보드_제작가,r351~r356 c1~c4,15,사이즈 / 수량 | A5 | A4 | A3,COMP_POSTER_MINI_STANDBOARD,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",15,PRF_POSTER_MINI_STANDBOARD,1,1,0,PRD_000144:미니보드스탠딩
43,포스터사인,POSTER_MINIBANNER_FINAL,포스터_미니배너_제작가,r363~r368 c1~c3,10,사이즈 / 수량 | 150x300 mm | 180x420 mm,COMP_POSTER_MINI_BANNER,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",10,PRF_POSTER_MINI_BANNER,1,1,0,PRD_000145:미니배너
