no,sheet,code,name,live_target,plan_rows,formulas_note
25,포스터사인,POSTER_MESHPLACARD_PRINT,포스터_메쉬현수막_출력가,COMP_POSTER_BANNER_MESH,48,메쉬현수막139
26,포스터사인,POSTER_LINEN_FINISHING,포스터_린넨_가공가,COMP_POSTEROPT_LINEN_FINISH,5,마감5
27,포스터사인,POSTER_PLACARD_FINISHING,포스터_현수막_가공가,COMP_BANNER_OPTION,6,가공6+메쉬공용
28,포스터사인,POSTER_PLACARD_ADDON,포스터_현수막_부자재,COMP_BANNER_ADDON,4,부자재4
29,포스터사인,POSTER_HANGINGCANVAS_ADDON,포스터_캔버스행잉_부자재,COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,3,부자재
30,포스터사인,POSTER_HANGINGLINEN_ADDON,포스터_린넨우드봉_부자재,COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,3,부자재
31,포스터사인,POSTER_FORMBOARD_PRINT,포스터_폼보드_출력가,COMP_POSTER_FOAMBOARD_BOARD,4,폼보드
32,포스터사인,POSTER_FOAMEX_PRINT,포스터_포맥스_출력가,COMP_POSTER_FOMEXBOARD_BOARD,4,포맥스
33,포스터사인,POSTER_WOODPANEL_PRINT,포스터_나무판넬_출력가,COMP_POSTER_FRAMELESS_WOOD,2,나무판넬
34,포스터사인,POSTER_LEATHERPANEL_PRINT,포스터_레더아트액자_출력가,COMP_POSTER_LEATHER_FRAME,6,레더아트액자
35,포스터사인,POSTER_HANGINGSCROLL_PRINT,포스터_족자_출력가,COMP_POSTER_JOKJA,5,족자
36,포스터사인,POSTER_HANGINGCANVAS_PRINT,포스터_캔버스행잉_제작가,COMP_POSTER_CANVAS_HANGING,3,캔버스행잉
37,포스터사인,POSTER_HANGINGLINEN_PRINT,포스터_린넨우드봉_제작가,COMP_POSTER_LINEN_WOODBONG,3,린넨우드봉
38,포스터사인,POSTER_PETBANNER_PRINT,포스터_PET배너_제작가,COMP_POSTER_PET_BANNER,1,PET배너
39,포스터사인,POSTER_MESHBANNER_PRINT,포스터_메쉬배너_제작가,COMP_POSTER_MESH_BANNER,1,메쉬배너·코드오기정정D-3
40,포스터사인,POSTER_SHEETCUT_FINAL,포스터_시트커팅_제작가,COMP_POSTER_SHEETCUT_MATTE+HOLO,9,공식2
41,포스터사인,POSTER_ACRYLICSTICKER_FINAL,포스터_아크릴스티커_제작가,COMP_POSTER_ACRYLSTK_GLOSS+MIRROR,8,공식2
42,포스터사인,POSTER_MINIBOARD_FINAL,포스터_미니스탠딩보드_제작가,COMP_POSTER_MINI_STANDBOARD,15,미니스탠딩보드
43,포스터사인,POSTER_MINIBANNER_FINAL,포스터_미니배너_제작가,COMP_POSTER_MINI_BANNER,10,미니배너
