artifact,output_kind,output_key,source_csv,source_detail
01_siz_register.sql,siz_insert,SIZ_000691,areamatrix-siz-registration.csv,ACRYL/160x50 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000692,areamatrix-siz-registration.csv,ACRYL/160x60 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000693,areamatrix-siz-registration.csv,ACRYL/160x70 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000694,areamatrix-siz-registration.csv,ACRYL/160x90 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000695,areamatrix-siz-registration.csv,ACRYL/160x100 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000696,areamatrix-siz-registration.csv,ACRYL/160x120 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000697,areamatrix-siz-registration.csv,ACRYL/160x140 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000698,areamatrix-siz-registration.csv,ACRYL/160x160 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000699,areamatrix-siz-registration.csv,ACRYL/160x180 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000700,areamatrix-siz-registration.csv,ACRYL/160x200 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000701,areamatrix-siz-registration.csv,ACRYL/180x20 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000702,areamatrix-siz-registration.csv,ACRYL/180x30 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000703,areamatrix-siz-registration.csv,ACRYL/180x40 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000704,areamatrix-siz-registration.csv,ACRYL/180x50 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000705,areamatrix-siz-registration.csv,ACRYL/180x60 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000706,areamatrix-siz-registration.csv,ACRYL/180x70 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000707,areamatrix-siz-registration.csv,ACRYL/180x90 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000708,areamatrix-siz-registration.csv,ACRYL/180x100 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000709,areamatrix-siz-registration.csv,ACRYL/180x160 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000710,areamatrix-siz-registration.csv,ACRYL/180x180 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000711,areamatrix-siz-registration.csv,ACRYL/180x200 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000712,areamatrix-siz-registration.csv,ACRYL/200x20 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000713,areamatrix-siz-registration.csv,ACRYL/200x30 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000714,areamatrix-siz-registration.csv,ACRYL/200x40 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000715,areamatrix-siz-registration.csv,ACRYL/200x50 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000716,areamatrix-siz-registration.csv,ACRYL/200x60 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000717,areamatrix-siz-registration.csv,ACRYL/200x80 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000718,areamatrix-siz-registration.csv,ACRYL/200x90 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000719,areamatrix-siz-registration.csv,ACRYL/200x120 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000720,areamatrix-siz-registration.csv,ACRYL/200x160 (NONE→new)
01_siz_register.sql,siz_insert,SIZ_000721,areamatrix-siz-registration.csv,ACRYL/200x180 (NONE→new)
02_component_prices.sql,price_insert,comp_price_id=1140,t_prc_component_prices.csv,line:1141|siz:SIZ_000329|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1141,t_prc_component_prices.csv,line:1142|siz:SIZ_000494|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1142,t_prc_component_prices.csv,line:1143|siz:SIZ_000230|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1144,t_prc_component_prices.csv,line:1145|siz:SIZ_000651|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1145,t_prc_component_prices.csv,line:1146|siz:SIZ_000657|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1146,t_prc_component_prices.csv,line:1147|siz:SIZ_000660|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1147,t_prc_component_prices.csv,line:1148|siz:SIZ_000666|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1148,t_prc_component_prices.csv,line:1149|siz:SIZ_000671|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1149,t_prc_component_prices.csv,line:1150|siz:SIZ_000678|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1150,t_prc_component_prices.csv,line:1151|siz:SIZ_000688|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1151,t_prc_component_prices.csv,line:1152|siz:SIZ_000701|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1152,t_prc_component_prices.csv,line:1153|siz:SIZ_000712|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1155,t_prc_component_prices.csv,line:1156|siz:SIZ_000226|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1157,t_prc_component_prices.csv,line:1158|siz:SIZ_000645|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1158,t_prc_component_prices.csv,line:1159|siz:SIZ_000332|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1160,t_prc_component_prices.csv,line:1161|siz:SIZ_000661|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1161,t_prc_component_prices.csv,line:1162|siz:SIZ_000667|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1162,t_prc_component_prices.csv,line:1163|siz:SIZ_000672|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1163,t_prc_component_prices.csv,line:1164|siz:SIZ_000679|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1164,t_prc_component_prices.csv,line:1165|siz:SIZ_000689|comp:COMP_ACRYL_CLEAR3T
02_component_prices.sql,price_insert,comp_price_id=1165,t_prc_component_prices.csv,line:1166|siz:SIZ_000702|comp:COMP_ACRYL_CLEAR3T
