mat_cd	mat_nm	mat_typ_cd	upr_mat_cd	sel_typ_cd	max_sel_cnt	width	height	depth	weight	bdl_qty	use_yn	note	reg_dt	upd_dt	del_yn	del_dt
MAT_000057	블랙헤어끈	MAT_TYPE.07	MAT_000045								Y		2026-06-03 12:46:02.974607	2026-06-16 18:48:57.42885	N	
MAT_000058	굿즈부속	MAT_TYPE.07		SEL_TYPE.02							Y	D9	2026-06-03 12:46:02.974607	2026-06-16 18:47:37.05328	Y	2026-06-16 18:47:37.051377
MAT_000059	굿즈부속 라벨	MAT_TYPE.07	MAT_000058								Y		2026-06-03 12:46:02.974607	2026-06-16 18:47:37.049596	Y	2026-06-16 18:47:37.047314
MAT_000060	맥세이프 스마트톡	MAT_TYPE.07	MAT_000045								Y		2026-06-03 12:46:02.974607	2026-06-16 18:47:22.093497	N	
MAT_000061	파우치	MAT_TYPE.05		SEL_TYPE.01							Y	D-23 v2	2026-06-03 12:46:02.974607	2026-06-16 18:46:11.95094	Y	2026-06-16 18:46:11.947992
MAT_000062	파우치 블랙	MAT_TYPE.05	MAT_000061								Y		2026-06-03 12:46:02.974607	2026-06-16 18:46:11.944656	Y	2026-06-16 18:46:11.942724
MAT_000063	파우치 화이트	MAT_TYPE.05	MAT_000061								Y		2026-06-03 12:46:02.974607	2026-06-16 18:46:11.94045	Y	2026-06-16 18:46:11.935508
MAT_000064	파우치 반투명	MAT_TYPE.05	MAT_000061								Y		2026-06-03 12:46:02.974607	2026-06-16 18:46:11.932488	Y	2026-06-16 18:46:11.927068
MAT_000065	파우치 투명	MAT_TYPE.05	MAT_000061								Y		2026-06-03 12:46:02.974607	2026-06-16 18:46:11.925242	Y	2026-06-16 18:46:11.923352
MAT_000066	파우치 멜란지	MAT_TYPE.05	MAT_000061								Y		2026-06-03 12:46:02.974607	2026-06-16 18:46:11.921498	Y	2026-06-16 18:46:11.919513
MAT_000067	파우치 청보라	MAT_TYPE.05	MAT_000061								Y		2026-06-03 12:46:02.974607	2026-06-16 18:46:11.915757	Y	2026-06-16 18:46:11.913894
MAT_000068	실사소재	MAT_TYPE.08		SEL_TYPE.01							Y	Wave 5 D-30	2026-06-03 12:46:02.974607	2026-06-16 18:45:24.357973	Y	2026-06-16 18:45:24.367594
MAT_000069	양면테입	MAT_TYPE.07		SEL_TYPE.01							Y	D9-1	2026-06-03 12:46:02.974607	2026-06-16 18:46:11.911882	Y	2026-06-16 18:46:11.909995
MAT_000070	끈	MAT_TYPE.07		SEL_TYPE.01							Y		2026-06-03 12:46:02.974607	2026-06-16 19:11:13.39351	Y	2026-06-16 19:11:13.391573
MAT_000071	백모조	MAT_TYPE.01		SEL_TYPE.01							Y	IMPORT 약어/base 기준 root (3 자식)	2026-06-03 12:46:02.974607	2026-06-16 18:56:00.383889	Y	2026-06-16 18:56:00.38189
MAT_000072	백색모조지 100g	MAT_TYPE.01	MAT_000071			316.00	467.00		100.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000073	백색모조지 120g	MAT_TYPE.01	MAT_000071			316.00	467.00		120.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000074	백색모조지 220g	MAT_TYPE.01	MAT_000071			316.00	467.00		220.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000075	아트	MAT_TYPE.01		SEL_TYPE.01							Y	IMPORT 약어/base 기준 root (9 자식)	2026-06-03 12:46:02.974607	2026-06-16 18:55:35.223283	Y	2026-06-16 18:55:35.22096
MAT_000076	아트지 100g	MAT_TYPE.01	MAT_000075			316.00	467.00		100.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000077	아트지 120g	MAT_TYPE.01	MAT_000075			316.00	467.00		120.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000078	아트지 150g	MAT_TYPE.01	MAT_000075			316.00	467.00		150.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000079	아트지 180g	MAT_TYPE.01	MAT_000075			316.00	467.00		180.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000080	아트지 200g	MAT_TYPE.01	MAT_000075			316.00	467.00		200.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000081	아트지 250g	MAT_TYPE.01	MAT_000075			316.00	467.00		250.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000082	아트지 300g	MAT_TYPE.01	MAT_000075			316.00	467.00		300.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000083	아트지 150g (3절)	MAT_TYPE.01	MAT_000075			316.00	467.00		150.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000084	비코팅스티커	MAT_TYPE.13				316.00	467.00		90.00		Y	| 정정 2026-06-14: 자재유형 종이(.01)→스티커(.11) 점착지	2026-06-03 12:46:02.974607	2026-06-16 18:55:43.372034	N	
MAT_000085	스노우	MAT_TYPE.01		SEL_TYPE.01							Y	IMPORT 약어/base 기준 root (8 자식)	2026-06-03 12:46:02.974607	2026-06-16 18:55:10.881228	Y	2026-06-16 18:55:10.876193
