code,display_name,raw_value_json,unit,semantic_axis,product_bindings,price_dependent,source,note
MAT_000073,백색모조지 120g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000071"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,10,Y,both,price_dep_rows=1
MAT_000074,백색모조지 220g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000071"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,11,Y,both,price_dep_rows=3
MAT_000076,아트지 100g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000075"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,4,Y,both,price_dep_rows=1
MAT_000077,아트지 120g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000075"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,7,Y,both,price_dep_rows=1
MAT_000078,아트지 150g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000075"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,8,Y,both,price_dep_rows=1
MAT_000079,아트지 180g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000075"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,7,Y,both,price_dep_rows=1
MAT_000080,아트지 200g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000075"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,7,Y,both,price_dep_rows=1
MAT_000081,아트지 250g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000075"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,12,Y,both,price_dep_rows=3
MAT_000082,아트지 300g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000075"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,15,Y,both,price_dep_rows=5
MAT_000083,아트지 150g (3절),"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000075"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,0,N,live,
MAT_000084,비코팅스티커,"{""mat_typ_cd"": ""MAT_TYPE.13"", ""upr_mat_cd"": null, ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,합판스티커용지,9,Y,both,price_dep_rows=653
MAT_000086,스노우지 100g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000085"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,4,Y,both,price_dep_rows=1
MAT_000087,스노우지 120g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000085"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,7,Y,both,price_dep_rows=1
MAT_000088,스노우지 150g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000085"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,7,Y,both,price_dep_rows=1
MAT_000089,스노우지 180g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000085"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,7,Y,both,price_dep_rows=1
MAT_000090,스노우지 200g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000085"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,10,Y,both,price_dep_rows=1
MAT_000091,스노우지 250g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000085"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,14,Y,both,price_dep_rows=1
MAT_000092,스노우지 300g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000085"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,12,Y,both,price_dep_rows=1
MAT_000093,스노우지 250g (3절),"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000085"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,1,N,both,
MAT_000095,앙상블 100g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000094"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,5,Y,both,price_dep_rows=1
MAT_000096,앙상블 130g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000094"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,5,Y,both,price_dep_rows=1
MAT_000097,앙상블 160g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000094"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,5,Y,both,price_dep_rows=1
MAT_000098,앙상블 190g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000094"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,5,Y,both,price_dep_rows=1
MAT_000099,앙상블 210g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000094"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,5,Y,both,price_dep_rows=1
MAT_000101,랑데뷰 WH 240g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000100"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,7,Y,both,price_dep_rows=1
MAT_000102,랑데뷰 WH 310g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000100"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,3,Y,both,price_dep_rows=1
MAT_000104,몽블랑 100g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000103"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,7,Y,both,price_dep_rows=1
MAT_000105,몽블랑 130g,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": ""MAT_000103"", ""width"": ""316.00"", ""height"": ""467.00"", ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,13,Y,both,price_dep_rows=1
