table_name	conname	def
t_prd_product_plate_sizes	fk_prd_product_plt_siz_siz_cd	FOREIGN KEY (siz_cd) REFERENCES t_siz_sizes(siz_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_price_formulas	fk_prd_prc_frm_frm_cd	FOREIGN KEY (frm_cd) REFERENCES t_prc_price_formulas(frm_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_price_formulas	fk_prd_prc_frm_prd_cd	FOREIGN KEY (prd_cd) REFERENCES t_prd_products(prd_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_prices	fk_prd_product_prices_prd_cd	FOREIGN KEY (prd_cd) REFERENCES t_prd_products(prd_cd) ON UPDATE CASCADE ON DELETE CASCADE
t_prd_product_print_options	fk_prd_prnt_opt_back_colrcnt_cd	FOREIGN KEY (back_colrcnt_cd) REFERENCES t_clr_color_counts(clr_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_print_options	fk_prd_prnt_opt_front_colrcnt_cd	FOREIGN KEY (front_colrcnt_cd) REFERENCES t_clr_color_counts(clr_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_print_options	fk_prd_product_prnt_opt_prd_cd	FOREIGN KEY (prd_cd) REFERENCES t_prd_products(prd_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_processes	fk_prd_product_procs_prd_cd	FOREIGN KEY (prd_cd) REFERENCES t_prd_products(prd_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_processes	fk_prd_product_procs_proc_cd	FOREIGN KEY (proc_cd) REFERENCES t_proc_processes(proc_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_products	fk_prd_products_prd_typ_cd	FOREIGN KEY (prd_typ_cd) REFERENCES t_cod_base_codes(cod_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_products	fk_prd_products_qty_unit_typ_cd	FOREIGN KEY (qty_unit_typ_cd) REFERENCES t_cod_base_codes(cod_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_products	fk_prd_products_semi_role_cd	FOREIGN KEY (semi_role_cd) REFERENCES t_cod_base_codes(cod_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_sets	fk_prd_product_sets_prd_cd	FOREIGN KEY (prd_cd) REFERENCES t_prd_products(prd_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_sets	fk_prd_product_sets_sub_prd_cd	FOREIGN KEY (sub_prd_cd) REFERENCES t_prd_products(prd_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_sizes	fk_prd_product_sizes_prd_cd	FOREIGN KEY (prd_cd) REFERENCES t_prd_products(prd_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_product_sizes	fk_prd_product_sizes_siz_cd	FOREIGN KEY (siz_cd) REFERENCES t_siz_sizes(siz_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_templates	fk_prd_templates_base_prd_cd	FOREIGN KEY (base_prd_cd) REFERENCES t_prd_products(prd_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_template_selections	fk_prd_tmpl_sel_ref_dim_cd	FOREIGN KEY (ref_dim_cd) REFERENCES t_cod_base_codes(cod_cd) ON UPDATE CASCADE ON DELETE RESTRICT
t_prd_template_selections	fk_prd_tmpl_sel_tmpl_cd	FOREIGN KEY (tmpl_cd) REFERENCES t_prd_templates(tmpl_cd) ON UPDATE CASCADE ON DELETE CASCADE
t_proc_processes	fk_proc_processes_upr_proc_cd	FOREIGN KEY (upr_proc_cd) REFERENCES t_proc_processes(proc_cd) ON UPDATE CASCADE ON DELETE RESTRICT
(71 rows)
