kind,prd_cd,frm_cd,code,name,extra,conf
UNCOVERED_PROCESS,PRD_000129,PRF_POSTER_FOAMBOARD,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000129,PRF_POSTER_FOAMBOARD,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000130,PRF_POSTER_FOMEXBOARD,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000130,PRF_POSTER_FOMEXBOARD,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000131,PRF_POSTER_FRAMELESS,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000131,PRF_POSTER_FRAMELESS,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000133,PRF_POSTER_CANVAS_HANGING,PROC_000080,봉제,,REVIEW
UNCOVERED_PROCESS,PRD_000134,PRF_POSTER_LINEN_WOODBONG,PROC_000080,봉제,,REVIEW
UNCOVERED_PROCESS,PRD_000135,PRF_POSTER_JOKJA,PROC_000082,족자제작,,REVIEW
UNCOVERED_PROCESS,PRD_000136,PRF_POSTER_PET_BANNER,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000136,PRF_POSTER_PET_BANNER,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000136,PRF_POSTER_PET_BANNER,PROC_000079,타공,,REVIEW
UNCOVERED_PROCESS,PRD_000137,PRF_POSTER_MESH_BANNER,PROC_000079,타공,,REVIEW
UNCOVERED_PROCESS,PRD_000138,PRF_POSTER_BANNER_N,PROC_000080,봉제,,REVIEW
UNCOVERED_PROCESS,PRD_000138,PRF_POSTER_BANNER_N,PROC_000081,부착,,REVIEW
UNCOVERED_PROCESS,PRD_000138,PRF_POSTER_BANNER_N,PROC_000084,열재단,,REVIEW
UNCOVERED_PROCESS,PRD_000139,PRF_POSTER_BANNER_M,PROC_000081,부착,,REVIEW
UNCOVERED_PROCESS,PRD_000139,PRF_POSTER_BANNER_M,PROC_000084,열재단,,REVIEW
UNCOVERED_PROCESS,PRD_000145,PRF_POSTER_MINI_BANNER,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000145,PRF_POSTER_MINI_BANNER,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000146,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000147,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000147,PRF_CLR_ACRYL,PROC_000081,부착,,REVIEW
