prd_cd,frm_cd,comp_cd,comp_nm,price_rows,kind,conf
PRD_000027,PRF_DGP_E,COMP_FOLD_LEAF_3FOLD,접지비 리플렛 3단,144,OPT_NOTSEL,REVIEW
PRD_000027,PRF_DGP_E,COMP_FOLD_LEAF_4ACC,접지비 리플렛 4단아코디언,48,OPT_NOTSEL,REVIEW
PRD_000027,PRF_DGP_E,COMP_FOLD_LEAF_4GATE,접지비 리플렛 4단게이트,48,OPT_NOTSEL,REVIEW
PRD_000027,PRF_DGP_E,COMP_CUT_PERF_1H6,타공비 (6mm),18,OPT_NOTSEL,REVIEW
PRD_000028,PRF_DGP_E,COMP_COAT_GLOSSY,유광코팅비,138,OPT_NOTSEL,REVIEW
PRD_000028,PRF_DGP_E,COMP_COAT_MATTE,무광코팅비,138,OPT_NOTSEL,REVIEW
PRD_000028,PRF_DGP_E,COMP_FOLD_LEAF_3FOLD,접지비 리플렛 3단,144,OPT_NOTSEL,REVIEW
PRD_000028,PRF_DGP_E,COMP_FOLD_LEAF_4ACC,접지비 리플렛 4단아코디언,48,OPT_NOTSEL,REVIEW
PRD_000028,PRF_DGP_E,COMP_FOLD_LEAF_4GATE,접지비 리플렛 4단게이트,48,OPT_NOTSEL,REVIEW
PRD_000028,PRF_DGP_E,COMP_CUT_PERF_1H6,타공비 (6mm),18,OPT_NOTSEL,REVIEW
PRD_000029,PRF_DGP_E,COMP_COAT_GLOSSY,유광코팅비,138,OPT_NOTSEL,REVIEW
PRD_000029,PRF_DGP_E,COMP_COAT_MATTE,무광코팅비,138,OPT_NOTSEL,REVIEW
PRD_000029,PRF_DGP_E,COMP_FOLD_LEAF_HALF,접지비 리플렛 반접지,144,OPT_NOTSEL,REVIEW
PRD_000029,PRF_DGP_E,COMP_FOLD_LEAF_4ACC,접지비 리플렛 4단아코디언,48,OPT_NOTSEL,REVIEW
PRD_000029,PRF_DGP_E,COMP_FOLD_LEAF_4GATE,접지비 리플렛 4단게이트,48,OPT_NOTSEL,REVIEW
PRD_000029,PRF_DGP_E,COMP_CUT_PERF_1H6,타공비 (6mm),18,OPT_NOTSEL,REVIEW
PRD_000030,PRF_DGP_C_6CR,COMP_CUT_PERF_1H6,타공비 (6mm),18,OPT_NOTSEL,REVIEW
