comp_price_id,comp_cd,placeholder_siz,W,H,target_siz_cd,status
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_40x120,40,120,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_50x120,50,120,SIZ_000365,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_60x120,60,120,SIZ_000357,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_80x120,80,120,SIZ_000080,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_90x120,90,120,SIZ_000082,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_100x120,100,120,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_140x120,140,120,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_160x120,160,120,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_180x120,180,120,SIZ_000361,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_200x120,200,120,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_20x140,20,140,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_30x140,30,140,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_40x140,40,140,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_50x140,50,140,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_60x140,60,140,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_70x140,70,140,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_80x140,80,140,SIZ_000045,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_90x140,90,140,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_120x140,120,140,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_140x140,140,140,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_160x140,160,140,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_180x140,180,140,SIZ_000092,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_200x140,200,140,SIZ_000093,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_20x160,20,160,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_30x160,30,160,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_40x160,40,160,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_50x160,50,160,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_60x160,60,160,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_70x160,70,160,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_80x160,80,160,SIZ_000046,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_90x160,90,160,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_100x160,100,160,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_120x160,120,160,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_140x160,140,160,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_160x160,160,160,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_180x160,180,160,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_200x160,200,160,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_20x180,20,180,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_30x180,30,180,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_40x180,40,180,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_50x180,50,180,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_60x180,60,180,,NEW
