prd_cd,siz_cd,dflt_plt_yn,output_paper_typ_cd,output_file_typ,note,reg_dt,upd_dt
PRD_000028,SIZ_000131,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000028,SIZ_000134,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000029,SIZ_000136,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000029,SIZ_000138,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000029,SIZ_000140,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000029,SIZ_000141,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000030,SIZ_000142,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000030,SIZ_000143,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000031,SIZ_000144,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000031,SIZ_000145,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000031,SIZ_000146,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000032,SIZ_000144,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000032,SIZ_000146,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000033,SIZ_000144,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000033,SIZ_000146,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000034,SIZ_000144,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000035,SIZ_000147,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000036,SIZ_000148,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000037,SIZ_000008,Y,,AI,파일사양,2026-06-03 12:46:02.974607,
PRD_000038,SIZ_000144,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000039,SIZ_000144,Y,OUTPUT_PAPER_TYPE.03,PDF(W),파일사양,2026-06-03 12:46:02.974607,
PRD_000040,SIZ_000144,Y,OUTPUT_PAPER_TYPE.03,PDF(W/C),파일사양,2026-06-03 12:46:02.974607,
PRD_000041,SIZ_000149,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000041,SIZ_000150,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000042,SIZ_000149,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000042,SIZ_000150,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000002,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000151,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000152,Y,,AI,파일사양,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000153,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000154,Y,,AI,파일사양,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000155,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000156,Y,,AI,파일사양,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000157,Y,,AI,파일사양,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000158,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000159,Y,,AI,파일사양,2026-06-03 12:46:02.974607,
PRD_000043,SIZ_000160,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000044,SIZ_000161,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000044,SIZ_000162,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000044,SIZ_000163,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000044,SIZ_000164,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000045,SIZ_000165,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000045,SIZ_000166,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000045,SIZ_000167,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000045,SIZ_000168,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000046,SIZ_000132,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000046,SIZ_000148,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000046,SIZ_000169,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000047,SIZ_000171,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000047,SIZ_000173,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000047,SIZ_000175,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000047,SIZ_000177,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000048,SIZ_000178,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000048,SIZ_000179,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000048,SIZ_000180,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000048,SIZ_000181,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000048,SIZ_000182,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000048,SIZ_000184,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000049,SIZ_000186,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000049,SIZ_000188,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000049,SIZ_000190,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000050,SIZ_000191,Y,,AI,파일사양,2026-06-03 12:46:02.974607,
PRD_000050,SIZ_000192,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000050,SIZ_000193,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000050,SIZ_000194,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000051,SIZ_000195,Y,,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000052,SIZ_000007,Y,,AI_CS5 (칼선),파일사양,2026-06-03 12:46:02.974607,
PRD_000052,SIZ_000050,Y,,*아이마크,파일사양,2026-06-03 12:46:02.974607,
PRD_000052,SIZ_000057,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000053,SIZ_000007,Y,,AI (칼선),파일사양,2026-06-03 12:46:02.974607,
PRD_000053,SIZ_000050,Y,,*아이마크,파일사양,2026-06-03 12:46:02.974607,
PRD_000053,SIZ_000057,Y,OUTPUT_PAPER_TYPE.03,PDF(W),파일사양,2026-06-03 12:46:02.974607,
PRD_000054,SIZ_000007,Y,,AI (칼선),파일사양,2026-06-03 12:46:02.974607,
PRD_000054,SIZ_000050,Y,,*아이마크,파일사양,2026-06-03 12:46:02.974607,
PRD_000054,SIZ_000057,Y,OUTPUT_PAPER_TYPE.03,PDF(W),파일사양,2026-06-03 12:46:02.974607,
PRD_000055,SIZ_000050,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000055,SIZ_000052,Y,OUTPUT_PAPER_TYPE.03,AI (칼선),파일사양,2026-06-03 12:46:02.974607,
PRD_000055,SIZ_000198,Y,OUTPUT_PAPER_TYPE.03,*아이마크,파일사양,2026-06-03 12:46:02.974607,
PRD_000056,SIZ_000050,Y,OUTPUT_PAPER_TYPE.03,PDF(W),파일사양,2026-06-03 12:46:02.974607,
PRD_000056,SIZ_000052,Y,OUTPUT_PAPER_TYPE.03,AI (칼선),파일사양,2026-06-03 12:46:02.974607,
PRD_000056,SIZ_000198,Y,OUTPUT_PAPER_TYPE.03,*아이마크,파일사양,2026-06-03 12:46:02.974607,
PRD_000057,SIZ_000199,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000058,SIZ_000007,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000058,SIZ_000050,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000059,SIZ_000007,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000059,SIZ_000050,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000060,SIZ_000007,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000060,SIZ_000050,Y,OUTPUT_PAPER_TYPE.03,,파일사양,2026-06-03 12:46:02.974607,
PRD_000061,SIZ_000007,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000061,SIZ_000050,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000062,SIZ_000200,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000062,SIZ_000201,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000062,SIZ_000202,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000063,SIZ_000200,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000063,SIZ_000201,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000063,SIZ_000202,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000064,SIZ_000036,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000064,SIZ_000043,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000064,SIZ_000061,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000064,SIZ_000062,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000064,SIZ_000063,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000064,SIZ_000064,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000064,SIZ_000065,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000065,SIZ_000068,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000017,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000065,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000113,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000147,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000148,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000203,Y,,AI,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000204,Y,,*파일재작업 후 주문,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000205,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000206,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000207,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000208,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000209,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000210,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000211,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000225,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000227,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000229,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000231,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000233,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000235,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000237,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000239,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000241,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000243,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000246,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000248,Y,,,파일사양,2026-06-03 12:46:02.974607,
PRD_000067,SIZ_000060,Y,OUTPUT_PAPER_TYPE.03,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000068,SIZ_000181,Y,,,표지파일사양,2026-06-03 12:46:02.974607,
PRD_000068,SIZ_000250,Y,,PDF,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000068,SIZ_000251,Y,,PDF,표지파일사양,2026-06-03 12:46:02.974607,
PRD_000068,SIZ_000252,Y,,,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000069,SIZ_000250,Y,,PDF,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000069,SIZ_000252,Y,,,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000070,SIZ_000250,Y,,PDF,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000070,SIZ_000252,Y,,,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000071,SIZ_000173,Y,,,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000071,SIZ_000250,Y,,PDF,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000071,SIZ_000252,Y,,,표지파일사양,2026-06-03 12:46:02.974607,
PRD_000071,SIZ_000254,Y,,,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000071,SIZ_000256,Y,,,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000072,SIZ_000250,Y,,PDF,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000072,SIZ_000252,Y,,,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000077,SIZ_000250,Y,,PDF,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000077,SIZ_000252,Y,,,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000082,SIZ_000173,Y,,,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000082,SIZ_000179,Y,,,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000082,SIZ_000250,Y,,PDF,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000082,SIZ_000254,Y,,,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000088,SIZ_000259,Y,,PDF,표지파일사양,2026-06-03 12:46:02.974607,
PRD_000088,SIZ_000260,Y,,,표지파일사양,2026-06-03 12:46:02.974607,
PRD_000088,SIZ_000261,Y,,,표지파일사양,2026-06-03 12:46:02.974607,
PRD_000094,SIZ_000114,Y,,,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000094,SIZ_000115,Y,,,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000094,SIZ_000262,Y,,PDF,표지파일사양,2026-06-03 12:46:02.974607,
PRD_000094,SIZ_000263,Y,,,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000094,SIZ_000264,Y,,,표지파일사양,2026-06-03 12:46:02.974607,
PRD_000094,SIZ_000265,Y,,,표지파일사양,2026-06-03 12:46:02.974607,
PRD_000097,SIZ_000036,Y,,PDF,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000097,SIZ_000267,Y,,PDF,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000100,SIZ_000250,Y,,PDF,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000100,SIZ_000252,Y,,PDF,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000100,SIZ_000270,Y,,PDF,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000100,SIZ_000272,Y,,PDF,표지사양,2026-06-03 12:46:02.974607,
PRD_000100,SIZ_000273,Y,,PDF,표지사양,2026-06-03 12:46:02.974607,
PRD_000100,SIZ_000275,Y,,PDF,내지파일사양,2026-06-03 12:46:02.974607,
PRD_000100,SIZ_000277,Y,,PDF,표지사양,2026-06-03 12:46:02.974607,
PRD_000100,SIZ_000278,Y,,PDF,표지사양,2026-06-03 12:46:02.974607,
PRD_000100,SIZ_000279,Y,,PDF,표지사양,2026-06-03 12:46:02.974607,
PRD_000100,SIZ_000280,Y,,PDF,표지사양,2026-06-03 12:46:02.974607,
PRD_000100,SIZ_000281,Y,,PDF,표지사양,2026-06-03 12:46:02.974607,
PRD_000108,SIZ_000282,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000108,SIZ_000283,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000109,SIZ_000284,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000109,SIZ_000285,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000110,SIZ_000171,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000110,SIZ_000282,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000110,SIZ_000283,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000110,SIZ_000286,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000110,SIZ_000287,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000110,SIZ_000288,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000111,SIZ_000289,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000111,SIZ_000290,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000111,SIZ_000291,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000112,SIZ_000292,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000113,SIZ_000282,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000113,SIZ_000283,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000114,SIZ_000284,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000114,SIZ_000285,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000115,SIZ_000286,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000116,SIZ_000289,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000117,SIZ_000292,Y,OUTPUT_PAPER_TYPE.03,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000118,SIZ_000052,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000118,SIZ_000198,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000118,SIZ_000294,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000119,SIZ_000052,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000119,SIZ_000198,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000119,SIZ_000294,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000120,SIZ_000052,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000120,SIZ_000198,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000120,SIZ_000294,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000121,SIZ_000052,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000121,SIZ_000198,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000121,SIZ_000294,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000122,SIZ_000052,Y,,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000122,SIZ_000198,Y,,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000122,SIZ_000294,Y,,PDF,파일사양,2026-06-03 12:46:02.974607,
PRD_000123,SIZ_000052,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000123,SIZ_000198,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000123,SIZ_000294,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000124,SIZ_000052,Y,OUTPUT_PAPER_TYPE.03,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000124,SIZ_000054,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000124,SIZ_000198,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000124,SIZ_000294,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000124,SIZ_000299,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000124,SIZ_000302,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000125,SIZ_000052,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000125,SIZ_000198,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000125,SIZ_000294,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000126,SIZ_000052,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000126,SIZ_000198,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
PRD_000126,SIZ_000294,Y,,JPG,파일사양,2026-06-03 12:46:02.974607,
