prd_cd,siz_cd,dflt_yn,disp_seq,reg_dt,upd_dt
PRD_000066,SIZ_000221,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000222,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000223,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000224,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000226,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000228,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000230,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000232,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000234,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000236,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000238,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000240,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000242,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000244,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000245,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000247,Y,1,2026-06-03 12:46:02.974607,
PRD_000066,SIZ_000249,Y,1,2026-06-03 12:46:02.974607,
PRD_000067,SIZ_000060,Y,1,2026-06-03 12:46:02.974607,
PRD_000068,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000068,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000069,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000069,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000070,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000070,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000071,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000071,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000071,SIZ_000253,Y,1,2026-06-03 12:46:02.974607,
PRD_000071,SIZ_000255,Y,1,2026-06-03 12:46:02.974607,
PRD_000072,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000072,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000077,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000077,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000082,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000082,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000082,SIZ_000253,Y,1,2026-06-03 12:46:02.974607,
PRD_000082,SIZ_000255,Y,1,2026-06-03 12:46:02.974607,
PRD_000088,SIZ_000258,Y,1,2026-06-03 12:46:02.974607,
PRD_000094,SIZ_000003,Y,1,2026-06-03 12:46:02.974607,
PRD_000094,SIZ_000004,Y,1,2026-06-03 12:46:02.974607,
PRD_000094,SIZ_000124,Y,1,2026-06-03 12:46:02.974607,
PRD_000097,SIZ_000119,Y,1,2026-06-03 12:46:02.974607,
PRD_000097,SIZ_000266,Y,1,2026-06-03 12:46:02.974607,
PRD_000100,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000100,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000100,SIZ_000269,Y,1,2026-06-03 12:46:02.974607,
PRD_000100,SIZ_000274,Y,1,2026-06-03 12:46:02.974607,
PRD_000108,SIZ_000069,Y,1,2026-06-03 12:46:02.974607,
PRD_000108,SIZ_000070,Y,1,2026-06-03 12:46:02.974607,
PRD_000109,SIZ_000018,Y,1,2026-06-03 12:46:02.974607,
PRD_000109,SIZ_000071,Y,1,2026-06-03 12:46:02.974607,
PRD_000110,SIZ_000007,Y,1,2026-06-03 12:46:02.974607,
PRD_000110,SIZ_000069,Y,1,2026-06-03 12:46:02.974607,
PRD_000110,SIZ_000070,Y,1,2026-06-03 12:46:02.974607,
PRD_000110,SIZ_000072,Y,1,2026-06-03 12:46:02.974607,
PRD_000110,SIZ_000073,Y,1,2026-06-03 12:46:02.974607,
