proc_cd,proc_nm,upr_proc_cd,prcs_dtl_opt,disp_seq,use_yn,note,reg_dt,upd_dt
PROC_000071,병풍접지,PROC_000056,,15,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000072,롤접지,PROC_000056,,16,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000073,6단오시접지,PROC_000056,,17,Y,복합 (D8 결정 4-1),2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000074,6단미싱접지,PROC_000056,,18,Y,복합,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000075,포장,,,16,Y,,2026-06-03 12:46:02.974607,
PROC_000076,수축포장,PROC_000075,,1,Y,기본,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000077,낱개,PROC_000075,,2,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000078,묶음,PROC_000075,,3,Y,,2026-06-03 12:46:02.974607,2026-06-03 12:46:02.974607
PROC_000079,타공,,"{""inputs"": [{""key"": ""구수"", ""max"": 8, ""min"": 1, ""type"": ""integer"", ""unit"": ""개""}]}",17,Y,D-24,2026-06-03 12:46:02.974607,
PROC_000080,봉제,,"{""inputs"": [{""key"": ""유형"", ""type"": ""enum"", ""values"": [""오버로크"", ""말아박기"", ""봉미싱""]}, {""key"": ""폭"", ""type"": ""number"", ""unit"": ""mm""}]}",18,Y,D-24,2026-06-03 12:46:02.974607,
PROC_000081,부착,,"{""inputs"": [{""key"": ""대상"", ""type"": ""enum"", ""values"": [""라벨"", ""맥세이프"", ""끈"", ""테입""]}]}",19,Y,D-24,2026-06-03 12:46:02.974607,
PROC_000082,족자제작,,"{""inputs"": [{""key"": ""모양"", ""type"": ""enum"", ""values"": [""사각"", ""원형""]}]}",20,Y,b.9 실사 전용,2026-06-03 12:46:02.974607,
PROC_000083,에폭시,,,21,Y,b.12 굿즈파우치 전용,2026-06-03 12:46:02.974607,
