prd_cd,prd_nm,siz_cd,siz_nm,work_width,work_height,cut_width,cut_height,impos_yn,output_paper_typ_cd,output_file_typ,dflt_plt_yn,note
PRD_000020,화이트인쇄엽서,SIZ_000113,100x100,100.00,100.00,100.00,100.00,N,OUTPUT_PAPER_TYPE.03,PDF(+WC),Y,파일사양
PRD_000020,화이트인쇄엽서,SIZ_000114,102x152,102.00,152.00,,,N,,,Y,파일사양
PRD_000020,화이트인쇄엽서,SIZ_000115,137x137,137.00,137.00,,,N,,,Y,파일사양
PRD_000020,화이트인쇄엽서,SIZ_000118,150x212,150.00,212.00,,,N,,,Y,파일사양
PRD_000021,핑크별색엽서,SIZ_000113,100x100,100.00,100.00,100.00,100.00,N,OUTPUT_PAPER_TYPE.03,PDF(+P),Y,파일사양
PRD_000021,핑크별색엽서,SIZ_000114,102x152,102.00,152.00,,,N,,,Y,파일사양
PRD_000021,핑크별색엽서,SIZ_000115,137x137,137.00,137.00,,,N,,,Y,파일사양
PRD_000021,핑크별색엽서,SIZ_000118,150x212,150.00,212.00,,,N,,,Y,파일사양
PRD_000022,금은별색엽서,SIZ_000113,100x100,100.00,100.00,100.00,100.00,N,OUTPUT_PAPER_TYPE.03,PDF(+GS),Y,파일사양
PRD_000022,금은별색엽서,SIZ_000114,102x152,102.00,152.00,,,N,,,Y,파일사양
PRD_000022,금은별색엽서,SIZ_000115,137x137,137.00,137.00,,,N,,,Y,파일사양
PRD_000022,금은별색엽서,SIZ_000118,150x212,150.00,212.00,,,N,,,Y,파일사양
PRD_000023,모양엽서,SIZ_000113,100x100,100.00,100.00,100.00,100.00,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000024,포토카드,SIZ_000120,57x88,57.00,88.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000025,투명포토카드,SIZ_000120,57x88,57.00,88.00,,,N,OUTPUT_PAPER_TYPE.03,PDF(+W),Y,파일사양
PRD_000026,종이슬로건,SIZ_000121,302x102,302.00,102.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000026,종이슬로건,SIZ_000122,402x147,402.00,147.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000027,2단접지카드,SIZ_000023,274x139,274.00,139.00,274.00,139.00,Y,,,Y,파일사양
PRD_000027,2단접지카드,SIZ_000024,139x274,139.00,274.00,139.00,274.00,Y,,,Y,파일사양
PRD_000027,2단접지카드,SIZ_000123,202x152,202.00,152.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000027,2단접지카드,SIZ_000125,152x202,152.00,202.00,,,N,,,Y,파일사양
PRD_000027,2단접지카드,SIZ_000128,224x174,224.00,174.00,,,N,,,Y,파일사양
PRD_000027,2단접지카드,SIZ_000130,174x224,174.00,224.00,,,N,,,Y,파일사양
PRD_000028,미니접지카드,SIZ_000131,92x104,92.00,104.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000028,미니접지카드,SIZ_000134,88x106,88.00,106.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000029,3단접지카드,SIZ_000136,300x152,300.00,152.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000029,3단접지카드,SIZ_000138,152x300,152.00,300.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000029,3단접지카드,SIZ_000140,407x139,407.00,139.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000029,3단접지카드,SIZ_000141,139x407,139.00,407.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000030,지그재그엽서,SIZ_000142,604x154,604.00,154.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000030,지그재그엽서,SIZ_000143,154x604,154.00,604.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000031,프리미엄명함,SIZ_000144,92x52,92.00,52.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000031,프리미엄명함,SIZ_000145,92x57,92.00,57.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000031,프리미엄명함,SIZ_000146,88x54,88.00,54.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000032,코팅명함,SIZ_000144,92x52,92.00,52.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000032,코팅명함,SIZ_000146,88x54,88.00,54.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000033,스탠다드명함,SIZ_000144,92x52,92.00,52.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000033,스탠다드명함,SIZ_000146,88x54,88.00,54.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000034,펄명함,SIZ_000144,92x52,92.00,52.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000035,모양명함,SIZ_000147,100x60,100.00,60.00,100.00,60.00,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000036,미니모양명함,SIZ_000148,60x60,60.00,60.00,60.00,60.00,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000037,오리지널박명함,SIZ_000008,90x50,92.00,52.00,90.00,50.00,Y,,AI,Y,파일사양
PRD_000038,형압명함,SIZ_000144,92x52,92.00,52.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000039,투명명함,SIZ_000144,92x52,92.00,52.00,,,N,OUTPUT_PAPER_TYPE.03,PDF(W),Y,파일사양
PRD_000040,화이트인쇄명함,SIZ_000144,92x52,92.00,52.00,,,N,OUTPUT_PAPER_TYPE.03,PDF(W/C),Y,파일사양
PRD_000041,스탠다드 쿠폰/상품권,SIZ_000149,152x72,152.00,72.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000041,스탠다드 쿠폰/상품권,SIZ_000150,152x79,152.00,79.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000042,프리미엄 쿠폰/상품권,SIZ_000149,152x72,152.00,72.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000042,프리미엄 쿠폰/상품권,SIZ_000150,152x79,152.00,79.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000002,98x98,100.00,100.00,98.00,98.00,Y,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000151,80x104,80.00,104.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000152,86x110,86.00,110.00,,,N,,AI,Y,파일사양
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000153,80x124,80.00,124.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000154,86x130,86.00,130.00,,,N,,AI,Y,파일사양
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000155,90x124,90.00,124.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000156,96x130,96.00,130.00,,,N,,AI,Y,파일사양
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000157,104x104,104.00,104.00,,,N,,AI,Y,파일사양
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000158,66x184,66.00,184.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000159,72x190,72.00,190.00,,,N,,AI,Y,파일사양
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000160,115x170,115.00,170.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000161,78x78,78.00,78.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000162,78x152,78.00,152.00,,,N,,,Y,파일사양
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000163,78x113,78.00,113.00,,,N,,,Y,파일사양
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000164,78x222,78.00,222.00,,,N,,,Y,파일사양
PRD_000045,인쇄헤더택,SIZ_000165,84x84,84.00,84.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000045,인쇄헤더택,SIZ_000166,114x84,114.00,84.00,,,N,,,Y,파일사양
PRD_000045,인쇄헤더택,SIZ_000167,144x84,144.00,84.00,,,N,,,Y,파일사양
PRD_000045,인쇄헤더택,SIZ_000168,164x84,164.00,84.00,,,N,,,Y,파일사양
PRD_000046,라벨/택,SIZ_000132,50x90,50.00,90.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000046,라벨/택,SIZ_000148,60x60,60.00,60.00,60.00,60.00,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000046,라벨/택,SIZ_000169,35x120,35.00,120.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000047,소량전단지,SIZ_000171,152x214,152.00,214.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000047,소량전단지,SIZ_000173,216x303,216.00,303.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000047,소량전단지,SIZ_000175,303x426,303.00,426.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000047,소량전단지,SIZ_000177,306x446,306.00,446.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000048,접지리플렛,SIZ_000178,214x152,214.00,152.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000048,접지리플렛,SIZ_000179,303x216,303.00,216.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000048,접지리플렛,SIZ_000180,302x216,302.00,216.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000048,접지리플렛,SIZ_000181,426x303,426.00,303.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000048,접지리플렛,SIZ_000182,425x303,425.00,303.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000048,접지리플렛,SIZ_000184,424x303,424.00,303.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000049,와이드 접지리플렛,SIZ_000186,635x303,635.00,303.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000049,와이드 접지리플렛,SIZ_000188,644x303,644.00,303.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000049,와이드 접지리플렛,SIZ_000190,646x303,646.00,303.00,,,N,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000050,봉투제작,SIZ_000191,225x193,225.00,193.00,,,N,,AI,Y,파일사양
PRD_000050,봉투제작,SIZ_000192,238x262,238.00,262.00,,,N,,,Y,파일사양
PRD_000050,봉투제작,SIZ_000193,262x238,262.00,238.00,,,N,,,Y,파일사양
PRD_000050,봉투제작,SIZ_000194,510x387,510.00,387.00,,,N,,,Y,파일사양
PRD_000051,썬캡,SIZ_000195,313x400,313.00,400.00,,,N,,PDF,Y,파일사양
PRD_000052,반칼 자유형 스티커,SIZ_000007,148x210,150.00,212.00,148.00,210.00,Y,,AI_CS5 (칼선),Y,파일사양
PRD_000052,반칼 자유형 스티커,SIZ_000050,210x297,216.00,303.00,210.00,297.00,Y,,*아이마크,Y,파일사양
PRD_000052,반칼 자유형 스티커,SIZ_000057,105x148,105.00,148.00,105.00,148.00,Y,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000053,반칼 자유형 투명스티커,SIZ_000007,148x210,150.00,212.00,148.00,210.00,Y,,AI (칼선),Y,파일사양
PRD_000053,반칼 자유형 투명스티커,SIZ_000050,210x297,216.00,303.00,210.00,297.00,Y,,*아이마크,Y,파일사양
PRD_000053,반칼 자유형 투명스티커,SIZ_000057,105x148,105.00,148.00,105.00,148.00,Y,OUTPUT_PAPER_TYPE.03,PDF(W),Y,파일사양
PRD_000054,반칼 자유형 홀로그램스티커,SIZ_000007,148x210,150.00,212.00,148.00,210.00,Y,,AI (칼선),Y,파일사양
PRD_000054,반칼 자유형 홀로그램스티커,SIZ_000050,210x297,216.00,303.00,210.00,297.00,Y,,*아이마크,Y,파일사양
PRD_000054,반칼 자유형 홀로그램스티커,SIZ_000057,105x148,105.00,148.00,105.00,148.00,Y,OUTPUT_PAPER_TYPE.03,PDF(W),Y,파일사양
PRD_000055,낱장 자유형 스티커,SIZ_000050,210x297,216.00,303.00,210.00,297.00,Y,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000055,낱장 자유형 스티커,SIZ_000052,297x420,303.00,426.00,297.00,420.00,Y,OUTPUT_PAPER_TYPE.03,AI (칼선),Y,파일사양
PRD_000055,낱장 자유형 스티커,SIZ_000198,420x594,420.00,594.00,420.00,594.00,N,OUTPUT_PAPER_TYPE.03,*아이마크,Y,파일사양
PRD_000056,낱장 자유형 투명스티커,SIZ_000050,210x297,216.00,303.00,210.00,297.00,Y,OUTPUT_PAPER_TYPE.03,PDF(W),Y,파일사양
PRD_000056,낱장 자유형 투명스티커,SIZ_000052,297x420,303.00,426.00,297.00,420.00,Y,OUTPUT_PAPER_TYPE.03,AI (칼선),Y,파일사양
PRD_000056,낱장 자유형 투명스티커,SIZ_000198,420x594,420.00,594.00,420.00,594.00,N,OUTPUT_PAPER_TYPE.03,*아이마크,Y,파일사양
PRD_000057,대형 자유형 스티커,SIZ_000199,400x600,400.00,600.00,400.00,600.00,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000058,반칼원형스티커,SIZ_000007,148x210,150.00,212.00,148.00,210.00,Y,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000058,반칼원형스티커,SIZ_000050,210x297,216.00,303.00,210.00,297.00,Y,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000059,반칼정사각스티커,SIZ_000007,148x210,150.00,212.00,148.00,210.00,Y,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000059,반칼정사각스티커,SIZ_000050,210x297,216.00,303.00,210.00,297.00,Y,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000060,반칼직사각스티커,SIZ_000007,148x210,150.00,212.00,148.00,210.00,Y,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000060,반칼직사각스티커,SIZ_000050,210x297,216.00,303.00,210.00,297.00,Y,OUTPUT_PAPER_TYPE.03,,Y,파일사양
PRD_000061,반칼띠지스티커,SIZ_000007,148x210,150.00,212.00,148.00,210.00,Y,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000061,반칼띠지스티커,SIZ_000050,210x297,216.00,303.00,210.00,297.00,Y,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000062,반칼팬시스티커,SIZ_000200,104x144,104.00,144.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000062,반칼팬시스티커,SIZ_000201,128x190,128.00,190.00,,,N,,,Y,파일사양
PRD_000062,반칼팬시스티커,SIZ_000202,94x194,94.00,194.00,,,N,,,Y,파일사양
PRD_000063,반칼팬시투명스티커,SIZ_000200,104x144,104.00,144.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000063,반칼팬시투명스티커,SIZ_000201,128x190,128.00,190.00,,,N,,,Y,파일사양
PRD_000063,반칼팬시투명스티커,SIZ_000202,94x194,94.00,194.00,,,N,,,Y,파일사양
PRD_000064,소량자유형스티커,SIZ_000036,94x94,98.00,98.00,94.00,94.00,Y,,,Y,파일사양
PRD_000064,소량자유형스티커,SIZ_000043,80x80,84.00,84.00,80.00,80.00,Y,,,Y,파일사양
PRD_000064,소량자유형스티커,SIZ_000061,50x70,50.00,70.00,50.00,70.00,Y,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000064,소량자유형스티커,SIZ_000062,70x50,70.00,50.00,70.00,50.00,Y,,,Y,파일사양
PRD_000064,소량자유형스티커,SIZ_000063,50x94,50.00,94.00,50.00,94.00,Y,,,Y,파일사양
PRD_000064,소량자유형스티커,SIZ_000064,94x50,94.00,50.00,94.00,50.00,Y,,,Y,파일사양
PRD_000064,소량자유형스티커,SIZ_000065,65x65,65.00,65.00,65.00,65.00,Y,,,Y,파일사양
PRD_000065,스티커팩,SIZ_000068,75x110,75.00,110.00,75.00,110.00,Y,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000017,100x90,102.00,92.00,100.00,90.00,Y,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000065,65x65,65.00,65.00,65.00,65.00,Y,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000113,100x100,100.00,100.00,100.00,100.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000147,100x60,100.00,60.00,100.00,60.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000148,60x60,60.00,60.00,60.00,60.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000203,72x46,72.00,46.00,72.00,46.00,N,,AI,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000204,79x43,79.00,43.00,79.00,43.00,N,,*파일재작업 후 주문,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000205,77x53,77.00,53.00,77.00,53.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000206,91x35,91.00,35.00,91.00,35.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000207,73x40,73.00,40.00,73.00,40.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000208,83x45,83.00,45.00,83.00,45.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000209,93x50,93.00,50.00,93.00,50.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000210,55x55,55.00,55.00,55.00,55.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000211,70x70,70.00,70.00,70.00,70.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000225,45x63,45.00,63.00,45.00,63.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000227,73x50,73.00,50.00,73.00,50.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000229,52x53,52.00,53.00,52.00,53.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000231,60x53,60.00,53.00,60.00,53.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000233,60x73,60.00,73.00,60.00,73.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000235,65x43,65.00,43.00,65.00,43.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000237,65x53,65.00,53.00,65.00,53.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000239,65x61,65.00,61.00,65.00,61.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000241,65x79,65.00,79.00,65.00,79.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000243,100x50,100.00,50.00,100.00,50.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000246,100x70,100.00,70.00,100.00,70.00,N,,,Y,파일사양
PRD_000066,합판도무송스티커,SIZ_000248,100x80,100.00,80.00,100.00,80.00,N,,,Y,파일사양
PRD_000067,타투스티커,SIZ_000060,90x190,94.00,194.00,90.00,190.00,Y,OUTPUT_PAPER_TYPE.03,JPG,Y,파일사양
PRD_000068,중철책자,SIZ_000181,426x303,426.00,303.00,,,N,,,Y,표지파일사양
PRD_000068,중철책자,SIZ_000250,150x214,150.00,214.00,,,N,,PDF,Y,내지파일사양
PRD_000068,중철책자,SIZ_000251,300x214,300.00,214.00,,,N,,PDF,Y,표지파일사양
PRD_000068,중철책자,SIZ_000252,213x303,213.00,303.00,,,N,,,Y,내지파일사양
PRD_000069,무선책자,SIZ_000250,150x214,150.00,214.00,,,N,,PDF,Y,내지파일사양
PRD_000069,무선책자,SIZ_000252,213x303,213.00,303.00,,,N,,,Y,내지파일사양
PRD_000070,PUR책자,SIZ_000250,150x214,150.00,214.00,,,N,,PDF,Y,내지파일사양
PRD_000070,PUR책자,SIZ_000252,213x303,213.00,303.00,,,N,,,Y,내지파일사양
PRD_000071,트윈링책자,SIZ_000173,216x303,216.00,303.00,,,N,,,Y,내지파일사양
PRD_000071,트윈링책자,SIZ_000250,150x214,150.00,214.00,,,N,,PDF,Y,내지파일사양
PRD_000071,트윈링책자,SIZ_000252,213x303,213.00,303.00,,,N,,,Y,표지파일사양
PRD_000071,트윈링책자,SIZ_000254,214x150,214.00,150.00,,,N,,,Y,내지파일사양
PRD_000071,트윈링책자,SIZ_000256,303x213,303.00,213.00,,,N,,,Y,내지파일사양
PRD_000072,하드커버책자,SIZ_000250,150x214,150.00,214.00,,,N,,PDF,Y,내지파일사양
PRD_000072,하드커버책자,SIZ_000252,213x303,213.00,303.00,,,N,,,Y,내지파일사양
PRD_000077,레더 하드커버책자,SIZ_000250,150x214,150.00,214.00,,,N,,PDF,Y,내지파일사양
PRD_000077,레더 하드커버책자,SIZ_000252,213x303,213.00,303.00,,,N,,,Y,내지파일사양
PRD_000082,하드커버 링책자,SIZ_000173,216x303,216.00,303.00,,,N,,,Y,내지파일사양
PRD_000082,하드커버 링책자,SIZ_000179,303x216,303.00,216.00,,,N,,,Y,내지파일사양
PRD_000082,하드커버 링책자,SIZ_000250,150x214,150.00,214.00,,,N,,PDF,Y,내지파일사양
PRD_000082,하드커버 링책자,SIZ_000254,214x150,214.00,150.00,,,N,,,Y,내지파일사양
PRD_000088,레더 링바인더,SIZ_000259,611x374,611.00,374.00,,,N,,PDF,Y,표지파일사양
PRD_000088,레더 링바인더,SIZ_000260,622x374,622.00,374.00,,,N,,,Y,표지파일사양
PRD_000088,레더 링바인더,SIZ_000261,636x374,636.00,374.00,,,N,,,Y,표지파일사양
PRD_000094,엽서북,SIZ_000114,102x152,102.00,152.00,,,N,,,Y,내지파일사양
PRD_000094,엽서북,SIZ_000115,137x137,137.00,137.00,,,N,,,Y,내지파일사양
PRD_000094,엽서북,SIZ_000262,218x160,218.00,160.00,,,N,,PDF,Y,표지파일사양
PRD_000094,엽서북,SIZ_000263,152x102,152.00,102.00,,,N,,,Y,내지파일사양
PRD_000094,엽서북,SIZ_000264,318x110,318.00,110.00,,,N,,,Y,표지파일사양
PRD_000094,엽서북,SIZ_000265,288x145,288.00,145.00,,,N,,,Y,표지파일사양
PRD_000097,떡메모지,SIZ_000036,94x94,98.00,98.00,94.00,94.00,Y,,PDF,Y,내지파일사양
PRD_000097,떡메모지,SIZ_000267,74x124,74.00,124.00,,,N,,PDF,Y,내지파일사양
PRD_000100,포토북 [디자인명],SIZ_000250,150x214,150.00,214.00,,,N,,PDF,Y,내지파일사양
PRD_000100,포토북 [디자인명],SIZ_000252,213x303,213.00,303.00,,,N,,PDF,Y,내지파일사양
PRD_000100,포토북 [디자인명],SIZ_000270,203x203,203.00,203.00,,,N,,PDF,Y,내지파일사양
PRD_000100,포토북 [디자인명],SIZ_000272,460x235,460.00,235.00,,,N,,PDF,Y,표지사양
PRD_000100,포토북 [디자인명],SIZ_000273,420x213,420.00,213.00,,,N,,PDF,Y,표지사양
PRD_000100,포토북 [디자인명],SIZ_000275,254x254,254.00,254.00,,,N,,PDF,Y,내지파일사양
PRD_000100,포토북 [디자인명],SIZ_000277,556x285,556.00,285.00,,,N,,PDF,Y,표지사양
PRD_000100,포토북 [디자인명],SIZ_000278,352x248,352.00,248.00,,,N,,PDF,Y,표지사양
PRD_000100,포토북 [디자인명],SIZ_000279,314x224,314.00,224.00,,,N,,PDF,Y,표지사양
PRD_000100,포토북 [디자인명],SIZ_000280,472x334,472.00,334.00,,,N,,PDF,Y,표지사양
PRD_000100,포토북 [디자인명],SIZ_000281,440x313,440.00,313.00,,,N,,PDF,Y,표지사양
PRD_000108,탁상형캘린더,SIZ_000282,224x149,224.00,149.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000108,탁상형캘린더,SIZ_000283,134x224,134.00,224.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000109,미니탁상형캘린더,SIZ_000284,94x104,94.00,104.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000109,미니탁상형캘린더,SIZ_000285,152x64,152.00,64.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000110,엽서캘린더,SIZ_000171,152x214,152.00,214.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000110,엽서캘린더,SIZ_000282,224x149,224.00,149.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000110,엽서캘린더,SIZ_000283,134x224,134.00,224.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000110,엽서캘린더,SIZ_000286,149x149,149.00,149.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
PRD_000110,엽서캘린더,SIZ_000287,224x134,224.00,134.00,,,N,OUTPUT_PAPER_TYPE.03,PDF,Y,파일사양
