siz_cd,siz_nm,work_width,work_height,cut_width,cut_height
SIZ_000113,100x100,100.00,100.00,100.00,100.00
SIZ_000114,102x152,102.00,152.00,,
SIZ_000115,137x137,137.00,137.00,,
SIZ_000116,97x212,97.00,212.00,,
SIZ_000117,112x172,112.00,172.00,,
SIZ_000118,150x212,150.00,212.00,,
SIZ_000119,90x90,,,90.00,90.00
SIZ_000120,57x88,57.00,88.00,,
SIZ_000121,302x102,302.00,102.00,,
SIZ_000122,402x147,402.00,147.00,,
SIZ_000123,202x152,202.00,152.00,,
SIZ_000124,150x100,,,150.00,100.00
SIZ_000125,152x202,152.00,202.00,,
SIZ_000126,270x135,,,270.00,135.00
SIZ_000127,135x270,,,135.00,270.00
SIZ_000128,224x174,224.00,174.00,,
SIZ_000129,170x110,,,,
SIZ_000130,174x224,174.00,224.00,,
SIZ_000131,92x104,92.00,104.00,,
SIZ_000132,50x90,50.00,90.00,,
SIZ_000133,86x52,,,86.00,52.00
SIZ_000134,88x106,88.00,106.00,,
SIZ_000135,52x86,,,,
SIZ_000136,300x152,300.00,152.00,,
SIZ_000137,298x150,,,298.00,150.00
SIZ_000138,152x300,152.00,300.00,,
SIZ_000139,150x298,,,150.00,298.00
SIZ_000140,407x139,407.00,139.00,,
SIZ_000141,139x407,139.00,407.00,,
SIZ_000142,604x154,604.00,154.00,,
SIZ_000143,154x604,154.00,604.00,,
SIZ_000144,92x52,92.00,52.00,,
SIZ_000145,92x57,92.00,57.00,,
SIZ_000146,88x54,88.00,54.00,,
SIZ_000147,100x60,100.00,60.00,100.00,60.00
SIZ_000148,60x60,60.00,60.00,60.00,60.00
SIZ_000149,152x72,152.00,72.00,,
SIZ_000150,152x79,152.00,79.00,,
SIZ_000151,80x104,80.00,104.00,,
SIZ_000152,86x110,86.00,110.00,,
SIZ_000153,80x124,80.00,124.00,,
SIZ_000154,86x130,86.00,130.00,,
SIZ_000155,90x124,90.00,124.00,,
SIZ_000156,96x130,96.00,130.00,,
SIZ_000157,104x104,104.00,104.00,,
SIZ_000158,66x184,66.00,184.00,,
SIZ_000159,72x190,72.00,190.00,,
SIZ_000160,115x170,115.00,170.00,,
SIZ_000161,78x78,78.00,78.00,,
SIZ_000162,78x152,78.00,152.00,,
SIZ_000163,78x113,78.00,113.00,,
SIZ_000164,78x222,78.00,222.00,,
SIZ_000165,84x84,84.00,84.00,,
SIZ_000166,114x84,114.00,84.00,,
SIZ_000167,144x84,144.00,84.00,,
SIZ_000168,164x84,164.00,84.00,,
SIZ_000169,35x120,35.00,120.00,,
SIZ_000170,A5(148x210mm),,,,
SIZ_000171,152x214,152.00,214.00,,
SIZ_000172,A4(210x297mm),,,,
SIZ_000173,216x303,216.00,303.00,,
SIZ_000174,A3(297x420mm),,,,
SIZ_000175,303x426,303.00,426.00,,
SIZ_000176,A3+(300x440mm),,,,
SIZ_000177,306x446,306.00,446.00,,
SIZ_000178,214x152,214.00,152.00,,
SIZ_000179,303x216,303.00,216.00,,
SIZ_000180,302x216,302.00,216.00,,
SIZ_000181,426x303,426.00,303.00,,
SIZ_000182,425x303,425.00,303.00,,
SIZ_000183,419x297,,,419.00,297.00
SIZ_000184,424x303,424.00,303.00,,
SIZ_000185,418x297,,,418.00,297.00
SIZ_000186,635x303,635.00,303.00,,
SIZ_000187,629x297,,,629.00,297.00
SIZ_000188,644x303,644.00,303.00,,
SIZ_000189,638x297,,,638.00,297.00
SIZ_000190,646x303,646.00,303.00,,
SIZ_000191,225x193,225.00,193.00,,
SIZ_000192,238x262,238.00,262.00,,
SIZ_000193,262x238,262.00,238.00,,
SIZ_000194,510x387,510.00,387.00,,
SIZ_000195,313x400,313.00,400.00,,
SIZ_000196,A6(105x148mm),,,,
SIZ_000197,A2(420x594mm),,,,
SIZ_000198,420x594,420.00,594.00,420.00,594.00
SIZ_000199,400x600,400.00,600.00,400.00,600.00
SIZ_000200,104x144,104.00,144.00,,
SIZ_000201,128x190,128.00,190.00,,
SIZ_000202,94x194,94.00,194.00,,
SIZ_000203,72x46,72.00,46.00,72.00,46.00
SIZ_000204,79x43,79.00,43.00,79.00,43.00
SIZ_000205,77x53,77.00,53.00,77.00,53.00
SIZ_000206,91x35,91.00,35.00,91.00,35.00
SIZ_000207,73x40,73.00,40.00,73.00,40.00
SIZ_000208,83x45,83.00,45.00,83.00,45.00
SIZ_000209,93x50,93.00,50.00,93.00,50.00
SIZ_000210,55x55,55.00,55.00,55.00,55.00
SIZ_000211,70x70,70.00,70.00,70.00,70.00
SIZ_000212,정사각10x10mm(8EA),,,,
SIZ_000213,정사각15x15mm(8EA),,,,
SIZ_000214,정사각20x20mm(6EA),,,,
SIZ_000215,정사각25x25mm(3EA),,,,
SIZ_000216,정사각30x30mm(2EA),,,,
SIZ_000217,정사각35x35mm(2EA),,,,
SIZ_000218,정사각40x40mm(2EA),,,,
SIZ_000219,정사각45x45mm(1EA),,,,
SIZ_000220,정사각50x50mm(1EA),,,,
SIZ_000221,정사각55x55mm(1EA),,,,
SIZ_000222,정사각60x60mm(1EA),,,,
SIZ_000223,정사각90x90mm(1EA),,,,
SIZ_000224,직사각35x25mm(2EA),,,,
SIZ_000225,45x63,45.00,63.00,45.00,63.00
SIZ_000226,직사각40x30mm(2EA),,,,
SIZ_000227,73x50,73.00,50.00,73.00,50.00
SIZ_000228,직사각42x20mm(2EA),,,,
SIZ_000229,52x53,52.00,53.00,52.00,53.00
SIZ_000230,직사각50x20mm(2EA),,,,
SIZ_000231,60x53,60.00,53.00,60.00,53.00
SIZ_000232,직사각50x30mm(2EA),,,,
SIZ_000233,60x73,60.00,73.00,60.00,73.00
SIZ_000234,직사각55x15mm(2EA),,,,
SIZ_000235,65x43,65.00,43.00,65.00,43.00
SIZ_000236,직사각55x20mm(2EA),,,,
SIZ_000237,65x53,65.00,53.00,65.00,53.00
SIZ_000238,직사각55x24mm(2EA),,,,
SIZ_000239,65x61,65.00,61.00,65.00,61.00
SIZ_000240,직사각55x33mm(2EA),,,,
SIZ_000241,65x79,65.00,79.00,65.00,79.00
SIZ_000242,직사각90x40mm(2EA),,,,
SIZ_000243,100x50,100.00,50.00,100.00,50.00
SIZ_000244,직사각90x50mm(1EA),,,,
SIZ_000245,직사각90x60mm(1EA),,,,
SIZ_000246,100x70,100.00,70.00,100.00,70.00
SIZ_000247,직사각90x70mm(1EA),,,,
SIZ_000248,100x80,100.00,80.00,100.00,80.00
SIZ_000249,직사각90x80mm(1EA),,,,
SIZ_000250,150x214,150.00,214.00,,
SIZ_000251,300x214,300.00,214.00,,
SIZ_000252,213x303,213.00,303.00,,
SIZ_000253,A5(210x148mm),,,,
SIZ_000254,214x150,214.00,150.00,,
SIZ_000255,A4(297x210mm),,,,
SIZ_000256,303x213,303.00,213.00,,
SIZ_000257,210x150,210.00,150.00,210.00,150.00
SIZ_000258,A4,,,,
SIZ_000259,611x374,611.00,374.00,,
SIZ_000260,622x374,622.00,374.00,,
SIZ_000261,636x374,636.00,374.00,,
SIZ_000262,218x160,218.00,160.00,,
SIZ_000263,152x102,152.00,102.00,,
SIZ_000264,318x110,318.00,110.00,,
SIZ_000265,288x145,288.00,145.00,,
SIZ_000266,70x120,,,,
SIZ_000267,74x124,74.00,124.00,,
SIZ_000268,72x120,,,72.00,120.00
SIZ_000269,8x8(200x200mm),,,,
SIZ_000270,203x203,203.00,203.00,,
SIZ_000271,201x199,,,201.00,199.00
SIZ_000272,460x235,460.00,235.00,,
SIZ_000273,420x213,420.00,213.00,,
SIZ_000274,10x10(250x250mm),,,,
SIZ_000275,254x254,254.00,254.00,,
SIZ_000276,252x250,,,252.00,250.00
SIZ_000277,556x285,556.00,285.00,,
SIZ_000278,352x248,352.00,248.00,,
SIZ_000279,314x224,314.00,224.00,,
SIZ_000280,472x334,472.00,334.00,,
SIZ_000281,440x313,440.00,313.00,,
SIZ_000282,224x149,224.00,149.00,,
SIZ_000283,134x224,134.00,224.00,,
SIZ_000284,94x104,94.00,104.00,,
SIZ_000285,152x64,152.00,64.00,,
SIZ_000286,149x149,149.00,149.00,,
SIZ_000287,224x134,224.00,134.00,,
SIZ_000288,149x304,149.00,304.00,,
SIZ_000289,214x301,214.00,301.00,,
SIZ_000290,214x424,214.00,424.00,,
SIZ_000291,304x424,304.00,424.00,,
SIZ_000292,304x629,304.00,629.00,,
SIZ_000293,A1(594x841mm),,,,
SIZ_000294,594x841,594.00,841.00,594.00,841.00
SIZ_000295,A3세로(297x420mm),,,,
SIZ_000296,A3가로(420x297mm),,,,
SIZ_000297,A2세로(420x594mm),,,,
SIZ_000298,A2가로(594x420mm),,,,
SIZ_000299,594x420,594.00,420.00,594.00,420.00
SIZ_000300,A1세로(594x841mm),,,,
SIZ_000301,A1가로(841x594mm),,,,
SIZ_000302,841x594,841.00,594.00,841.00,594.00
SIZ_000303,426x600,426.00,600.00,,
SIZ_000304,5x5(127x127mm),,,,
SIZ_000305,207x207,207.00,207.00,,
SIZ_000306,5x7(127x178mm),,,,
SIZ_000307,207x258,207.00,258.00,,
SIZ_000308,8x8(203x203mm),,,,
SIZ_000309,283x283,283.00,283.00,,
SIZ_000310,8x10(203x254mm),,,,
SIZ_000311,283x334,283.00,334.00,,
SIZ_000312,290x377,290.00,377.00,,
SIZ_000313,377x500,377.00,500.00,,
SIZ_000314,210x347,210.00,347.00,210.00,347.00
SIZ_000315,A3,,,,
SIZ_000316,297x470,297.00,470.00,297.00,470.00
SIZ_000317,A2,,,,
SIZ_000318,420x644,420.00,644.00,420.00,644.00
SIZ_000319,300x600,300.00,600.00,300.00,600.00
SIZ_000320,900x1200,900.00,1200.00,900.00,1200.00
SIZ_000321,600x1800,600.00,1800.00,600.00,1800.00
SIZ_000322,5000x900,5000.00,900.00,5000.00,900.00
SIZ_000323,900x900,900.00,900.00,900.00,900.00
SIZ_000324,290x90,290.00,90.00,290.00,90.00
SIZ_000325,290x190,290.00,190.00,290.00,190.00
SIZ_000326,390x290,390.00,290.00,390.00,290.00
SIZ_000327,590x390,590.00,390.00,590.00,390.00
SIZ_000328,180x420,180.00,420.00,180.00,420.00
SIZ_000329,20x30,20.00,30.00,20.00,30.00
SIZ_000330,30x30,30.00,30.00,30.00,30.00
SIZ_000331,30x40,30.00,40.00,30.00,40.00
SIZ_000332,30x70,30.00,70.00,30.00,70.00
SIZ_000333,40x40,40.00,40.00,40.00,40.00
SIZ_000334,40x50,40.00,50.00,40.00,50.00
SIZ_000335,40x60,40.00,60.00,40.00,60.00
SIZ_000336,20x20,,,20.00,20.00
SIZ_000337,24x24,24.00,24.00,,
SIZ_000338,34x34,34.00,34.00,,
SIZ_000339,34x44,34.00,44.00,,
SIZ_000340,44x44,44.00,44.00,,
SIZ_000341,44x54,44.00,54.00,,
SIZ_000342,54x54,54.00,54.00,,
SIZ_000343,64x64,64.00,64.00,,
SIZ_000344,70x60,,,70.00,60.00
SIZ_000345,74x64,74.00,64.00,,
SIZ_000346,60x20,,,60.00,20.00
SIZ_000347,64x24,64.00,24.00,,
SIZ_000348,70x25,,,70.00,25.00
SIZ_000349,74x29,74.00,29.00,,
SIZ_000350,80x30,,,80.00,30.00
SIZ_000351,84x34,84.00,34.00,,
SIZ_000352,15x15,,,,
SIZ_000353,25x25,,,,
SIZ_000354,35x35,,,,
SIZ_000355,100x100mm원형,,,,
SIZ_000356,100x100mm사각,,,,
SIZ_000357,120x60,120.00,60.00,120.00,60.00
SIZ_000358,120x90,120.00,90.00,120.00,90.00
SIZ_000359,120x120,120.00,120.00,120.00,120.00
SIZ_000360,120x150,120.00,150.00,120.00,150.00
SIZ_000361,120x180,120.00,180.00,120.00,180.00
SIZ_000362,124x124,124.00,124.00,,
SIZ_000363,124x184,124.00,184.00,,
SIZ_000364,68x103,,,,
SIZ_000365,120x50,120.00,50.00,120.00,50.00
SIZ_000366,40x69mm자물쇠,,,,
SIZ_000367,43x71mm하트자물쇠,,,,
SIZ_000368,59x54mm하트,,,,
SIZ_000369,68x70mm원형,,,,
SIZ_000370,60x70,,,,
SIZ_000371,60x80,,,,
SIZ_000372,60x90,,,,
SIZ_000373,60x100,,,,
SIZ_000374,60x110,,,,
SIZ_000375,130x190,,,,
SIZ_000376,150x216,150.00,216.00,,
SIZ_000377,90x145,,,,
SIZ_000378,94x149,94.00,149.00,,
SIZ_000379,144x206,,,,
SIZ_000380,182x257,,,,
SIZ_000381,186x261,186.00,261.00,,
SIZ_000382,216x154,216.00,154.00,,
SIZ_000383,57x91,57.00,91.00,,
SIZ_000384,S(75x130mm),,,,
SIZ_000385,85x140,85.00,140.00,,
SIZ_000386,M(95x166mm),,,,
SIZ_000387,105x176,105.00,176.00,,
SIZ_000388,L(120x218mm),,,,
SIZ_000389,130x228,130.00,228.00,,
SIZ_000390,112x112,112.00,112.00,,
SIZ_000391,110x110,110.00,110.00,,
SIZ_000392,190x80,190.00,80.00,,
SIZ_000393,94x193,94.00,193.00,,
SIZ_000394,110x185,110.00,185.00,,
SIZ_000395,290x290,290.00,290.00,,
SIZ_000396,45x45cm,,,,
SIZ_000397,450x450,450.00,450.00,,
SIZ_000398,280x200,280.00,200.00,,
SIZ_000399,100x70cm(1인용),,,,
SIZ_000400,1000x700,1000.00,700.00,,
SIZ_000401,320x860,320.00,860.00,,
SIZ_000402,100x150cm(2인용),,,,
SIZ_000403,1500x1000,1500.00,1000.00,,
SIZ_000404,30x124,30.00,124.00,,
SIZ_000405,30x215,30.00,215.00,,
SIZ_000406,2x2구,,,,
SIZ_000407,65x100,65.00,100.00,,
SIZ_000408,205x292,205.00,292.00,,
SIZ_000409,240x182,240.00,182.00,,
SIZ_000410,715x315,715.00,315.00,,
SIZ_000411,160x153,160.00,153.00,,
SIZ_000412,81x105,81.00,105.00,,
SIZ_000413,A5용(164x230mm),,,,
SIZ_000414,416x274,416.00,274.00,,
SIZ_000415,A4용(230x330mm),,,,
SIZ_000416,528x364,528.00,364.00,,
SIZ_000417,160x230,160.00,230.00,,
SIZ_000418,230x330,230.00,330.00,,
SIZ_000419,원형13x13,,,,
SIZ_000420,원형19x19,,,,
SIZ_000421,원형24x24,,,,
SIZ_000422,원형35x35,,,,
SIZ_000423,사각30x30,,,,
SIZ_000424,사각67x32,,,,
SIZ_000425,사각78x28,,,,
SIZ_000426,A5,,,,
SIZ_000427,45x102,45.00,102.00,,
SIZ_000428,17x320,17.00,320.00,,
SIZ_000429,56x166,56.00,166.00,,
SIZ_000430,82x128,82.00,128.00,,
SIZ_000431,74x119,74.00,119.00,,
SIZ_000432,196x140,196.00,140.00,,
SIZ_000433,220x300,220.00,300.00,,
SIZ_000434,260x340,260.00,340.00,,
SIZ_000435,220x294,220.00,294.00,,
SIZ_000436,260x374,260.00,374.00,,
SIZ_000437,440x160,440.00,160.00,,
SIZ_000438,520x200,520.00,200.00,,
SIZ_000439,240x334,240.00,334.00,,
SIZ_000440,290x334,290.00,334.00,,
SIZ_000441,323x210,323.00,210.00,,
SIZ_000442,640x230,640.00,230.00,,
SIZ_000443,640x250,640.00,250.00,,
SIZ_000444,444x287,444.00,287.00,,
SIZ_000445,368x544,368.00,544.00,,
SIZ_000446,412x594,412.00,594.00,,
SIZ_000447,260x380,260.00,380.00,,
SIZ_000448,70x100,70.00,100.00,,
SIZ_000449,100x40,100.00,40.00,,
SIZ_000450,180x240,180.00,240.00,,
SIZ_000451,220x530,220.00,530.00,,
SIZ_000452,260x630,260.00,630.00,,
SIZ_000453,444x155,444.00,155.00,,
SIZ_000454,524x195,524.00,195.00,,
SIZ_000455,744x285,744.00,285.00,,
SIZ_000456,220x330,220.00,330.00,,
SIZ_000457,260x390,260.00,390.00,,
SIZ_000458,210x520,210.00,520.00,,
SIZ_000459,250x620,250.00,620.00,,
SIZ_000460,320x820,320.00,820.00,,
SIZ_000461,380x454,380.00,454.00,,
SIZ_000462,130x240,130.00,240.00,,
SIZ_000463,130x194,130.00,194.00,,
SIZ_000464,140x254,140.00,254.00,,
SIZ_000465,120x220,120.00,220.00,,
SIZ_000466,165x187,165.00,187.00,,
SIZ_000467,200x187,200.00,187.00,,
SIZ_000468,220x110,220.00,110.00,,
SIZ_000469,220x190,220.00,190.00,,
SIZ_000470,220x194,220.00,194.00,,
SIZ_000471,220x210,220.00,210.00,,
SIZ_000472,270x214,270.00,214.00,,
SIZ_000473,220x234,220.00,234.00,,
SIZ_000474,240x210,240.00,210.00,,
SIZ_000475,330x640,330.00,640.00,,
SIZ_000476,760x440,760.00,440.00,,
SIZ_000477,280x610,280.00,610.00,,
SIZ_000478,380x1010,380.00,1010.00,,
SIZ_000479,390x910,390.00,910.00,,
SIZ_000480,430x830,430.00,830.00,,
SIZ_000481,340x800,340.00,800.00,,
SIZ_000482,260x300,260.00,300.00,,
SIZ_000483,530x900,530.00,900.00,,
SIZ_000484,320x300,320.00,300.00,,
SIZ_000485,400x1040,400.00,1040.00,,
SIZ_000486,220x580,220.00,580.00,,
SIZ_000487,220x780,220.00,780.00,,
SIZ_000488,360x580,360.00,580.00,,
SIZ_000489,380x880,380.00,880.00,,
SIZ_000490,380x690,380.00,690.00,,
SIZ_000491,440x810,440.00,810.00,,
SIZ_000492,레더15x30,,,,
SIZ_000493,50x30,50.00,30.00,,
SIZ_000494,레더20x40,,,,
SIZ_000495,60x40,60.00,40.00,,
SIZ_000496,레더30x50,,,,
SIZ_000497,80x50,80.00,50.00,,
