적용일	공정	가로 (mm)	세로 (mm)	수량(이상)	고정	비고
2026-06-01	PROC_000154	10	60	300	23800.00	소형 박가공비 등급B·가로10이하×세로60이하·수량300이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	10	300	17500.00	소형 박가공비 등급A·가로40이하×세로10이하·수량300이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	40	300	30100.00	소형 박가공비 등급D·가로40이하×세로40이하·수량300이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	80	300	26900.00	소형 박가공비 등급C·가로10이하×세로80이하·수량300이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	60	400	33200.00	소형 박가공비 등급C·가로20이하×세로60이하·수량400이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	10	400	20700.00	소형 박가공비 등급A·가로40이하×세로10이하·수량400이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	60	400	41600.00	소형 박가공비 등급E·가로40이하×세로60이하·수량400이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	40	400	37500.00	소형 박가공비 등급D·가로40이하×세로40이하·수량400이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	80	400	33200.00	소형 박가공비 등급C·가로10이하×세로80이하·수량400이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	20	400	20700.00	소형 박가공비 등급A·가로20이하×세로20이하·수량400이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	20	400	20700.00	소형 박가공비 등급A·가로10이하×세로20이하·수량400이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	10	400	20700.00	소형 박가공비 등급A·가로20이하×세로10이하·수량400이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	80	400	37500.00	소형 박가공비 등급D·가로20이하×세로80이하·수량400이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	10	400	20700.00	소형 박가공비 등급A·가로10이하×세로10이하·수량400이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	80	400	41600.00	소형 박가공비 등급E·가로40이하×세로80이하·수량400이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	20	400	29100.00	소형 박가공비 등급B·가로40이하×세로20이하·수량400이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	40	400	20700.00	소형 박가공비 등급A·가로10이하×세로40이하·수량400이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	60	400	29100.00	소형 박가공비 등급B·가로10이하×세로60이하·수량400이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	40	400	29100.00	소형 박가공비 등급B·가로20이하×세로40이하·수량400이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	10	500	23900.00	소형 박가공비 등급A·가로10이하×세로10이하·수량500이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	60	500	39500.00	소형 박가공비 등급C·가로20이하×세로60이하·수량500이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	10	500	23900.00	소형 박가공비 등급A·가로40이하×세로10이하·수량500이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	80	500	50000.00	소형 박가공비 등급E·가로40이하×세로80이하·수량500이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	10	500	23900.00	소형 박가공비 등급A·가로20이하×세로10이하·수량500이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	80	500	39500.00	소형 박가공비 등급C·가로10이하×세로80이하·수량500이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	20	500	23900.00	소형 박가공비 등급A·가로10이하×세로20이하·수량500이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	20	500	23900.00	소형 박가공비 등급A·가로20이하×세로20이하·수량500이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	60	500	50000.00	소형 박가공비 등급E·가로40이하×세로60이하·수량500이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	40	500	34400.00	소형 박가공비 등급B·가로20이하×세로40이하·수량500이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	60	500	34400.00	소형 박가공비 등급B·가로10이하×세로60이하·수량500이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	40	500	44900.00	소형 박가공비 등급D·가로40이하×세로40이하·수량500이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	20	500	34400.00	소형 박가공비 등급B·가로40이하×세로20이하·수량500이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	40	500	23900.00	소형 박가공비 등급A·가로10이하×세로40이하·수량500이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	80	500	44900.00	소형 박가공비 등급D·가로20이하×세로80이하·수량500이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	40	600	52300.00	소형 박가공비 등급D·가로40이하×세로40이하·수량600이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	60	600	58400.00	소형 박가공비 등급E·가로40이하×세로60이하·수량600이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	80	600	58400.00	소형 박가공비 등급E·가로40이하×세로80이하·수량600이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	10	600	27100.00	소형 박가공비 등급A·가로40이하×세로10이하·수량600이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	40	600	27100.00	소형 박가공비 등급A·가로10이하×세로40이하·수량600이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	20	600	27100.00	소형 박가공비 등급A·가로20이하×세로20이하·수량600이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	10	600	27100.00	소형 박가공비 등급A·가로20이하×세로10이하·수량600이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	40	600	39700.00	소형 박가공비 등급B·가로20이하×세로40이하·수량600이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	80	600	52300.00	소형 박가공비 등급D·가로20이하×세로80이하·수량600이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	20	600	39700.00	소형 박가공비 등급B·가로40이하×세로20이하·수량600이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	60	600	39700.00	소형 박가공비 등급B·가로10이하×세로60이하·수량600이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	80	600	45800.00	소형 박가공비 등급C·가로10이하×세로80이하·수량600이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	10	600	27100.00	소형 박가공비 등급A·가로10이하×세로10이하·수량600이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	20	600	27100.00	소형 박가공비 등급A·가로10이하×세로20이하·수량600이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	60	600	45800.00	소형 박가공비 등급C·가로20이하×세로60이하·수량600이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	80	700	59700.00	소형 박가공비 등급D·가로20이하×세로80이하·수량700이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	60	700	52100.00	소형 박가공비 등급C·가로20이하×세로60이하·수량700이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	80	700	66800.00	소형 박가공비 등급E·가로40이하×세로80이하·수량700이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	20	700	30300.00	소형 박가공비 등급A·가로10이하×세로20이하·수량700이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	60	700	66800.00	소형 박가공비 등급E·가로40이하×세로60이하·수량700이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	40	700	30300.00	소형 박가공비 등급A·가로10이하×세로40이하·수량700이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	40	700	59700.00	소형 박가공비 등급D·가로40이하×세로40이하·수량700이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	60	700	45000.00	소형 박가공비 등급B·가로10이하×세로60이하·수량700이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	20	700	45000.00	소형 박가공비 등급B·가로40이하×세로20이하·수량700이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	80	700	52100.00	소형 박가공비 등급C·가로10이하×세로80이하·수량700이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	10	700	30300.00	소형 박가공비 등급A·가로10이하×세로10이하·수량700이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	10	700	30300.00	소형 박가공비 등급A·가로40이하×세로10이하·수량700이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	10	700	30300.00	소형 박가공비 등급A·가로20이하×세로10이하·수량700이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	20	700	30300.00	소형 박가공비 등급A·가로20이하×세로20이하·수량700이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	40	700	45000.00	소형 박가공비 등급B·가로20이하×세로40이하·수량700이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	80	800	75200.00	소형 박가공비 등급E·가로40이하×세로80이하·수량800이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	20	800	33500.00	소형 박가공비 등급A·가로10이하×세로20이하·수량800이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	80	800	67100.00	소형 박가공비 등급D·가로20이하×세로80이하·수량800이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	20	800	50300.00	소형 박가공비 등급B·가로40이하×세로20이하·수량800이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	40	800	50300.00	소형 박가공비 등급B·가로20이하×세로40이하·수량800이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	10	800	33500.00	소형 박가공비 등급A·가로20이하×세로10이하·수량800이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	80	800	58400.00	소형 박가공비 등급C·가로10이하×세로80이하·수량800이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	40	800	33500.00	소형 박가공비 등급A·가로10이하×세로40이하·수량800이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	60	800	58400.00	소형 박가공비 등급C·가로20이하×세로60이하·수량800이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	20	800	33500.00	소형 박가공비 등급A·가로20이하×세로20이하·수량800이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	60	800	50300.00	소형 박가공비 등급B·가로10이하×세로60이하·수량800이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	10	800	33500.00	소형 박가공비 등급A·가로10이하×세로10이하·수량800이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	10	800	33500.00	소형 박가공비 등급A·가로40이하×세로10이하·수량800이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	60	800	75200.00	소형 박가공비 등급E·가로40이하×세로60이하·수량800이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	40	800	67100.00	소형 박가공비 등급D·가로40이하×세로40이하·수량800이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	60	900	83600.00	소형 박가공비 등급E·가로40이하×세로60이하·수량900이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	20	900	36700.00	소형 박가공비 등급A·가로10이하×세로20이하·수량900이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	60	900	64700.00	소형 박가공비 등급C·가로20이하×세로60이하·수량900이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	80	900	83600.00	소형 박가공비 등급E·가로40이하×세로80이하·수량900이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	60	900	55600.00	소형 박가공비 등급B·가로10이하×세로60이하·수량900이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	10	900	36700.00	소형 박가공비 등급A·가로40이하×세로10이하·수량900이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	20	900	55600.00	소형 박가공비 등급B·가로40이하×세로20이하·수량900이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	80	900	74500.00	소형 박가공비 등급D·가로20이하×세로80이하·수량900이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	40	900	74500.00	소형 박가공비 등급D·가로40이하×세로40이하·수량900이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	40	900	36700.00	소형 박가공비 등급A·가로10이하×세로40이하·수량900이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	40	900	55600.00	소형 박가공비 등급B·가로20이하×세로40이하·수량900이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	20	900	36700.00	소형 박가공비 등급A·가로20이하×세로20이하·수량900이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	10	900	36700.00	소형 박가공비 등급A·가로20이하×세로10이하·수량900이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	10	900	36700.00	소형 박가공비 등급A·가로10이하×세로10이하·수량900이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	80	900	64700.00	소형 박가공비 등급C·가로10이하×세로80이하·수량900이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	40	1000	60900.00	소형 박가공비 등급B·가로20이하×세로40이하·수량1000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	10	1000	39900.00	소형 박가공비 등급A·가로20이하×세로10이하·수량1000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	20	1000	60900.00	소형 박가공비 등급B·가로40이하×세로20이하·수량1000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	60	1000	60900.00	소형 박가공비 등급B·가로10이하×세로60이하·수량1000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	80	1000	81900.00	소형 박가공비 등급D·가로20이하×세로80이하·수량1000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	40	1000	81900.00	소형 박가공비 등급D·가로40이하×세로40이하·수량1000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	40	1000	39900.00	소형 박가공비 등급A·가로10이하×세로40이하·수량1000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	20	1000	39900.00	소형 박가공비 등급A·가로20이하×세로20이하·수량1000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	60	1000	92000.00	소형 박가공비 등급E·가로40이하×세로60이하·수량1000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	20	1000	39900.00	소형 박가공비 등급A·가로10이하×세로20이하·수량1000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	60	1000	71000.00	소형 박가공비 등급C·가로20이하×세로60이하·수량1000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	80	1000	92000.00	소형 박가공비 등급E·가로40이하×세로80이하·수량1000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	10	1000	39900.00	소형 박가공비 등급A·가로10이하×세로10이하·수량1000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	10	1000	39900.00	소형 박가공비 등급A·가로40이하×세로10이하·수량1000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	80	1000	71000.00	소형 박가공비 등급C·가로10이하×세로80이하·수량1000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	40	2000	113900.00	소형 박가공비 등급B·가로20이하×세로40이하·수량2000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	10	2000	71900.00	소형 박가공비 등급A·가로10이하×세로10이하·수량2000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	20	2000	71900.00	소형 박가공비 등급A·가로10이하×세로20이하·수량2000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	40	2000	71900.00	소형 박가공비 등급A·가로10이하×세로40이하·수량2000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	60	2000	113900.00	소형 박가공비 등급B·가로10이하×세로60이하·수량2000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	80	2000	134000.00	소형 박가공비 등급C·가로10이하×세로80이하·수량2000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	10	2000	71900.00	소형 박가공비 등급A·가로20이하×세로10이하·수량2000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	20	2000	71900.00	소형 박가공비 등급A·가로20이하×세로20이하·수량2000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	60	2000	134000.00	소형 박가공비 등급C·가로20이하×세로60이하·수량2000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	80	2000	155900.00	소형 박가공비 등급D·가로20이하×세로80이하·수량2000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	10	2000	71900.00	소형 박가공비 등급A·가로40이하×세로10이하·수량2000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	20	2000	113900.00	소형 박가공비 등급B·가로40이하×세로20이하·수량2000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	40	2000	155900.00	소형 박가공비 등급D·가로40이하×세로40이하·수량2000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	60	2000	176000.00	소형 박가공비 등급E·가로40이하×세로60이하·수량2000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	80	2000	176000.00	소형 박가공비 등급E·가로40이하×세로80이하·수량2000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	60	3000	197000.00	소형 박가공비 등급C·가로20이하×세로60이하·수량3000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	40	3000	229900.00	소형 박가공비 등급D·가로40이하×세로40이하·수량3000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	20	3000	103900.00	소형 박가공비 등급A·가로20이하×세로20이하·수량3000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	80	3000	229900.00	소형 박가공비 등급D·가로20이하×세로80이하·수량3000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	20	3000	103900.00	소형 박가공비 등급A·가로10이하×세로20이하·수량3000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	40	3000	103900.00	소형 박가공비 등급A·가로10이하×세로40이하·수량3000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	40	3000	166900.00	소형 박가공비 등급B·가로20이하×세로40이하·수량3000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	80	3000	197000.00	소형 박가공비 등급C·가로10이하×세로80이하·수량3000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	60	3000	166900.00	소형 박가공비 등급B·가로10이하×세로60이하·수량3000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	10	3000	103900.00	소형 박가공비 등급A·가로40이하×세로10이하·수량3000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	80	3000	260000.00	소형 박가공비 등급E·가로40이하×세로80이하·수량3000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	10	3000	103900.00	소형 박가공비 등급A·가로10이하×세로10이하·수량3000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	20	3000	166900.00	소형 박가공비 등급B·가로40이하×세로20이하·수량3000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	60	3000	260000.00	소형 박가공비 등급E·가로40이하×세로60이하·수량3000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	10	3000	103900.00	소형 박가공비 등급A·가로20이하×세로10이하·수량3000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	20	4000	219900.00	소형 박가공비 등급B·가로40이하×세로20이하·수량4000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	40	4000	303900.00	소형 박가공비 등급D·가로40이하×세로40이하·수량4000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	60	4000	219900.00	소형 박가공비 등급B·가로10이하×세로60이하·수량4000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	10	4000	135900.00	소형 박가공비 등급A·가로10이하×세로10이하·수량4000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	20	4000	135900.00	소형 박가공비 등급A·가로20이하×세로20이하·수량4000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	80	4000	303900.00	소형 박가공비 등급D·가로20이하×세로80이하·수량4000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	80	4000	344000.00	소형 박가공비 등급E·가로40이하×세로80이하·수량4000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	60	4000	344000.00	소형 박가공비 등급E·가로40이하×세로60이하·수량4000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	10	4000	135900.00	소형 박가공비 등급A·가로20이하×세로10이하·수량4000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	20	4000	135900.00	소형 박가공비 등급A·가로10이하×세로20이하·수량4000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	60	4000	260000.00	소형 박가공비 등급C·가로20이하×세로60이하·수량4000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	10	4000	135900.00	소형 박가공비 등급A·가로40이하×세로10이하·수량4000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	80	4000	260000.00	소형 박가공비 등급C·가로10이하×세로80이하·수량4000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	40	4000	135900.00	소형 박가공비 등급A·가로10이하×세로40이하·수량4000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	40	4000	219900.00	소형 박가공비 등급B·가로20이하×세로40이하·수량4000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	40	5000	272900.00	소형 박가공비 등급B·가로20이하×세로40이하·수량5000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	60	5000	272900.00	소형 박가공비 등급B·가로10이하×세로60이하·수량5000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	40	5000	167900.00	소형 박가공비 등급A·가로10이하×세로40이하·수량5000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	40	5000	377900.00	소형 박가공비 등급D·가로40이하×세로40이하·수량5000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	80	5000	323000.00	소형 박가공비 등급C·가로10이하×세로80이하·수량5000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	20	5000	167900.00	소형 박가공비 등급A·가로10이하×세로20이하·수량5000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	80	5000	428000.00	소형 박가공비 등급E·가로40이하×세로80이하·수량5000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	10	5000	167900.00	소형 박가공비 등급A·가로10이하×세로10이하·수량5000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	20	5000	272900.00	소형 박가공비 등급B·가로40이하×세로20이하·수량5000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	80	5000	377900.00	소형 박가공비 등급D·가로20이하×세로80이하·수량5000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	10	5000	167900.00	소형 박가공비 등급A·가로40이하×세로10이하·수량5000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	10	5000	167900.00	소형 박가공비 등급A·가로20이하×세로10이하·수량5000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	60	5000	323000.00	소형 박가공비 등급C·가로20이하×세로60이하·수량5000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	60	5000	428000.00	소형 박가공비 등급E·가로40이하×세로60이하·수량5000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	20	5000	167900.00	소형 박가공비 등급A·가로20이하×세로20이하·수량5000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	20	6000	325900.00	소형 박가공비 등급B·가로40이하×세로20이하·수량6000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	10	6000	199900.00	소형 박가공비 등급A·가로20이하×세로10이하·수량6000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	40	6000	451900.00	소형 박가공비 등급D·가로40이하×세로40이하·수량6000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	20	6000	199900.00	소형 박가공비 등급A·가로20이하×세로20이하·수량6000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	20	60	6000	386000.00	소형 박가공비 등급C·가로20이하×세로60이하·수량6000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	80	6000	512000.00	소형 박가공비 등급E·가로40이하×세로80이하·수량6000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	40	6000	199900.00	소형 박가공비 등급A·가로10이하×세로40이하·수량6000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	60	6000	325900.00	소형 박가공비 등급B·가로10이하×세로60이하·수량6000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	40	10	6000	199900.00	소형 박가공비 등급A·가로40이하×세로10이하·수량6000이상 (flatten·grade=추적)
2026-06-01	PROC_000154	10	20	6000	199900.00	소형 박가공비 등급A·가로10이하×세로20이하·수량6000이상 (flatten·grade=추적)
