comp_price_id,comp_cd,siz_width,siz_height,mat_cd,min_qty,unit_price
22373,COMP_ACRYL_CLEAR3T,50.00,140.00,MAT_000043,,9400.00
22374,COMP_ACRYL_CLEAR3T,50.00,160.00,MAT_000043,,10400.00
22375,COMP_ACRYL_CLEAR3T,50.00,180.00,MAT_000043,,11400.00
22376,COMP_ACRYL_CLEAR3T,50.00,200.00,MAT_000043,,12400.00
22377,COMP_ACRYL_CLEAR3T,60.00,140.00,MAT_000043,,11300.00
22378,COMP_ACRYL_CLEAR3T,60.00,160.00,MAT_000043,,12700.00
22379,COMP_ACRYL_CLEAR3T,60.00,180.00,MAT_000043,,14100.00
22380,COMP_ACRYL_CLEAR3T,60.00,200.00,MAT_000043,,15500.00
22381,COMP_ACRYL_CLEAR3T,70.00,80.00,MAT_000043,,8100.00
22382,COMP_ACRYL_CLEAR3T,70.00,90.00,MAT_000043,,8800.00
22383,COMP_ACRYL_CLEAR3T,70.00,140.00,MAT_000043,,12300.00
22384,COMP_ACRYL_CLEAR3T,70.00,160.00,MAT_000043,,13700.00
22385,COMP_ACRYL_CLEAR3T,70.00,180.00,MAT_000043,,15100.00
22386,COMP_ACRYL_CLEAR3T,70.00,200.00,MAT_000043,,16500.00
22387,COMP_ACRYL_CLEAR3T,80.00,90.00,MAT_000043,,9800.00
22388,COMP_ACRYL_CLEAR3T,80.00,120.00,MAT_000043,,12200.00
22389,COMP_ACRYL_CLEAR3T,80.00,180.00,MAT_000043,,17000.00
22390,COMP_ACRYL_CLEAR3T,80.00,200.00,MAT_000043,,18600.00
22391,COMP_ACRYL_CLEAR3T,90.00,140.00,MAT_000043,,15700.00
22392,COMP_ACRYL_CLEAR3T,90.00,160.00,MAT_000043,,17700.00
22393,COMP_ACRYL_CLEAR3T,90.00,180.00,MAT_000043,,19700.00
22394,COMP_ACRYL_CLEAR3T,90.00,200.00,MAT_000043,,21700.00
22395,COMP_ACRYL_CLEAR3T,100.00,120.00,MAT_000043,,14700.00
22396,COMP_ACRYL_CLEAR3T,100.00,160.00,MAT_000043,,18700.00
22397,COMP_ACRYL_CLEAR3T,100.00,180.00,MAT_000043,,20700.00
22398,COMP_ACRYL_CLEAR3T,100.00,200.00,MAT_000043,,22700.00
22399,COMP_ACRYL_CLEAR3T,120.00,140.00,MAT_000043,,18700.00
22400,COMP_ACRYL_CLEAR3T,120.00,160.00,MAT_000043,,20700.00
22401,COMP_ACRYL_CLEAR3T,120.00,200.00,MAT_000043,,24700.00
22402,COMP_ACRYL_CLEAR3T,140.00,140.00,MAT_000043,,20700.00
22403,COMP_ACRYL_CLEAR3T,140.00,160.00,MAT_000043,,22700.00
22404,COMP_ACRYL_CLEAR3T,140.00,180.00,MAT_000043,,24700.00
22405,COMP_ACRYL_CLEAR3T,140.00,200.00,MAT_000043,,26700.00
22406,COMP_ACRYL_CLEAR3T,160.00,160.00,MAT_000043,,24700.00
22407,COMP_ACRYL_CLEAR3T,160.00,180.00,MAT_000043,,26700.00
22408,COMP_ACRYL_CLEAR3T,160.00,200.00,MAT_000043,,28700.00
22409,COMP_ACRYL_CLEAR3T,180.00,180.00,MAT_000043,,28700.00
22410,COMP_ACRYL_CLEAR3T,180.00,200.00,MAT_000043,,30700.00
22411,COMP_ACRYL_CLEAR3T,200.00,200.00,MAT_000043,,32700.00
