comp_price_id,comp_cd,siz_cd,siz_width,siz_height,opt_cd,proc_cd,dim_vals,unit_price
4699,COMP_POSTEROPT_BANNER_NORMAL_PROC_DTAPE,,,,,,,3000.00
4701,COMP_POSTEROPT_BANNER_NORMAL_PROC_BONGSEW,,,,,,,4000.00
4750,COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_4,,,,,,,3000.00
4751,COMP_POSTEROPT_BANNER_MESH_ADD_QBANG_4,,,,,,,3000.00
4752,COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_6,,,,,,,4000.00
4753,COMP_POSTEROPT_BANNER_MESH_ADD_STRING_4,,,,,,,4000.00
4754,COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_8,,,,,,,5000.00
1519,COMP_PP_PERF_2L,,,,,,,6000.00
1520,COMP_PP_PERF_3L,,,,,,,7000.00
1525,COMP_PP_PERF_2L,,,,,,,6000.00
1526,COMP_PP_PERF_3L,,,,,,,7000.00
1531,COMP_PP_PERF_2L,,,,,,,12000.00
1532,COMP_PP_PERF_3L,,,,,,,14000.00
1537,COMP_PP_PERF_2L,,,,,,,17000.00
1538,COMP_PP_PERF_3L,,,,,,,19000.00
1543,COMP_PP_PERF_2L,,,,,,,19000.00
1544,COMP_PP_PERF_3L,,,,,,,21000.00
1549,COMP_PP_PERF_2L,,,,,,,29000.00
1550,COMP_PP_PERF_3L,,,,,,,33000.00
1555,COMP_PP_PERF_2L,,,,,,,49000.00
1556,COMP_PP_PERF_3L,,,,,,,53000.00
1561,COMP_PP_PERF_2L,,,,,,,69000.00
1562,COMP_PP_PERF_3L,,,,,,,73000.00
1567,COMP_PP_PERF_2L,,,,,,,89000.00
1568,COMP_PP_PERF_3L,,,,,,,93000.00
1573,COMP_PP_PERF_2L,,,,,,,109000.00
1574,COMP_PP_PERF_3L,,,,,,,103000.00
4045,COMP_POSTER_ARTPRINT_PHOTO,SIZ_000321,,,,,,21600.00
4084,COMP_POSTER_ARTPAPER_MATTE,SIZ_000320,,,,,,21600.00
4091,COMP_POSTER_ARTPAPER_MATTE,SIZ_000321,,,,,,21600.00
4136,COMP_POSTER_WATERPROOF_PET,SIZ_000321,,,,,,21600.00
4188,COMP_POSTER_ADH_WATERPROOF_PVC,SIZ_000321,,,,,,21600.00
4240,COMP_POSTER_ADH_CLEAR_PVC,SIZ_000321,,,,,,59400.00
4292,COMP_POSTER_ARTFABRIC_GRAPHIC,SIZ_000321,,,,,,21600.00
4344,COMP_POSTER_LINEN_FABRIC,SIZ_000321,,,,,,32400.00
4396,COMP_POSTER_CANVAS_FABRIC,SIZ_000321,,,,,,37800.00
4448,COMP_POSTER_LEATHER_ARTPRINT,SIZ_000321,,,,,,37800.00
4500,COMP_POSTER_TYVEK_PRINT,SIZ_000321,,,,,,37800.00
4552,COMP_POSTER_MESH_PRINT,SIZ_000321,,,,,,37800.00
4580,COMP_POSTER_FRAMELESS_WOOD,SIZ_000315,,,,,,16000.00
4581,COMP_POSTER_FRAMELESS_WOOD,SIZ_000317,,,,,,23000.00
4587,COMP_POSTER_LEATHER_FRAME,SIZ_000258,,,,,,16000.00
4588,COMP_POSTER_LEATHER_FRAME,SIZ_000315,,,,,,21000.00
4589,COMP_POSTER_JOKJA,SIZ_000315,,,,,,13000.00
4590,COMP_POSTER_JOKJA,SIZ_000317,,,,,,15000.00
4592,COMP_POSTER_JOKJA,SIZ_000319,,,,,,15000.00
4593,COMP_POSTER_JOKJA,SIZ_000320,,,,,,32000.00
4595,COMP_POSTER_CANVAS_HANGING,SIZ_000258,,,,,,6000.00
4596,COMP_POSTER_CANVAS_HANGING,SIZ_000315,,,,,,10500.00
4597,COMP_POSTER_CANVAS_HANGING,SIZ_000317,,,,,,20000.00
4598,COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,SIZ_000258,,,,,,16000.00
4599,COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,SIZ_000315,,,,,,18000.00
4600,COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,SIZ_000317,,,,,,20000.00
4601,COMP_POSTER_LINEN_WOODBONG,SIZ_000258,,,,,,6000.00
4602,COMP_POSTER_LINEN_WOODBONG,SIZ_000315,,,,,,8200.00
4603,COMP_POSTER_LINEN_WOODBONG,SIZ_000317,,,,,,16000.00
4604,COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,SIZ_000258,,,,,,7000.00
4605,COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,SIZ_000315,,,,,,9800.00
4606,COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,SIZ_000317,,,,,,12000.00
4607,COMP_POSTER_PET_BANNER,SIZ_000321,,,,,,22000.00
4611,COMP_POSTER_MESH_BANNER,SIZ_000321,,,,,,38000.00
4612,COMP_POSTER_BANNER_NORMAL,SIZ_000323,,,,,,8000.00
4620,COMP_POSTER_BANNER_NORMAL,SIZ_000403,,,,,,12000.00
4622,COMP_POSTER_BANNER_NORMAL,SIZ_000320,,,,,,8640.00
4702,COMP_POSTER_BANNER_MESH,SIZ_000323,,,,,,20000.00
4708,COMP_POSTER_BANNER_MESH,SIZ_000320,,,,,,21600.00
4755,COMP_POSTER_MINI_STANDBOARD,SIZ_000426,,,,,,3500.00
4756,COMP_POSTER_MINI_STANDBOARD,SIZ_000258,,,,,,4500.00
4757,COMP_POSTER_MINI_STANDBOARD,SIZ_000315,,,,,,6500.00
4758,COMP_POSTER_MINI_STANDBOARD,SIZ_000426,,,,,,3400.00
4759,COMP_POSTER_MINI_STANDBOARD,SIZ_000258,,,,,,4300.00
4760,COMP_POSTER_MINI_STANDBOARD,SIZ_000315,,,,,,6200.00
4761,COMP_POSTER_MINI_STANDBOARD,SIZ_000426,,,,,,3300.00
4762,COMP_POSTER_MINI_STANDBOARD,SIZ_000258,,,,,,4200.00
4763,COMP_POSTER_MINI_STANDBOARD,SIZ_000315,,,,,,6100.00
4764,COMP_POSTER_MINI_STANDBOARD,SIZ_000426,,,,,,3100.00
4765,COMP_POSTER_MINI_STANDBOARD,SIZ_000258,,,,,,4000.00
4766,COMP_POSTER_MINI_STANDBOARD,SIZ_000315,,,,,,5900.00
4767,COMP_POSTER_MINI_STANDBOARD,SIZ_000426,,,,,,2900.00
4768,COMP_POSTER_MINI_STANDBOARD,SIZ_000258,,,,,,3800.00
4769,COMP_POSTER_MINI_STANDBOARD,SIZ_000315,,,,,,5500.00
4770,COMP_POSTER_MINI_BANNER,SIZ_000028,,,,,,6500.00
4771,COMP_POSTER_MINI_BANNER,SIZ_000328,,,,,,6500.00
4772,COMP_POSTER_MINI_BANNER,SIZ_000028,,,,,,4900.00
4773,COMP_POSTER_MINI_BANNER,SIZ_000328,,,,,,4900.00
4774,COMP_POSTER_MINI_BANNER,SIZ_000028,,,,,,4200.00
4775,COMP_POSTER_MINI_BANNER,SIZ_000328,,,,,,4200.00
4776,COMP_POSTER_MINI_BANNER,SIZ_000028,,,,,,3500.00
4777,COMP_POSTER_MINI_BANNER,SIZ_000328,,,,,,3500.00
4778,COMP_POSTER_MINI_BANNER,SIZ_000028,,,,,,2800.00
4779,COMP_POSTER_MINI_BANNER,SIZ_000328,,,,,,2800.00
4780,COMP_POSTER_FOAMBOARD_WHITE,SIZ_000315,,,,,,7000.00
4781,COMP_POSTER_FOAMBOARD_WHITE,SIZ_000317,,,,,,12000.00
4783,COMP_POSTER_FOAMBOARD_BLACK,SIZ_000315,,,,,,8500.00
4784,COMP_POSTER_FOAMBOARD_BLACK,SIZ_000317,,,,,,14000.00
4786,COMP_POSTER_FOMEXBOARD_WHITE3MM,SIZ_000315,,,,,,8500.00
4787,COMP_POSTER_FOMEXBOARD_WHITE3MM,SIZ_000317,,,,,,13000.00
4789,COMP_POSTER_FOMEXBOARD_WHITE5MM,SIZ_000315,,,,,,10000.00
4790,COMP_POSTER_FOMEXBOARD_WHITE5MM,SIZ_000317,,,,,,16000.00
4792,COMP_POSTER_ACRYLSTK_GLOSS,SIZ_000324,,,,,,9000.00
4793,COMP_POSTER_ACRYLSTK_GLOSS,SIZ_000325,,,,,,14000.00
4794,COMP_POSTER_ACRYLSTK_GLOSS,SIZ_000326,,,,,,32000.00
4795,COMP_POSTER_ACRYLSTK_GLOSS,SIZ_000327,,,,,,37000.00
4796,COMP_POSTER_ACRYLSTK_MIRROR,SIZ_000324,,,,,,11000.00
4797,COMP_POSTER_ACRYLSTK_MIRROR,SIZ_000325,,,,,,18000.00
4798,COMP_POSTER_ACRYLSTK_MIRROR,SIZ_000326,,,,,,29000.00
4799,COMP_POSTER_ACRYLSTK_MIRROR,SIZ_000327,,,,,,50000.00
4800,COMP_POSTER_SHEETCUT_MATTE,SIZ_000258,,,,,,6000.00
4801,COMP_POSTER_SHEETCUT_MATTE,SIZ_000315,,,,,,11000.00
4802,COMP_POSTER_SHEETCUT_MATTE,SIZ_000317,,,,,,32000.00
4803,COMP_POSTER_SHEETCUT_HOLO,SIZ_000258,,,,,,8000.00
4804,COMP_POSTER_SHEETCUT_HOLO,SIZ_000315,,,,,,16000.00
4805,COMP_POSTER_SHEETCUT_HOLO,SIZ_000317,,,,,,32000.00
