prd_cd,prd_typ_cd,prd_nm,file_upload_yn,editor_yn
PRD_000211,PRD_TYPE.03,장패드,Y,Y
PRD_000212,PRD_TYPE.03,극세사클리너,Y,Y
PRD_000213,PRD_TYPE.03,틴케이스,Y,Y
PRD_000214,PRD_TYPE.03,자석북마크,Y,Y
PRD_000215,PRD_TYPE.03,클립보드,Y,Y
PRD_000216,PRD_TYPE.03,투명클립보드,Y,Y
PRD_000217,PRD_TYPE.03,만년스탬프,Y,N
PRD_000219,PRD_TYPE.03,밴드톡,Y,Y
PRD_000220,PRD_TYPE.03,폰스트랩,Y,Y
PRD_000221,PRD_TYPE.03,말랑키링,Y,Y
PRD_000222,PRD_TYPE.03,말랑증사홀더,Y,Y
PRD_000223,PRD_TYPE.03,말랑포카홀더,Y,Y
PRD_000224,PRD_TYPE.03,말랑네임택,Y,Y
PRD_000225,PRD_TYPE.03,말랑여권케이스,Y,Y
PRD_000226,PRD_TYPE.03,아크릴쉐이커코롯토,Y,Y
PRD_000228,PRD_TYPE.03,하트 이미지피켓,Y,Y
PRD_000229,PRD_TYPE.03,이미지피켓,Y,Y
PRD_000239,PRD_TYPE.03,캔버스 플랫 파우치,Y,Y
PRD_000240,PRD_TYPE.03,캔버스 삼각 파우치,Y,Y
PRD_000241,PRD_TYPE.03,캔버스 스트랩 라벨파우치,Y,Y
PRD_000242,PRD_TYPE.03,광목 스트링 라벨파우치,Y,Y
PRD_000243,PRD_TYPE.03,린넨 스트링 파우치,Y,Y
PRD_000244,PRD_TYPE.03,타이벡 플랫 파우치,Y,Y
PRD_000245,PRD_TYPE.03,타이벡 슬림 파우치,Y,Y
PRD_000246,PRD_TYPE.03,타이벡 삼각 파우치,Y,Y
PRD_000247,PRD_TYPE.03,타이벡 스트링 파우치,Y,Y
PRD_000248,PRD_TYPE.03,타이벡 플랫 클러치,Y,Y
PRD_000249,PRD_TYPE.03,메쉬슬림파우치,Y,Y
PRD_000250,PRD_TYPE.03,메쉬볼륨파우치,Y,Y
PRD_000251,PRD_TYPE.03,레더 플랫 미니파우치,Y,Y
PRD_000252,PRD_TYPE.03,레더 슬림 미니파우치,Y,Y
PRD_000253,PRD_TYPE.03,레더 삼각 미니파우치,Y,Y
PRD_000254,PRD_TYPE.03,레더 볼륨 미니파우치,Y,Y
PRD_000255,PRD_TYPE.03,레더 원형 미니파우치,Y,Y
PRD_000256,PRD_TYPE.03,레더 플랫 필통,Y,Y
PRD_000257,PRD_TYPE.03,레더 슬림 필통,Y,Y
PRD_000258,PRD_TYPE.03,레더 삼각 필통,Y,Y
PRD_000259,PRD_TYPE.03,레더 볼륨 필통,Y,Y
PRD_000260,PRD_TYPE.03,레더 원형 필통,Y,Y
PRD_000261,PRD_TYPE.03,캔버스 플랫 필통,Y,Y
PRD_000262,PRD_TYPE.03,캔버스 삼각 필통,Y,Y
PRD_000265,PRD_TYPE.03,린넨 미니에코백,Y,Y
PRD_000266,PRD_TYPE.03,린넨 토트백,Y,Y
PRD_000267,PRD_TYPE.03,린넨 에코백,Y,Y
PRD_000268,PRD_TYPE.03,캔버스심플백,Y,Y
PRD_000269,PRD_TYPE.03,캔버스 포켓심플백,Y,Y
PRD_000270,PRD_TYPE.03,캔버스에코백,Y,Y
PRD_000271,PRD_TYPE.03,캔버스숄더백,Y,Y
PRD_000272,PRD_TYPE.03,캔버스 포켓숄더백,Y,Y
PRD_000273,PRD_TYPE.03,타이벡 양면 백팩,Y,Y
PRD_000274,PRD_TYPE.03,타이벡보냉보틀백,Y,Y
PRD_000275,PRD_TYPE.03,타이벡 보냉 미니백,Y,Y
PRD_000276,PRD_TYPE.03,타이벡 에코백,Y,Y
PRD_000277,PRD_TYPE.03,타이벡 보냉에코백,Y,Y
PRD_000279,PRD_TYPE.03,메쉬에코백,Y,Y
