prd_cd,prd_nm,prd_typ_cd,use_yn
PRD_000156,아크릴지비츠,PRD_TYPE.04,N
PRD_000164,아크릴코롯토,PRD_TYPE.04,N
PRD_000030,지그재그엽서,PRD_TYPE.04,Y
PRD_000271,캔버스숄더백,PRD_TYPE.03,Y
PRD_000268,캔버스심플백,PRD_TYPE.03,Y
PRD_000270,캔버스에코백,PRD_TYPE.03,Y
PRD_000189,코르크코스터,PRD_TYPE.03,Y
PRD_000218,타이벡북커버,PRD_TYPE.03,N
PRD_000108,탁상형캘린더,PRD_TYPE.04,Y
PRD_000216,투명클립보드,PRD_TYPE.03,Y
PRD_000283,트레싱지봉투,PRD_TYPE.05,Y
PRD_000072,하드커버책자,PRD_TYPE.04,Y
PRD_000201,레더스트랩키링,PRD_TYPE.03,Y
PRD_000196,레더여권케이스,PRD_TYPE.03,Y
PRD_000225,말랑여권케이스,PRD_TYPE.03,Y
PRD_000250,메쉬볼륨파우치,PRD_TYPE.03,Y
PRD_000249,메쉬슬림파우치,PRD_TYPE.03,Y
PRD_000227,미니우치와키링,PRD_TYPE.03,N
PRD_000061,반칼띠지스티커,PRD_TYPE.04,Y
PRD_000058,반칼원형스티커,PRD_TYPE.04,Y
PRD_000062,반칼팬시스티커,PRD_TYPE.04,Y
PRD_000187,블랙사각손거울,PRD_TYPE.03,Y
PRD_000163,아크릴미니파츠,PRD_TYPE.04,Y
PRD_000150,아크릴스마트톡,PRD_TYPE.04,Y
PRD_000169,아크릴입체블럭,PRD_TYPE.04,Y
PRD_000166,아크릴카라비너,PRD_TYPE.04,N
PRD_000037,오리지널박명함,PRD_TYPE.04,Y
PRD_000040,화이트인쇄명함,PRD_TYPE.04,Y
PRD_000191,린넨패브릭코스터,PRD_TYPE.03,Y
PRD_000109,미니탁상형캘린더,PRD_TYPE.04,Y
PRD_000059,반칼정사각스티커,PRD_TYPE.04,Y
PRD_000060,반칼직사각스티커,PRD_TYPE.04,Y
PRD_000064,소량자유형스티커,PRD_TYPE.04,N
PRD_000168,아크릴입체코롯토,PRD_TYPE.04,Y
PRD_000162,아크릴포카스탠드,PRD_TYPE.04,Y
PRD_000011,자석고정용고무판,PRD_TYPE.03,Y
PRD_000210,초슬림마우스패드,PRD_TYPE.03,Y
PRD_000274,타이벡보냉보틀백,PRD_TYPE.03,Y
PRD_000063,반칼팬시투명스티커,PRD_TYPE.04,N
PRD_000226,아크릴쉐이커코롯토,PRD_TYPE.03,N
PRD_000160,아크릴자유형스탠드,PRD_TYPE.04,Y
PRD_000112,와이드벽걸이캘린더,PRD_TYPE.04,Y
PRD_000175,만년다이어리(레더소프트커버),PRD_TYPE.03,Y
PRD_000174,만년다이어리(레더하드커버),PRD_TYPE.03,Y
PRD_000172,만년다이어리(소프트커버),PRD_TYPE.03,Y
PRD_000173,만년다이어리(하드커버),PRD_TYPE.03,Y
PRD_000076,하드커버책자-면지(그레이면지),PRD_TYPE.02,Y
PRD_000074,하드커버책자-면지(화이트면지),PRD_TYPE.02,Y
PRD_000075,하드커버책자-면지(블랙면지),PRD_TYPE.02,Y
PRD_000073,하드커버책자-표지(전용지),PRD_TYPE.02,Y
PRD_000170,아크릴쉐이커★,PRD_TYPE.04,Y
PRD_000015,만년스탬프 리필잉크,PRD_TYPE.03,Y
PRD_000153,아크릴명찰(골드실버),PRD_TYPE.04,N
PRD_000082,하드커버 링책자,PRD_TYPE.04,Y
PRD_000151,맥세이프 스마트톡,PRD_TYPE.04,Y
PRD_000003,트래싱지 카드봉투,PRD_TYPE.03,Y
PRD_000086,하드커버 링책자-면지(그레이면지),PRD_TYPE.02,Y
PRD_000084,하드커버 링책자-면지(화이트면지),PRD_TYPE.02,Y
PRD_000085,하드커버 링책자-면지(블랙면지),PRD_TYPE.02,Y
PRD_000087,하드커버 링책자-면지(인쇄면지),PRD_TYPE.02,Y
PRD_000083,하드커버 링책자-표지(전용지),PRD_TYPE.02,Y
PRD_000180,메모패드(내지커스텀) 준비중,PRD_TYPE.03,N
PRD_000281,카드봉투(화이트),PRD_TYPE.05,Y
PRD_000282,카드봉투(블랙),PRD_TYPE.05,Y
PRD_000154,아크릴 머리끈,PRD_TYPE.04,Y
PRD_000159,아크릴 코스터,PRD_TYPE.04,N
PRD_000276,타이벡 에코백,PRD_TYPE.03,Y
PRD_000158,아크릴 포카키링,PRD_TYPE.04,Y
PRD_000049,와이드 접지리플렛,PRD_TYPE.04,Y
PRD_000272,캔버스 포켓숄더백,PRD_TYPE.03,Y
PRD_000269,캔버스 포켓심플백,PRD_TYPE.03,Y
PRD_000277,타이벡 보냉에코백,PRD_TYPE.03,Y
PRD_000247,타이벡 스트링 파우치,PRD_TYPE.03,Y
PRD_000241,캔버스 스트랩 라벨파우치,PRD_TYPE.03,Y
PRD_000262,캔버스 삼각 필통,PRD_TYPE.03,Y
PRD_000261,캔버스 플랫 필통,PRD_TYPE.03,Y
PRD_000273,타이벡 양면 백팩,PRD_TYPE.03,Y
PRD_000240,캔버스 삼각 파우치,PRD_TYPE.03,Y
PRD_000239,캔버스 플랫 파우치,PRD_TYPE.03,Y
PRD_000275,타이벡 보냉 미니백,PRD_TYPE.03,Y
PRD_000246,타이벡 삼각 파우치,PRD_TYPE.03,Y
PRD_000245,타이벡 슬림 파우치,PRD_TYPE.03,Y
PRD_000248,타이벡 플랫 클러치,PRD_TYPE.03,Y
PRD_000244,타이벡 플랫 파우치,PRD_TYPE.03,Y
PRD_000100,포토북 [디자인명],PRD_TYPE.04,Y
PRD_000105,포토북 [디자인명]-표지(레더하드커버),PRD_TYPE.02,Y
PRD_000107,포토북 [디자인명]-표지(소프트커버),PRD_TYPE.02,Y
PRD_000102,포토북 [디자인명]-표지(하드커버),PRD_TYPE.02,Y
PRD_000104,포토북 [디자인명]-면지(그레이),PRD_TYPE.02,Y
PRD_000106,포토북 [디자인명]-표지(레더),PRD_TYPE.02,Y
PRD_000171,지비츠★,PRD_TYPE.04,Y
PRD_000267,린넨 에코백,PRD_TYPE.03,Y
PRD_000266,린넨 토트백,PRD_TYPE.03,Y
PRD_000279,메쉬 에코백,PRD_TYPE.03,Y
PRD_000278,메쉬 토트백,PRD_TYPE.03,Y
PRD_000088,레더 링바인더,PRD_TYPE.04,Y
PRD_000265,린넨 미니에코백,PRD_TYPE.03,Y
PRD_000228,하트 이미지피켓,PRD_TYPE.03,N
PRD_000077,레더 하드커버책자,PRD_TYPE.04,Y
PRD_000081,레더 하드커버책자-면지(그레이면지),PRD_TYPE.02,Y
PRD_000079,레더 하드커버책자-면지(화이트면지),PRD_TYPE.02,Y
PRD_000080,레더 하드커버책자-면지(블랙면지),PRD_TYPE.02,Y
PRD_000078,레더 하드커버책자-표지(레더(화이트)),PRD_TYPE.02,Y
PRD_000092,레더 링바인더-면지(그레이면지),PRD_TYPE.02,Y
PRD_000090,레더 링바인더-면지(화이트면지),PRD_TYPE.02,Y
PRD_000091,레더 링바인더-면지(블랙면지),PRD_TYPE.02,Y
PRD_000093,레더 링바인더-면지(인쇄면지),PRD_TYPE.02,Y
PRD_000089,레더 링바인더-표지(레더(화이트)),PRD_TYPE.02,Y
PRD_000238,레더 아이패드/노트북 파우치,PRD_TYPE.03,Y
PRD_000057,대형 자유형 스티커,PRD_TYPE.04,Y
PRD_000234,레더 스트링 파우치,PRD_TYPE.03,Y
PRD_000243,린넨 스트링 파우치,PRD_TYPE.03,Y
PRD_000242,광목 스트링 라벨파우치,PRD_TYPE.03,Y
PRD_000056,낱장 자유형 투명스티커,PRD_TYPE.04,Y
PRD_000235,레더 스트링 원형파우치,PRD_TYPE.03,Y
PRD_000054,반칼 자유형 홀로그램스티커,PRD_TYPE.04,Y
PRD_000259,레더 볼륨 필통,PRD_TYPE.03,Y
PRD_000258,레더 삼각 필통,PRD_TYPE.03,Y
PRD_000257,레더 슬림 필통,PRD_TYPE.03,Y
PRD_000260,레더 원형 필통,PRD_TYPE.03,Y
PRD_000256,레더 플랫 필통,PRD_TYPE.03,Y
PRD_000233,레더 볼륨 파우치,PRD_TYPE.03,Y
PRD_000237,레더 삼각 클러치,PRD_TYPE.03,Y
PRD_000232,레더 삼각 파우치,PRD_TYPE.03,Y
PRD_000231,레더 슬림 파우치,PRD_TYPE.03,Y
PRD_000236,레더 플랫 클러치,PRD_TYPE.03,Y
PRD_000230,레더 플랫 파우치,PRD_TYPE.03,Y
PRD_000254,레더 볼륨 미니파우치,PRD_TYPE.03,Y
PRD_000253,레더 삼각 미니파우치,PRD_TYPE.03,Y
PRD_000252,레더 슬림 미니파우치,PRD_TYPE.03,Y
PRD_000255,레더 원형 미니파우치,PRD_TYPE.03,Y
PRD_000251,레더 플랫 미니파우치,PRD_TYPE.03,Y
PRD_000098,떡메모지-내지(백모조120),PRD_TYPE.02,Y
PRD_000101,포토북 [디자인명]-내지(몽블랑130),PRD_TYPE.02,Y
PRD_000095,엽서북-내지(몽블랑240),PRD_TYPE.02,Y
PRD_000103,포토북 [디자인명]-표지(아트250+무광코팅),PRD_TYPE.02,Y
PRD_000096,엽서북-표지(스노우300),PRD_TYPE.02,Y
PRD_000204,미니CD앨범,PRD_TYPE.03,N
PRD_000203,LED투명키캡키링,PRD_TYPE.03,N
PRD_000001,OPP접착봉투,PRD_TYPE.03,Y
PRD_000002,OPP비접착봉투,PRD_TYPE.03,Y
