comp_cd,comp_nm,sheet,block_id,block_title,geometry,dim,axis,channel,status,rate,axis_label,dim_codes,n_codes
COMP_BIND_TWINRING,제본비,제본,B01,제본비,declared,min_qty,row,수치파싱,ok,1.000,10,10,1
COMP_BIND_TWINRING,제본비,제본,B01,제본비,declared,min_qty,row,수치파싱,ok,1.000,30,30,1
COMP_BIND_TWINRING,제본비,제본,B01,제본비,declared,min_qty,row,수치파싱,ok,1.000,50,50,1
COMP_BIND_TWINRING,제본비,제본,B01,제본비,declared,min_qty,row,수치파싱,ok,1.000,70,70,1
COMP_BIND_TWINRING,제본비,제본,B01,제본비,declared,min_qty,row,수치파싱,ok,1.000,100,100,1
COMP_BIND_TWINRING,제본비,제본,B01,제본비,declared,min_qty,row,수치파싱,ok,1.000,1000,1000,1
COMP_BIND_SSABARI,제본비 싸바리바인더,제본,B02,하드커버 제본비,declared,proc_cd,band0,"닫힌집합(0.50),닫힌집합(0.75),닫힌집합(0.78)",ok,1.000,하드커버무선,PROC_000023,1
COMP_BIND_SSABARI,제본비 싸바리바인더,제본,B02,하드커버 제본비,declared,proc_cd,band0,"닫힌집합(0.50),닫힌집합(0.75),닫힌집합(0.78)",ok,1.000,하드커버트윈링,PROC_000024,1
COMP_BIND_SSABARI,제본비 싸바리바인더,제본,B02,하드커버 제본비,declared,proc_cd,band0,"닫힌집합(0.50),닫힌집합(0.75),닫힌집합(0.78)",ok,1.000,링바인더,PROC_000098,1
COMP_BIND_SSABARI,제본비 싸바리바인더,제본,B02,하드커버 제본비,declared,min_qty,row,수치파싱,ok,1.000,1,1,1
COMP_BIND_SSABARI,제본비 싸바리바인더,제본,B02,하드커버 제본비,declared,min_qty,row,수치파싱,ok,1.000,4,4,1
COMP_BIND_SSABARI,제본비 싸바리바인더,제본,B02,하드커버 제본비,declared,min_qty,row,수치파싱,ok,1.000,10,10,1
COMP_BIND_SSABARI,제본비 싸바리바인더,제본,B02,하드커버 제본비,declared,min_qty,row,수치파싱,ok,1.000,50,50,1
COMP_BIND_SSABARI,제본비 싸바리바인더,제본,B02,하드커버 제본비,declared,min_qty,row,수치파싱,ok,1.000,100,100,1
COMP_BIND_SSABARI,제본비 싸바리바인더,제본,B02,하드커버 제본비,declared,min_qty,row,수치파싱,ok,1.000,1000,1000,1
COMP_BIND_CAL_WALL,제본비 벽걸이캘린더,제본,B03,캘린더 제본비,declared,proc_cd,band0,닫힌집합(1.00),ok,1.000,벽걸이캘린더제본,PROC_000099,1
COMP_BIND_CAL_WALL,제본비 벽걸이캘린더,제본,B03,캘린더 제본비,declared,proc_cd,band0,닫힌집합(1.00),ok,1.000,탁상형캘린더제본(220),PROC_000100,1
COMP_BIND_CAL_WALL,제본비 벽걸이캘린더,제본,B03,캘린더 제본비,declared,proc_cd,band0,닫힌집합(1.00),ok,1.000,탁상형캘린더제본(130),PROC_000101,1
COMP_BIND_CAL_WALL,제본비 벽걸이캘린더,제본,B03,캘린더 제본비,declared,proc_cd,band0,닫힌집합(1.00),ok,1.000,탁상형캘린더제본(미니),PROC_000102,1
COMP_BIND_CAL_WALL,제본비 벽걸이캘린더,제본,B03,캘린더 제본비,declared,min_qty,row,수치파싱,ok,1.000,1,1,1
COMP_BIND_CAL_WALL,제본비 벽걸이캘린더,제본,B03,캘린더 제본비,declared,min_qty,row,수치파싱,ok,1.000,4,4,1
