comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000101,,,,71.33,용지비 랑데뷰 WH 240g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000102,,,,87.795,용지비 랑데뷰 WH 310g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000104,,,,59.25,용지비 몽블랑 100g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000105,,,,77.025,용지비 몽블랑 130g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000106,,,,94.8,용지비 몽블랑 160g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000107,,,,112.575,용지비 몽블랑 190g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000108,,,,124.425,용지비 몽블랑 210g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000109,,,,142.2,용지비 몽블랑 240g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000113,,,,126,용지비 아코팩(웜화이트) 250g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000114,,,,152.5,용지비 리사이클러스 240g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000115,,,,167.75,용지비 매쉬멜로우 233g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000116,,,,295,용지비 린넨커버 216g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000117,,,,337.5,용지비 스타화이트(하이테크) 238g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000118,,,,480,용지비 클래식 크래스트 스티플 270g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000120,,,,226.864,용지비 매직터치(백색) 250g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000121,,,,244,용지비 켄도 250g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000125,,,,330,용지비 한지 170g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000126,,,,380,용지비 스코트랜드 220g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000127,,,,407.5,용지비 스타드림(다이아몬드) 240g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000128,,,,425,용지비 스타드림(실버) 240g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000129,,,,435,용지비 스타드림(골드) 240g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000130,,,,524,용지비 스타드림(로즈쿼츠) 240g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000136,,,,314,용지비 뉴에코블랙 400g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000137,,,,880,용지비 큐리어스스킨 화이트 270g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000138,,,,1242.5,용지비 큐리어스스킨 레드 270g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000139,,,,1242.5,용지비 큐리어스스킨 다크블루 270g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000140,,,,1242.5,용지비 큐리어스스킨 바이올렛 270g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000141,,,,1242.5,용지비 큐리어스스킨 블랙 270g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000142,,,,100,용지비 유니크라프트 260g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000150,,,,105,용지비 뉴크라프트 250g 국4절(316x467) 절가
COMP_PAPER,2026-06-01,SIZ_000499,,MAT_000151,,,,72,용지비 팬시크라프트 120g 국4절(316x467) 절가
