comp_cd,comp_nm,comp_typ_cd,note,use_yn
COMP_PRINT_SPOT_CLEAR_S2,별색인쇄비 클리어(양면),PRC_COMPONENT_TYPE.01,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,Y
COMP_PRINT_SPOT_GOLD_S1,별색인쇄비 금색(단면),PRC_COMPONENT_TYPE.01,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,Y
COMP_PRINT_SPOT_GOLD_S2,별색인쇄비 금색(양면),PRC_COMPONENT_TYPE.01,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,Y
COMP_PRINT_SPOT_PINK_S1,별색인쇄비 핑크(단면),PRC_COMPONENT_TYPE.01,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,Y
COMP_PRINT_SPOT_PINK_S2,별색인쇄비 핑크(양면),PRC_COMPONENT_TYPE.01,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,Y
COMP_PRINT_SPOT_SILVER_S1,별색인쇄비 은색(단면),PRC_COMPONENT_TYPE.01,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,Y
COMP_PRINT_SPOT_SILVER_S2,별색인쇄비 은색(양면),PRC_COMPONENT_TYPE.01,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,Y
COMP_PRINT_SPOT_WHITE_S1,별색인쇄비 화이트(단면),PRC_COMPONENT_TYPE.01,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,Y
COMP_PRINT_SPOT_WHITE_S2,별색인쇄비 화이트(양면),PRC_COMPONENT_TYPE.01,round-2 파일럿 자동생성. comp_typ_cd=PRC_COMPONENT_TYPE.01,Y
COMP_FOLD_CARD_2H,접지비(후가공) [COMP_FOLD_CARD_2H],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_FOLD_CARD_3H,접지비(후가공) [COMP_FOLD_CARD_3H],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_FOLD_CARD_6CR,접지비(후가공) [COMP_FOLD_CARD_6CR],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_FOLD_LEAF_HALF,접지비(후가공) [COMP_FOLD_LEAF_HALF],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_FOLD_LEAF_3FOLD,접지비(후가공) [COMP_FOLD_LEAF_3FOLD],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_FOLD_LEAF_4ACC,접지비(후가공) [COMP_FOLD_LEAF_4ACC],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_FOLD_LEAF_4GATE,접지비(후가공) [COMP_FOLD_LEAF_4GATE],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_BIND_JUNGCHEOL,제본비(후가공) [COMP_BIND_JUNGCHEOL],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_BIND_MUSEON,제본비(후가공) [COMP_BIND_MUSEON],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_BIND_TWINRING,제본비(후가공) [COMP_BIND_TWINRING],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_BIND_PUR,제본비(후가공) [COMP_BIND_PUR],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_BIND_HC_MUSEON,제본비(후가공) [COMP_BIND_HC_MUSEON],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_BIND_HC_TWINRING,제본비(후가공) [COMP_BIND_HC_TWINRING],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_BIND_SSABARI,제본비(후가공) [COMP_BIND_SSABARI],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_BIND_CAL_WALL,제본비(후가공) [COMP_BIND_CAL_WALL],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_BIND_CAL_DESK220,제본비(후가공) [COMP_BIND_CAL_DESK220],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_BIND_CAL_DESK130,제본비(후가공) [COMP_BIND_CAL_DESK130],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_BIND_CAL_DESKMINI,제본비(후가공) [COMP_BIND_CAL_DESKMINI],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_CUT_PERF_1H6,타공비(후가공) [COMP_CUT_PERF_1H6],PRC_COMPONENT_TYPE.04,round-2 7시트 확대 자동생성,Y
COMP_CUT_FULL_DIECUT,커팅 합가(완제품가) [COMP_CUT_FULL_DIECUT],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_CUT_FULL_PERF_1H6,커팅 합가(완제품가) [COMP_CUT_FULL_PERF_1H6],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_CUT_FULL_PERF_2H6,커팅 합가(완제품가) [COMP_CUT_FULL_PERF_2H6],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_STK_PRINT,스티커 단가(완제품가) [COMP_STK_PRINT],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_STK_PACK,스티커 단가(완제품가) [COMP_STK_PACK],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_GANGPAN_PRINT,합판도무송 단가(완제품가) [COMP_GANGPAN_PRINT],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_STD_S1,명함 단가(용지포함 완제품가) [COMP_NAMECARD_STD_S1],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_STD_S2,명함 단가(용지포함 완제품가) [COMP_NAMECARD_STD_S2],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_PREMIUM_S1_MGA,명함 단가(용지포함 완제품가) [COMP_NAMECARD_PREMIUM_S1_MGA],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_PREMIUM_S1_MGB,명함 단가(용지포함 완제품가) [COMP_NAMECARD_PREMIUM_S1_MGB],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_PREMIUM_S2_MGA,명함 단가(용지포함 완제품가) [COMP_NAMECARD_PREMIUM_S2_MGA],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_PREMIUM_S2_MGB,명함 단가(용지포함 완제품가) [COMP_NAMECARD_PREMIUM_S2_MGB],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_COAT_S1,명함 단가(용지포함 완제품가) [COMP_NAMECARD_COAT_S1],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_COAT_S2,명함 단가(용지포함 완제품가) [COMP_NAMECARD_COAT_S2],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_PEARL_S1,명함 단가(용지포함 완제품가) [COMP_NAMECARD_PEARL_S1],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_PEARL_S2,명함 단가(용지포함 완제품가) [COMP_NAMECARD_PEARL_S2],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_CLEAR_S1,명함 단가(용지포함 완제품가) [COMP_NAMECARD_CLEAR_S1],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_WHITE_S1W_NOCL,명함 단가(용지포함 완제품가) [COMP_NAMECARD_WHITE_S1W_NOCL],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_WHITE_S1W_CL,명함 단가(용지포함 완제품가) [COMP_NAMECARD_WHITE_S1W_CL],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_WHITE_S2W_NOCL,명함 단가(용지포함 완제품가) [COMP_NAMECARD_WHITE_S2W_NOCL],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_WHITE_S2W_CL,명함 단가(용지포함 완제품가) [COMP_NAMECARD_WHITE_S2W_CL],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_SHAPE_S1,명함 단가(용지포함 완제품가) [COMP_NAMECARD_SHAPE_S1],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_SHAPE_S2,명함 단가(용지포함 완제품가) [COMP_NAMECARD_SHAPE_S2],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_MINISHAPE_S1,명함 단가(용지포함 완제품가) [COMP_NAMECARD_MINISHAPE_S1],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_MINISHAPE_S2,명함 단가(용지포함 완제품가) [COMP_NAMECARD_MINISHAPE_S2],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_FOIL_SETUP_S1_STD,박형압 동판셋업비 [COMP_NAMECARD_FOIL_SETUP_S1_STD],PRC_COMPONENT_TYPE.05,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_FOIL_SETUP_S2_STD,박형압 동판셋업비 [COMP_NAMECARD_FOIL_SETUP_S2_STD],PRC_COMPONENT_TYPE.05,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_FOIL_S1_STD,오리지널박 합가(완제품가) [COMP_NAMECARD_FOIL_S1_STD],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_FOIL_S1_HOLO,오리지널박 합가(완제품가) [COMP_NAMECARD_FOIL_S1_HOLO],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_FOIL_S2_STD,오리지널박 합가(완제품가) [COMP_NAMECARD_FOIL_S2_STD],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_NAMECARD_FOIL_S2_HOLO,오리지널박 합가(완제품가) [COMP_NAMECARD_FOIL_S2_HOLO],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_PHOTOCARD_BULK,포토카드 단가(완제품가) [COMP_PHOTOCARD_BULK],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_PCB_S1_20P,엽서북 단가(완제품가) [COMP_PCB_S1_20P],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_PCB_S1_30P,엽서북 단가(완제품가) [COMP_PCB_S1_30P],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_PCB_S2_20P,엽서북 단가(완제품가) [COMP_PCB_S2_20P],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_PCB_S2_30P,엽서북 단가(완제품가) [COMP_PCB_S2_30P],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_PHOTOCARD_SET,포토카드 단가(완제품가) [COMP_PHOTOCARD_SET],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_PHOTOCARD_CLEAR_SET,포토카드 단가(완제품가) [COMP_PHOTOCARD_CLEAR_SET],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_TTEOKME,떡메모지 단가(완제품가) [COMP_TTEOKME],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_ARTPRINT_PHOTO,포스터 완제품가(포함항목 통가격) [COMP_POSTER_ARTPRINT_PHOTO],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_ARTPAPER_MATTE,포스터 완제품가(포함항목 통가격) [COMP_POSTER_ARTPAPER_MATTE],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_WATERPROOF_PET,포스터 완제품가(포함항목 통가격) [COMP_POSTER_WATERPROOF_PET],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_ADH_WATERPROOF_PVC,포스터 완제품가(포함항목 통가격) [COMP_POSTER_ADH_WATERPROOF_PVC],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_ADH_CLEAR_PVC,포스터 완제품가(포함항목 통가격) [COMP_POSTER_ADH_CLEAR_PVC],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_ARTFABRIC_GRAPHIC,포스터 완제품가(포함항목 통가격) [COMP_POSTER_ARTFABRIC_GRAPHIC],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_LINEN_FABRIC,포스터 완제품가(포함항목 통가격) [COMP_POSTER_LINEN_FABRIC],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_CANVAS_FABRIC,포스터 완제품가(포함항목 통가격) [COMP_POSTER_CANVAS_FABRIC],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_LEATHER_ARTPRINT,포스터 완제품가(포함항목 통가격) [COMP_POSTER_LEATHER_ARTPRINT],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_TYVEK_PRINT,포스터 완제품가(포함항목 통가격) [COMP_POSTER_TYVEK_PRINT],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_MESH_PRINT,포스터 완제품가(포함항목 통가격) [COMP_POSTER_MESH_PRINT],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_FRAMELESS_WOOD,포스터 완제품가(포함항목 통가격) [COMP_POSTER_FRAMELESS_WOOD],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_LEATHER_FRAME,포스터 완제품가(포함항목 통가격) [COMP_POSTER_LEATHER_FRAME],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_JOKJA,포스터 완제품가(포함항목 통가격) [COMP_POSTER_JOKJA],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_JOKJA_CEILHOOK,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_JOKJA_CEILHOOK],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_CANVAS_HANGING,포스터 완제품가(포함항목 통가격) [COMP_POSTER_CANVAS_HANGING],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_LINEN_WOODBONG,포스터 완제품가(포함항목 통가격) [COMP_POSTER_LINEN_WOODBONG],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_PET_BANNER,포스터 완제품가(포함항목 통가격) [COMP_POSTER_PET_BANNER],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_PET_BANNER_STAND_IN,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_PET_BANNER_STAND_IN],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_PET_BANNER_STAND_OUT_S1,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_PET_BANNER_STAND_OUT_S1],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_PET_BANNER_STAND_OUT_S2,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_PET_BANNER_STAND_OUT_S2],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_MESH_BANNER,포스터 완제품가(포함항목 통가격) [COMP_POSTER_MESH_BANNER],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_BANNER_NORMAL,포스터 완제품가(포함항목 통가격) [COMP_POSTER_BANNER_NORMAL],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_CUTEDGE,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_PROC_CUTEDGE],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_4],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_BANNER_NORMAL_ADD_QBANG_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_ADD_QBANG_4],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_6,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_6],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_BANNER_NORMAL_ADD_STRING_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_ADD_STRING_4],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_8,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_8],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POPT_BNR_GAKMOK_STR_900_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POPT_BNR_GAKMOK_STR_900_4],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_DTAPE,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_PROC_DTAPE],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_BANNER_NORMAL_PROC_BONGSEW,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_NORMAL_PROC_BONGSEW],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_BANNER_MESH,포스터 완제품가(포함항목 통가격) [COMP_POSTER_BANNER_MESH],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_BANNER_MESH_PROC_OPT,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_MESH_PROC_OPT],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_4],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_BANNER_MESH_ADD_QBANG_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_MESH_ADD_QBANG_4],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_6,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_6],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_BANNER_MESH_ADD_STRING_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_MESH_ADD_STRING_4],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_8,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_8],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_MINI_STANDBOARD,포스터 완제품가(포함항목 통가격) [COMP_POSTER_MINI_STANDBOARD],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_MINI_BANNER,포스터 완제품가(포함항목 통가격) [COMP_POSTER_MINI_BANNER],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POPT_BNR_GAKMOK_STR_900_4_LE,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POPT_BNR_GAKMOK_STR_900_4_LE],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POPT_BNR_GAKMOK_STR_900_4_GT,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POPT_BNR_GAKMOK_STR_900_4_GT],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_FOAMBOARD_WHITE,포스터 완제품가(포함항목 통가격) [COMP_POSTER_FOAMBOARD_WHITE],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_FOAMBOARD_BLACK,포스터 완제품가(포함항목 통가격) [COMP_POSTER_FOAMBOARD_BLACK],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_FOMEXBOARD_WHITE3MM,포스터 완제품가(포함항목 통가격) [COMP_POSTER_FOMEXBOARD_WHITE3MM],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_FOMEXBOARD_WHITE5MM,포스터 완제품가(포함항목 통가격) [COMP_POSTER_FOMEXBOARD_WHITE5MM],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_ACRYLSTK_GLOSS,포스터 완제품가(포함항목 통가격) [COMP_POSTER_ACRYLSTK_GLOSS],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_ACRYLSTK_MIRROR,포스터 완제품가(포함항목 통가격) [COMP_POSTER_ACRYLSTK_MIRROR],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_SHEETCUT_MATTE,포스터 완제품가(포함항목 통가격) [COMP_POSTER_SHEETCUT_MATTE],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
COMP_POSTER_SHEETCUT_HOLO,포스터 완제품가(포함항목 통가격) [COMP_POSTER_SHEETCUT_HOLO],PRC_COMPONENT_TYPE.06,round-2 7시트 확대 자동생성,Y
