mallProductNo,productName,productManagementCd,classType,saleStatusType,optionType,textOptionLabels,textOptionCount,huni_token,huni_item,huni_order,분류,조회오류
136009256,레더스트랩키링,PRD_000201,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009254,핀버튼,PRD_000200,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009253,피크닉매트,PRD_000198,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009252,미니매트,PRD_000197,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009250,레더여권케이스,PRD_000196,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009249,벨벳쿠션,PRD_000195,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009247,워터북보틀,PRD_000194,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009246,머그컵,PRD_000193,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009245,규조토코스터,PRD_000192,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009242,린넨패브릭코스터,PRD_000191,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009241,우드코스터,PRD_000190,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009240,코르크코스터,PRD_000189,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009239,레더코스터,PRD_000188,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009237,블랙사각손거울,PRD_000187,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009235,사각손거울,PRD_000186,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009234,카드거울,PRD_000185,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009233,컴팩트거울,PRD_000184,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009231,틴거울,PRD_000183,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009229,아크릴코스터,PRD_000159-DUP-136009229,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009228,맥세이프 스마트톡,PRD_000151,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009227,트레싱지봉투,PRD_000283-DUP-136009227,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009225,라벨/택,PRD_000046-DUP-136009225,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009224,인쇄헤더택,PRD_000045-DUP-136009224,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009223,인쇄배경지(커팅형),PRD_000044-DUP-136009223,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009221,인쇄배경지(일반형),PRD_000043-DUP-136009221,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009219,만년스탬프 리필잉크,PRD_000015-DUP-136009219,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009218,우드행거,PRD_000014-DUP-136009218,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009217,우드봉,PRD_000013-DUP-136009217,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009215,우드거치대,PRD_000012-DUP-136009215,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009213,자석고정용고무판,PRD_000011-DUP-136009213,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009212,행택끈,PRD_000010-DUP-136009212,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009211,투명케이스,PRD_000009-DUP-136009211,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009210,와이어링,PRD_000007-DUP-136009210,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009207,볼체인,PRD_000006-DUP-136009207,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009206,캘린더봉투,PRD_000005-DUP-136009206,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009205,카드봉투,PRD_000004-DUP-136009205,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009203,OPP비접착봉투,PRD_000002-DUP-136009203,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009202,OPP접착봉투,PRD_000001-DUP-136009202,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009200,포토북 [디자인명],PRD_000100-DUP-136009200,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009199,하드커버링책자,PRD_000082,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009198,트윈링책자,PRD_000071-DUP-136009198,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009197,PUR책자,PRD_000070-DUP-136009197,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009196,무선책자,PRD_000069,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009195,중철책자,PRD_000068,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009193,미니배너,PRD_000145-DUP-136009193,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009191,미니보드스탠딩,PRD_000144,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009190,미러아크릴스티커,PRD_000143,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009188,유광아크릴스티커,PRD_000142,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009187,홀로그램 시트커팅,PRD_000141-DUP-136009187,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009186,무광시트커팅,PRD_000140-DUP-136009186,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009185,메쉬현수막,PRD_000139-DUP-136009185,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009182,일반현수막,PRD_000138-DUP-136009182,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009181,메쉬배너,PRD_000137-DUP-136009181,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009180,PET배너,PRD_000136-DUP-136009180,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009179,타이벡북커버,PRD_000218-DUP-136009179,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009177,만년스탬프,PRD_000217,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009175,투명클립보드,PRD_000216,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009174,클립보드,PRD_000215,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009173,자석북마크,PRD_000214,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009172,틴케이스,PRD_000213,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009171,장패드,PRD_000211,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009168,초슬림마우스패드,PRD_000210,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009167,중철노트,PRD_000181,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009166,메모패드,PRD_000179,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009165,스프링수첩,PRD_000178,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009164,스프링노트,PRD_000177,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009162,먼슬리플래너,PRD_000176-DUP-136009162,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009160,만년다이어리(레더소프트커버),PRD_000175-DUP-136009160,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009159,만년다이어리(레더하드커버),PRD_000174-DUP-136009159,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009158,만년다이어리(하드커버),PRD_000173-DUP-136009158,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009157,만년다이어리(소프트커버),PRD_000172-DUP-136009157,DEFAULT,STOP,COMBINATION,,0,N,N,N,둘 다 없음,
136009154,떡메모지,PRD_000097,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
136009153,레더링바인더,PRD_000088,DEFAULT,ONSALE,COMBINATION,huni_order|huni_item,2,N,Y,Y,huni_item 있음,
