comp_cd,comp_nm,use_yn,del_yn,prc_typ_cd,use_dims,price_rows,frm_refs,frms,dsc_refs
COMP_POSTER_LINEN_FABRIC,실사 완제품가 (린넨패브릭포스터),Y,N,PRICE_TYPE.01,"[""siz_width""  ""siz_height""]",52,0,"",0
COMP_POSTER_LINEN_WOODBONG,린넨우드봉족자 출력 가공,Y,N,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",3,0,"",0
COMP_POSTER_MESH_BANNER,메쉬배너 출력가공,Y,N,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",1,0,"",0
COMP_POSTER_MINI_BANNER,미니배너 완제품가,Y,N,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",10,0,"",0
COMP_POSTER_MINI_STANDBOARD,미니보드스탠딩 완제품가,Y,N,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",15,0,"",0
COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,캔버스행잉포스터 우드행거+면끈 추가가격,Y,N,PRICE_TYPE.01,"[""opt_cd""  ""siz_cd""  ""min_qty""  ""opt_grp:OPT_000283""]",3,0,"",0
COMP_POSTEROPT_LINEN_FINISH,린넨 마감가공비,Y,N,PRICE_TYPE.01,"[""opt_cd""  ""min_qty""]",5,0,"",0
COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,린넨우드봉족자 우드봉+면끈,Y,N,PRICE_TYPE.01,"[""opt_cd""  ""siz_cd""  ""min_qty""  ""opt_grp:OPT_000266""]",3,0,"",0
COMP_POSTER_PET_BANNER,PET배너 출력가공,Y,N,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",1,0,"",0
COMP_POSTER_SHEETCUT_HOLO,홀로그램 시트커팅 완제품가,Y,N,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",3,0,"",0
COMP_POSTER_SHEETCUT_MATTE,무광시트커팅 완제품가,Y,N,PRICE_TYPE.01,"[""siz_cd""  ""min_qty""]",6,0,"",0
COMP_STK_PRINT,스티커 완제품가(소재·규격),Y,N,PRICE_TYPE.01,"[""siz_cd""  ""mat_cd""  ""min_qty""]",5424,1,PRF_STK_FIXED,0
COMP_STK_TATTOO,타투스티커 완제품가(3장세트),Y,N,PRICE_TYPE.02,"[""siz_cd""  ""mat_cd""  ""min_qty""]",333,0,"",0
