comp_cd,siz_width,siz_height,min_qty,unit_price,apply_ymd,note
POSTER_PLACARD_PRINT,1200.00,1200.00,1,11520.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1200.00,1400.00,1,13440.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1200.00,1600.00,1,15360.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1200.00,1800.00,1,17280.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1200.00,2000.00,1,19200.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1200.00,2200.00,1,21120.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1200.00,2400.00,1,23040.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1200.00,2600.00,1,24960.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1200.00,2800.00,1,26880.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1200.00,3000.00,1,28800.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1200.00,3500.00,1,33600.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1200.00,4000.00,1,38400.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1200.00,4500.00,1,43200.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1200.00,5000.00,1,48000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,900.00,1,10800.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,1000.00,1,12000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,1200.00,1,14400.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,1400.00,1,16800.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,1600.00,1,19200.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,1800.00,1,21600.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,2000.00,1,24000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,2200.00,1,26400.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,2400.00,1,28800.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,2600.00,1,31200.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,2800.00,1,33600.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,3000.00,1,36000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,3500.00,1,42000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,4000.00,1,48000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,4500.00,1,54000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1500.00,5000.00,1,60000.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,900.00,1,12960.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,1000.00,1,14400.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,1200.00,1,17280.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,1400.00,1,20160.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,1600.00,1,23040.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,1800.00,1,25920.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,2000.00,1,28800.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,2200.00,1,31680.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,2400.00,1,34560.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,2600.00,1,37440.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,2800.00,1,40320.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,3000.00,1,43200.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,3500.00,1,50400.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,4000.00,1,57600.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,4500.00,1,64800.00,2026-09-02,권위 포스터사인 r287~r303
POSTER_PLACARD_PRINT,1750.00,5000.00,1,72000.00,2026-09-02,권위 포스터사인 r287~r303
