frm_cd,frm_nm,comp_cd,comp_nm,disp_seq,addtn_yn
PRF_POSTER_LINEN_WOODBONG,린넨 우드봉 족자 완제품가(면적/규격 단가),POSTER_HANGINGLINEN_ADDON,포스터_린넨우드봉_부자재,,""
PRF_POSTER_LINEN_WOODBONG,린넨 우드봉 족자 완제품가(면적/규격 단가),POSTER_HANGINGLINEN_PRINT,포스터_린넨우드봉_제작가,,""
PRF_POSTER_MESH,메쉬프린트 완제품가(면적/규격 단가),POSTER_MESH_PRINT,포스터_메쉬_출력가,,""
PRF_POSTER_MESH_BANNER,메쉬배너 완제품가(면적/규격 단가),POSTER_MESHBANNER_PRINT,포스터_메쉬배너_제작가,,""
PRF_POSTER_MINI_BANNER,미니배너 완제품가(면적/규격 단가),POSTER_MINIBANNER_FINAL,포스터_미니배너_제작가,,""
PRF_POSTER_MINI_STANDBOARD,미니보드스탠딩 완제품가(면적/규격 단가),POSTER_MINIBOARD_FINAL,포스터_미니스탠딩보드_제작가,,""
PRF_POSTER_PET_BANNER,PET배너 완제품가(면적/규격 단가),POSTER_PETBANNER_PRINT,포스터_PET배너_제작가,,""
PRF_POSTER_SHEETCUT_HOLO,홀로그램 시트커팅 완제품가(면적/규격 단가),POSTER_SHEETCUT_FINAL,포스터_시트커팅_제작가,,""
PRF_POSTER_SHEETCUT_MATTE,무광시트커팅 완제품가(면적/규격 단가),POSTER_SHEETCUT_FINAL,포스터_시트커팅_제작가,,""
PRF_POSTER_TYVEK,타이벡프린트 완제품가(면적/규격 단가),POSTER_TYVEK_PRINT,포스터_타이벡_출력가,,""
PRF_POSTER_WATERPROOF,방수포스터 완제품가(면적/규격 단가),POSTER_PET_PRINT,포스터_PET_출력가,,""
PRF_STK_FIXED,스티커 규격/소재/수량별 단가,COMP_STK_PRINT,스티커 완제품가(소재·규격),1,Y
PRF_STK_TATTOO,타투스티커 합가형(3장당 4000),STK_TATTOO_SETUP,스티커_타투_기본가,1,""
PRF_STK_TATTOO,타투스티커 합가형(3장당 4000),STK_TATTOO_PRINT,스티커_타투_제작가,2,""
PRF_ZIBITZ_ACRYL,아크릴지비츠 가공단가,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,,""
