prd_cd,cat_cd,main_cat_yn,disp_seq,note,reg_dt,upd_dt
PRD_000046,CAT_000296,N,1, | 정정 2026-06-14: 고아 296 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:19:45.620232
PRD_000280,CAT_000306,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000172,CAT_000300,N,1, | 정정 2026-06-14: 고아 300 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:56.302643
PRD_000173,CAT_000300,N,1, | 정정 2026-06-14: 고아 300 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:56.302643
PRD_000174,CAT_000300,N,1, | 정정 2026-06-14: 고아 300 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:56.302643
PRD_000175,CAT_000300,N,1, | 정정 2026-06-14: 고아 300 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:56.302643
PRD_000176,CAT_000300,N,1, | 정정 2026-06-14: 고아 300 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:56.302643
PRD_000120,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000121,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000122,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000123,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000124,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000125,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000126,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000127,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000128,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000129,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000130,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000131,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000132,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000133,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000134,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000135,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000136,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000137,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000138,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000139,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000140,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000141,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000142,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000143,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000144,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000145,CAT_000298,N,1, | 정정 2026-06-14: 고아 298(실사) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:01.490467
PRD_000149,CAT_000299,N,1, | 정정 2026-06-14: 고아 299(단품형) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:03.284375
PRD_000150,CAT_000299,N,1, | 정정 2026-06-14: 고아 299(단품형) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:03.284375
PRD_000151,CAT_000299,N,1, | 정정 2026-06-14: 고아 299(단품형) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:03.284375
PRD_000152,CAT_000299,N,1, | 정정 2026-06-14: 고아 299(단품형) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:03.284375
PRD_000153,CAT_000299,N,1, | 정정 2026-06-14: 고아 299(단품형) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:03.284375
PRD_000154,CAT_000299,N,1, | 정정 2026-06-14: 고아 299(단품형) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:03.284375
PRD_000155,CAT_000299,N,1, | 정정 2026-06-14: 고아 299(단품형) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:03.284375
PRD_000156,CAT_000299,N,1, | 정정 2026-06-14: 고아 299(단품형) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:03.284375
PRD_000157,CAT_000299,N,1, | 정정 2026-06-14: 고아 299(단품형) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:03.284375
PRD_000158,CAT_000299,N,1, | 정정 2026-06-14: 고아 299(단품형) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:03.284375
PRD_000159,CAT_000299,N,1, | 정정 2026-06-14: 고아 299(단품형) 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:03.284375
PRD_000211,CAT_000302,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000212,CAT_000302,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000213,CAT_000302,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000214,CAT_000302,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000215,CAT_000302,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000216,CAT_000302,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000217,CAT_000302,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000219,CAT_000303,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000220,CAT_000303,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000221,CAT_000304,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000222,CAT_000304,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000223,CAT_000304,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000224,CAT_000304,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000225,CAT_000304,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000226,CAT_000304,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000227,CAT_000304,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000228,CAT_000304,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000230,CAT_000305,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000231,CAT_000305,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000232,CAT_000305,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000233,CAT_000305,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000234,CAT_000305,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000235,CAT_000305,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000236,CAT_000305,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000237,CAT_000305,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000238,CAT_000305,N,1, | 정정 2026-06-14: 고아 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-13 23:58:04.134566
PRD_000004,CAT_000293,N,1, | 정정 2026-06-14: 고아 293 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:57.367324
PRD_000005,CAT_000293,N,1, | 정정 2026-06-14: 고아 293 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:57.367324
PRD_000006,CAT_000293,N,1, | 정정 2026-06-14: 고아 293 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:57.367324
PRD_000007,CAT_000293,N,1, | 정정 2026-06-14: 고아 293 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:57.367324
PRD_000008,CAT_000293,N,1, | 정정 2026-06-14: 고아 293 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:57.367324
PRD_000009,CAT_000293,N,1, | 정정 2026-06-14: 고아 293 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:57.367324
PRD_000010,CAT_000293,N,1, | 정정 2026-06-14: 고아 293 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:57.367324
PRD_000011,CAT_000293,N,1, | 정정 2026-06-14: 고아 293 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:57.367324
PRD_000012,CAT_000293,N,1, | 정정 2026-06-14: 고아 293 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:57.367324
PRD_000013,CAT_000293,N,1, | 정정 2026-06-14: 고아 293 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:57.367324
PRD_000014,CAT_000293,N,1, | 정정 2026-06-14: 고아 293 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:57.367324
PRD_000015,CAT_000293,N,1, | 정정 2026-06-14: 고아 293 메인 해제(정상 노드로 이전),2026-06-03 12:46:02.974607,2026-06-14 00:23:57.367324
