이전사이트상품,사이트URL,엑셀prd_nm,prd_cd,prd_typ,상품군,종이류여부,판형대상,매칭상태,비고
떡메모지,product/list.asp?pcode=55,떡메모지,PRD_000097,PRD_TYPE.01,책자,Y,Y,완전매칭,
,,,PRD_000098,PRD_TYPE.02,책자,N,N,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.01)
,,라벨/택,PRD_000046,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,레더라벨제작,PRD_000280,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 링바인더,PRD_000088,PRD_TYPE.01,책자,N,N,완전매칭,
,,,PRD_000092,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.03)
,,,PRD_000091,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.03)
,,,PRD_000093,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.03)
,,,PRD_000090,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.03)
,,,PRD_000089,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.02)
,,레더 볼륨 미니파우치,PRD_000254,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 볼륨 파우치,PRD_000233,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 볼륨 필통,PRD_000259,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 삼각 미니파우치,PRD_000253,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 삼각 클러치,PRD_000237,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 삼각 파우치,PRD_000232,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 삼각 필통,PRD_000258,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더숄더백,PRD_000264,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더스트랩키링,PRD_000201,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 스트링 원형파우치,PRD_000235,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 스트링 파우치,PRD_000234,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 슬림 미니파우치,PRD_000252,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 슬림 파우치,PRD_000231,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 슬림 필통,PRD_000257,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 아이패드/노트북 파우치,PRD_000238,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더아트액자,PRD_000132,PRD_TYPE.01,실사,N,N,완전매칭,
,,레더아트프린트,PRD_000126,PRD_TYPE.01,실사,N,N,완전매칭,
,,레더여권케이스,PRD_000196,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 원형 미니파우치,PRD_000255,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 원형 필통,PRD_000260,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더코스터,PRD_000188,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더토트백,PRD_000263,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 플랫 미니파우치,PRD_000251,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 플랫 클러치,PRD_000236,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 플랫 파우치,PRD_000230,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 플랫 필통,PRD_000256,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,레더 하드커버책자,PRD_000077,PRD_TYPE.01,책자,Y,Y,완전매칭,
,,,PRD_000081,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.03)
,,,PRD_000080,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.03)
,,,PRD_000079,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.03)
,,,PRD_000078,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.02)
,,린넨 미니에코백,PRD_000265,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,린넨 스트링 파우치,PRD_000243,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,린넨 에코백,PRD_000267,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,린넨 우드봉 족자,PRD_000134,PRD_TYPE.01,실사,N,N,완전매칭,
,,린넨 토트백,PRD_000266,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,린넨패브릭코스터,PRD_000191,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
린넨 패브릭포스터,product/list.asp?pcode=73,린넨패브릭포스터,PRD_000124,PRD_TYPE.01,실사,N,N,완전매칭,
,,링바인더 (보류중),,,책자,Y,Y,엑셀-only,
,,만년다이어리(레더소프트커버),PRD_000175,PRD_TYPE.01,문구,Y,Y,완전매칭,
,,만년다이어리(레더하드커버),PRD_000174,PRD_TYPE.01,문구,Y,Y,완전매칭,
,,만년다이어리(소프트커버),PRD_000172,PRD_TYPE.01,문구,Y,Y,완전매칭,
,,만년다이어리(하드커버),PRD_000173,PRD_TYPE.01,문구,Y,Y,완전매칭,
,,만년스탬프,PRD_000217,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,만년스탬프 리필잉크,PRD_000015,PRD_TYPE.03,상품악세사리,N,N,완전매칭,기성상품(제조없음)
,,말랑네임택,PRD_000224,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,말랑여권케이스,PRD_000225,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,말랑증사홀더,PRD_000222,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,말랑키링,PRD_000221,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,말랑포카홀더,PRD_000223,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,맥세이프 스마트톡,PRD_000151,PRD_TYPE.01,아크릴,N,N,완전매칭,
,,머그컵,PRD_000193,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,먼슬리플래너,PRD_000176,PRD_TYPE.01,문구,Y,Y,완전매칭,
,,메모패드,PRD_000179,PRD_TYPE.01,문구,Y,Y,완전매칭,
,,메모패드(내지커스텀) 준비중,PRD_000180,PRD_TYPE.03,문구,Y,Y,완전매칭,기성상품(제조없음)
,,메쉬배너,PRD_000137,PRD_TYPE.01,실사,N,N,완전매칭,
,,메쉬볼륨파우치,PRD_000250,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,메쉬슬림파우치,PRD_000249,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,메쉬 에코백,PRD_000279,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,정규화매칭(엑셀명=메쉬 에코백)
,,메쉬 토트백,PRD_000278,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,메쉬프린트,PRD_000128,PRD_TYPE.01,실사,N,N,완전매칭,
,,메쉬현수막,PRD_000139,PRD_TYPE.01,실사,N,N,완전매칭,
모양명함,product/list.asp?pcode=57,모양명함,PRD_000035,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,모양엽서,PRD_000023,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,무광시트커팅,PRD_000140,PRD_TYPE.01,실사,N,N,완전매칭,
,,무선책자,PRD_000069,PRD_TYPE.01,책자,Y,Y,완전매칭,
,,미니CD앨범,PRD_000204,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,미니매트,PRD_000197,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,미니모양명함,PRD_000036,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
미니배너,product/list.asp?pcode=18,미니배너,PRD_000145,PRD_TYPE.01,실사,N,N,완전매칭,
,,미니보드스탠딩,PRD_000144,PRD_TYPE.01,실사,N,N,완전매칭,
,,미니우치와키링,PRD_000227,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,미니접지카드,PRD_000028,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,미니탁상형캘린더,PRD_000109,PRD_TYPE.01,캘린더,Y,Y,완전매칭,
,,미러아크릴스티커,PRD_000143,PRD_TYPE.01,실사,N,N,완전매칭,
,,반칼띠지스티커,PRD_000061,PRD_TYPE.01,스티커,Y,Y,완전매칭,
,,반칼원형스티커,PRD_000058,PRD_TYPE.01,스티커,Y,Y,완전매칭,
반칼(자유형)스티커,product/list.asp?pcode=84,반칼 자유형 스티커,PRD_000052,PRD_TYPE.01,스티커,Y,Y,완전매칭,
,,반칼 자유형 투명스티커,PRD_000053,PRD_TYPE.01,스티커,N,N,완전매칭,
,,반칼 자유형 홀로그램스티커,PRD_000054,PRD_TYPE.01,스티커,N,N,완전매칭,
,,반칼정사각스티커,PRD_000059,PRD_TYPE.01,스티커,Y,Y,완전매칭,
,,반칼직사각스티커,PRD_000060,PRD_TYPE.01,스티커,Y,Y,완전매칭,
,,반칼팬시스티커,PRD_000062,PRD_TYPE.01,스티커,Y,Y,완전매칭,
,,반칼팬시투명스티커,PRD_000063,PRD_TYPE.01,스티커,N,N,완전매칭,
,,반팔티셔츠,PRD_000206,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,방수포스터,PRD_000120,PRD_TYPE.01,실사,N,N,완전매칭,
,,밴드톡,PRD_000219,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,버즈케이스★,,,굿즈파우치,N,N,엑셀-only,
,,벨벳쿠션,PRD_000195,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,벽걸이캘린더,PRD_000111,PRD_TYPE.01,캘린더,Y,Y,완전매칭,
,,볼체인,PRD_000006,PRD_TYPE.03,상품악세사리,N,N,완전매칭,기성상품(제조없음)
,,봉투제작,PRD_000050,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,블랙사각손거울,PRD_000187,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,블랙젤리,,,굿즈파우치,N,N,엑셀-only,
,,사각손거울,PRD_000186,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,소량자유형스티커,PRD_000064,PRD_TYPE.01,스티커,Y,Y,완전매칭,
,,소량전단지,PRD_000047,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,스탠다드명함,PRD_000033,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,스탠다드엽서,PRD_000018,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,스탠다드 쿠폰/상품권,PRD_000041,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
스티커팩,product/list.asp?pcode=81,스티커팩,PRD_000065,PRD_TYPE.01,스티커,Y,Y,완전매칭,
,,스프링노트,PRD_000177,PRD_TYPE.02,문구,Y,Y,완전매칭,반제품(셋트구성원 semi=)
,,스프링수첩,PRD_000178,PRD_TYPE.01,문구,Y,Y,완전매칭,
,,슬로건,PRD_000208,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,슬림하드 폰케이스,,,굿즈파우치,N,N,엑셀-only,
,,썬캡,PRD_000051,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,아크릴네임택,PRD_000157,PRD_TYPE.01,아크릴,N,N,완전매칭,
아크릴마그넷,product/list.asp?pcode=78,아크릴마그넷,PRD_000147,PRD_TYPE.01,아크릴,N,N,완전매칭,
,,아크릴 머리끈,PRD_000154,PRD_TYPE.01,아크릴,N,N,완전매칭,
,,아크릴명찰,PRD_000152,PRD_TYPE.01,아크릴,N,N,완전매칭,
,,아크릴명찰(골드실버),PRD_000153,PRD_TYPE.01,아크릴,N,N,완전매칭,
아크릴 미니파츠,product/list.asp?pcode=98,아크릴미니파츠,PRD_000163,PRD_TYPE.01,아크릴,N,N,완전매칭,
아크릴뱃지,product/list.asp?pcode=75,아크릴뱃지,PRD_000148,PRD_TYPE.01,아크릴,N,N,완전매칭,
아크릴볼펜,product/list.asp?pcode=95,아크릴볼펜,PRD_000155,PRD_TYPE.01,아크릴,N,N,완전매칭,
,,,PRD_000170,PRD_TYPE.01,아크릴,N,N,라이브-only,
,,아크릴쉐이커코롯토,PRD_000226,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,아크릴스마트톡,PRD_000150,PRD_TYPE.01,아크릴,N,N,완전매칭,
,,,PRD_000169,PRD_TYPE.01,아크릴,N,N,라이브-only,
,,,PRD_000168,PRD_TYPE.01,아크릴,N,N,라이브-only,
아크릴 자유형 스탠드,product/list.asp?pcode=97,아크릴자유형스탠드,PRD_000160,PRD_TYPE.01,아크릴,N,N,완전매칭,
,,아크릴지비츠,PRD_000156,PRD_TYPE.01,아크릴,N,N,완전매칭,
아크릴집게,product/list.asp?pcode=93,아크릴집게,PRD_000149,PRD_TYPE.01,아크릴,N,N,완전매칭,
,,아크릴카라비너,PRD_000166,PRD_TYPE.01,아크릴,N,N,완전매칭,
,,아크릴코롯토,PRD_000164,PRD_TYPE.01,아크릴,N,N,완전매칭,
,,아크릴 코스터,PRD_000159,PRD_TYPE.01,아크릴,N,N,완전매칭,
,,아크릴키링,PRD_000146,PRD_TYPE.01,아크릴,N,N,완전매칭,
아크릴 포카 스탠드,product/list.asp?pcode=100,아크릴포카스탠드,PRD_000162,PRD_TYPE.01,아크릴,N,N,완전매칭,
,,아크릴 포카키링,PRD_000158,PRD_TYPE.01,아크릴,N,N,완전매칭,
,,아트패브릭포스터,PRD_000123,PRD_TYPE.01,실사,N,N,완전매칭,
,,아트페이퍼포스터,PRD_000119,PRD_TYPE.01,실사,Y,Y,완전매칭,
,,아트프린트포스터,PRD_000118,PRD_TYPE.01,실사,Y,Y,완전매칭,
,,양말,PRD_000205,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,에어팟케이스★,,,굿즈파우치,N,N,엑셀-only,
엽서북,product/list.asp?pcode=53,엽서북,PRD_000094,PRD_TYPE.01,책자,Y,Y,완전매칭,
,,,PRD_000095,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.01)
,,,PRD_000096,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.02)
,,엽서캘린더,PRD_000110,PRD_TYPE.01,캘린더,Y,Y,완전매칭,
,,오리지널박명함,PRD_000037,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,와이드벽걸이캘린더,PRD_000112,PRD_TYPE.01,캘린더,Y,Y,완전매칭,
,,와이드 접지리플렛,PRD_000049,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,와이어링,PRD_000007,PRD_TYPE.03,상품악세사리,N,N,완전매칭,기성상품(제조없음)
,,우드거치대,PRD_000012,PRD_TYPE.03,상품악세사리,N,N,완전매칭,기성상품(제조없음)
,,우드봉,PRD_000013,PRD_TYPE.03,상품악세사리,N,N,완전매칭,기성상품(제조없음)
,,우드코스터,PRD_000190,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,우드행거,PRD_000014,PRD_TYPE.03,상품악세사리,N,N,완전매칭,기성상품(제조없음)
,,워터북보틀,PRD_000194,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,유광아크릴스티커,PRD_000142,PRD_TYPE.01,실사,N,N,완전매칭,
,,이미지피켓,PRD_000229,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,인쇄배경지(OPP봉투타입),PRD_000043,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,인쇄배경지(투명케이스타입),PRD_000044,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,인쇄헤더택,PRD_000045,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,일반현수막,PRD_000138,PRD_TYPE.01,실사,N,N,완전매칭,
,,임팩트 젤하드,,,굿즈파우치,N,N,엑셀-only,
,,자석고정용고무판,PRD_000011,PRD_TYPE.03,상품악세사리,N,N,완전매칭,기성상품(제조없음)
,,자석북마크,PRD_000214,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,장패드,PRD_000211,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,접지리플렛,PRD_000048,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,접착방수포스터,PRD_000121,PRD_TYPE.01,실사,N,N,완전매칭,
,,접착투명포스터,PRD_000122,PRD_TYPE.01,실사,N,N,완전매칭,
,,족자포스터,PRD_000135,PRD_TYPE.01,실사,N,N,완전매칭,
,,종이슬로건,PRD_000026,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,중철노트,PRD_000181,PRD_TYPE.01,문구,Y,Y,완전매칭,
,,중철책자,PRD_000068,PRD_TYPE.01,책자,Y,Y,완전매칭,
지그재그엽서,product/list.asp?pcode=52,지그재그엽서,PRD_000030,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,,PRD_000171,PRD_TYPE.01,굿즈파우치,N,N,라이브-only,
,,천정고리,PRD_000008,PRD_TYPE.03,상품악세사리,N,N,완전매칭,기성상품(제조없음)
,,초슬림마우스패드,PRD_000210,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,카드거울,PRD_000185,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,카드봉투,PRD_000004,PRD_TYPE.03,상품악세사리,Y,Y,완전매칭,기성상품(제조없음)
,,,PRD_000282,PRD_TYPE.03,상품악세사리,Y,Y,라이브-only,기성상품(제조없음)
,,,PRD_000281,PRD_TYPE.03,상품악세사리,Y,Y,라이브-only,기성상품(제조없음)
,,캔버스 삼각 파우치,PRD_000240,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,캔버스 삼각 필통,PRD_000262,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,캔버스숄더백,PRD_000271,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,캔버스 스트랩 라벨파우치,PRD_000241,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,캔버스심플백,PRD_000268,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,캔버스에코백,PRD_000270,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,캔버스패브릭포스터,PRD_000125,PRD_TYPE.01,실사,N,N,완전매칭,
,,캔버스 포켓숄더백,PRD_000272,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,캔버스 포켓심플백,PRD_000269,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,캔버스 플랫 파우치,PRD_000239,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,캔버스 플랫 필통,PRD_000261,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,캔버스 행잉포스터,PRD_000133,PRD_TYPE.01,실사,N,N,완전매칭,
,,캘린더봉투,PRD_000005,PRD_TYPE.03,상품악세사리,Y,Y,완전매칭,기성상품(제조없음)
,,컴팩트거울,PRD_000184,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,코르크코스터,PRD_000189,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,코팅명함,PRD_000032,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
코팅엽서,product/list.asp?pcode=50,코팅엽서,PRD_000017,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,클립보드,PRD_000215,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,키캡키링,PRD_000202,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,타이벡 보냉 미니백,PRD_000275,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,타이벡보냉보틀백,PRD_000274,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,타이벡 보냉에코백,PRD_000277,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,타이벡북커버,PRD_000218,PRD_TYPE.03,굿즈파우치,N,N,완전매칭,기성상품(제조없음)
,,타이벡 삼각 파우치,PRD_000246,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,타이벡 스트링 파우치,PRD_000247,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,타이벡 슬림 파우치,PRD_000245,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,타이벡 양면 백팩,PRD_000273,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,타이벡 에코백,PRD_000276,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,타이벡프린트,PRD_000127,PRD_TYPE.01,실사,N,N,완전매칭,
,,타이벡 플랫 클러치,PRD_000248,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,타이벡 플랫 파우치,PRD_000244,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
타투스티커,product/list.asp?pcode=82,타투스티커,PRD_000067,PRD_TYPE.01,스티커,Y,Y,완전매칭,
,,탁상형캘린더,PRD_000108,PRD_TYPE.01,캘린더,Y,Y,완전매칭,
,,투명명함,PRD_000039,PRD_TYPE.01,디지털인쇄,N,N,완전매칭,
,,투명부채,PRD_000199,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
투명엽서,product/list.asp?pcode=71,투명엽서,PRD_000019,PRD_TYPE.01,디지털인쇄,N,N,완전매칭,
,,투명케이스,PRD_000009,PRD_TYPE.03,상품악세사리,N,N,완전매칭,기성상품(제조없음)
,,투명클립보드,PRD_000216,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,투명포스터★,,,실사,N,N,엑셀-only,
,,투명포토카드,PRD_000025,PRD_TYPE.01,디지털인쇄,N,N,완전매칭,
,,트래싱지 카드봉투,PRD_000003,PRD_TYPE.03,상품악세사리,Y,Y,완전매칭,기성상품(제조없음)
,,,PRD_000283,PRD_TYPE.03,상품악세사리,Y,Y,라이브-only,기성상품(제조없음)
,,트윈링책자,PRD_000071,PRD_TYPE.01,책자,Y,Y,완전매칭,
,,틴거울,PRD_000183,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,틴케이스,PRD_000213,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
판아크릴,product/list.asp?pcode=99,판아크릴,PRD_000161,PRD_TYPE.01,아크릴,N,N,완전매칭,
,,펄명함,PRD_000034,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,포맥스보드,PRD_000130,PRD_TYPE.01,실사,N,N,완전매칭,
,,포카코롯토,PRD_000165,PRD_TYPE.01,아크릴,N,N,완전매칭,
,,포토북 [디자인명],PRD_000100,PRD_TYPE.01,포토북,Y,Y,완전매칭,
,,,PRD_000101,PRD_TYPE.02,포토북,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.01)
,,,PRD_000104,PRD_TYPE.02,포토북,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.03)
,,,PRD_000106,PRD_TYPE.02,포토북,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.02)
,,,PRD_000105,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.02)
,,,PRD_000107,PRD_TYPE.02,포토북,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.02)
,,,PRD_000103,PRD_TYPE.02,포토북,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.02)
,,,PRD_000102,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.02)
포토카드,product/list.asp?pcode=102,포토카드,PRD_000024,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,폰스트랩,PRD_000220,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,폼보드,PRD_000129,PRD_TYPE.01,실사,N,N,완전매칭,
,,프레임리스우드액자,PRD_000131,PRD_TYPE.01,실사,N,N,완전매칭,
,,프리미엄명함,PRD_000031,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,프리미엄엽서,PRD_000016,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,프리미엄 쿠폰/상품권,PRD_000042,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,피크닉매트,PRD_000198,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,핀버튼,PRD_000200,PRD_TYPE.01,굿즈파우치,N,N,완전매칭,
,,핑크별색엽서,PRD_000021,PRD_TYPE.01,디지털인쇄,Y,Y,완전매칭,
,,하드커버 링책자,PRD_000082,PRD_TYPE.01,책자,Y,Y,완전매칭,
,,,PRD_000086,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.03)
,,,PRD_000085,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.03)
,,,PRD_000087,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.03)
,,,PRD_000084,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.03)
,,,PRD_000083,PRD_TYPE.02,책자,Y,Y,라이브-only,반제품(셋트구성원 semi=SEMI_ROLE.02)
