group,width_mm,height_mm,wxh,match_status,existing_siz_cd,products
ACRYL,80,140,80x140,REVERSED,SIZ_000045,투명아크릴3T
ACRYL,80,160,80x160,REVERSED,SIZ_000046,투명아크릴3T
ACRYL,80,180,80x180,EXACT,SIZ_000081,투명아크릴3T
ACRYL,80,200,80x200,NONE,,투명아크릴3T
ACRYL,90,20,90x20,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,90,30,90x30,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,90,40,90x40,EXACT,SIZ_000242,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,90,50,90x50,EXACT,SIZ_000008,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,90,60,90x60,EXACT,SIZ_000245,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,90,70,90x70,EXACT,SIZ_000247,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,90,80,90x80,EXACT,SIZ_000249,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,90,90,90x90,EXACT,SIZ_000119,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,90,100,90x100,EXACT,SIZ_000018,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,90,120,90x120,EXACT,SIZ_000082,투명아크릴3T
ACRYL,90,140,90x140,NONE,,투명아크릴3T
ACRYL,90,160,90x160,NONE,,투명아크릴3T
ACRYL,90,180,90x180,NONE,,투명아크릴3T
ACRYL,90,200,90x200,NONE,,투명아크릴3T
ACRYL,100,20,100x20,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,100,30,100x30,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,100,40,100x40,EXACT,SIZ_000449,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,100,50,100x50,EXACT,SIZ_000243,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,100,60,100x60,EXACT,SIZ_000147,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,100,70,100x70,EXACT,SIZ_000246,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,100,80,100x80,EXACT,SIZ_000248,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,100,90,100x90,EXACT,SIZ_000017,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,100,100,100x100,EXACT,SIZ_000002,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,100,120,100x120,NONE,,투명아크릴3T
ACRYL,100,140,100x140,EXACT,SIZ_000058,투명아크릴3T
ACRYL,100,160,100x160,NONE,,투명아크릴3T
ACRYL,100,180,100x180,NONE,,투명아크릴3T
ACRYL,100,200,100x200,EXACT,SIZ_000084,투명아크릴3T
ACRYL,120,20,120x20,NONE,,투명아크릴3T
ACRYL,120,30,120x30,NONE,,투명아크릴3T
ACRYL,120,40,120x40,NONE,,투명아크릴3T
ACRYL,120,50,120x50,EXACT,SIZ_000365,투명아크릴3T
ACRYL,120,60,120x60,EXACT,SIZ_000357,투명아크릴3T
ACRYL,120,70,120x70,REVERSED,SIZ_000266,투명아크릴3T
ACRYL,120,80,120x80,REVERSED,SIZ_000080,투명아크릴3T
ACRYL,120,90,120x90,EXACT,SIZ_000358,투명아크릴3T
ACRYL,120,100,120x100,NONE,,투명아크릴3T
ACRYL,120,120,120x120,EXACT,SIZ_000359,투명아크릴3T
ACRYL,120,140,120x140,NONE,,투명아크릴3T
ACRYL,120,160,120x160,NONE,,투명아크릴3T
ACRYL,120,180,120x180,EXACT,SIZ_000361,투명아크릴3T
ACRYL,120,200,120x200,NONE,,투명아크릴3T
ACRYL,140,20,140x20,NONE,,투명아크릴3T
ACRYL,140,30,140x30,NONE,,투명아크릴3T
ACRYL,140,40,140x40,NONE,,투명아크릴3T
ACRYL,140,50,140x50,NONE,,투명아크릴3T
ACRYL,140,60,140x60,NONE,,투명아크릴3T
ACRYL,140,70,140x70,NONE,,투명아크릴3T
ACRYL,140,80,140x80,EXACT,SIZ_000045,투명아크릴3T
ACRYL,140,90,140x90,NONE,,투명아크릴3T
ACRYL,140,100,140x100,EXACT,SIZ_000067,투명아크릴3T
ACRYL,140,120,140x120,NONE,,투명아크릴3T
ACRYL,140,140,140x140,NONE,,투명아크릴3T
ACRYL,140,160,140x160,NONE,,투명아크릴3T
ACRYL,140,180,140x180,EXACT,SIZ_000092,투명아크릴3T
ACRYL,140,200,140x200,EXACT,SIZ_000093,투명아크릴3T
ACRYL,160,20,160x20,NONE,,투명아크릴3T
ACRYL,160,30,160x30,NONE,,투명아크릴3T
ACRYL,160,40,160x40,NONE,,투명아크릴3T
ACRYL,160,50,160x50,NONE,,투명아크릴3T
ACRYL,160,60,160x60,NONE,,투명아크릴3T
ACRYL,160,70,160x70,NONE,,투명아크릴3T
ACRYL,160,80,160x80,EXACT,SIZ_000046,투명아크릴3T
ACRYL,160,90,160x90,NONE,,투명아크릴3T
ACRYL,160,100,160x100,NONE,,투명아크릴3T
ACRYL,160,120,160x120,NONE,,투명아크릴3T
ACRYL,160,140,160x140,NONE,,투명아크릴3T
ACRYL,160,160,160x160,NONE,,투명아크릴3T
ACRYL,160,180,160x180,NONE,,투명아크릴3T
ACRYL,160,200,160x200,NONE,,투명아크릴3T
ACRYL,180,20,180x20,NONE,,투명아크릴3T
ACRYL,180,30,180x30,NONE,,투명아크릴3T
ACRYL,180,40,180x40,NONE,,투명아크릴3T
ACRYL,180,50,180x50,NONE,,투명아크릴3T
ACRYL,180,60,180x60,NONE,,투명아크릴3T
ACRYL,180,70,180x70,NONE,,투명아크릴3T
ACRYL,180,80,180x80,REVERSED,SIZ_000081,투명아크릴3T
ACRYL,180,90,180x90,NONE,,투명아크릴3T
ACRYL,180,100,180x100,NONE,,투명아크릴3T
ACRYL,180,120,180x120,REVERSED,SIZ_000361,투명아크릴3T
ACRYL,180,140,180x140,REVERSED,SIZ_000092,투명아크릴3T
ACRYL,180,160,180x160,NONE,,투명아크릴3T
ACRYL,180,180,180x180,NONE,,투명아크릴3T
ACRYL,180,200,180x200,NONE,,투명아크릴3T
ACRYL,200,20,200x20,NONE,,투명아크릴3T
ACRYL,200,30,200x30,NONE,,투명아크릴3T
ACRYL,200,40,200x40,NONE,,투명아크릴3T
ACRYL,200,50,200x50,NONE,,투명아크릴3T
ACRYL,200,60,200x60,NONE,,투명아크릴3T
ACRYL,200,70,200x70,REVERSED,SIZ_000078,투명아크릴3T
ACRYL,200,80,200x80,NONE,,투명아크릴3T
ACRYL,200,90,200x90,NONE,,투명아크릴3T
ACRYL,200,100,200x100,REVERSED,SIZ_000084,투명아크릴3T
ACRYL,200,120,200x120,NONE,,투명아크릴3T
ACRYL,200,140,200x140,REVERSED,SIZ_000093,투명아크릴3T
ACRYL,200,160,200x160,NONE,,투명아크릴3T
ACRYL,200,180,200x180,NONE,,투명아크릴3T
ACRYL,200,200,200x200,EXACT,SIZ_000269,투명아크릴3T
POSTER,600,600,600x600,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,600,800,600x800,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,600,1000,600x1000,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
