paper_name,pyung,mat_cd,mat_match_kind,matched_mat_nm,price_g4,price_g3,status_g4,status_g3
유광코팅스티커,90,MAT_000156,reuse,유광코팅스티커,217,,to_insert,
미색매트지,80,MAT_000158,reuse,미색매트지,167,,to_insert,
리무벌아트지 90g,90,MAT_000160,reuse(평량접미제거),리무벌아트지,175,,to_insert,
수분리스티커,80,MAT_000161,reuse,수분리스티커,175,,to_insert,
투명스티커,105,MAT_000162,reuse,투명스티커,1300,,to_insert,
홀로그램스티커,50,MAT_000163,reuse,홀로그램스티커,936,,to_insert,
크라프트 스티커,57,MAT_000164,reuse,크라프트 스티커,312,,to_insert,
레더하드커버 A5,X,MAT_000174,reuse,레더하드커버 A5,4000,,매핑미상(자재 del_yn=Y·사람 확인),
레더하드커버 A4,X,MAT_000175,reuse,레더하드커버 A4,7000,,매핑미상(자재 del_yn=Y·사람 확인),
인바이런먼트 아이론 352g,,,not_paper_price,,,,skip(no절가),
그문드컬러매트 블루300,,,not_paper_price,,,,skip(no절가),
마테리카 클레이 360g,,,not_paper_price,,,,skip(no절가),
마테리카테라로사360,,,not_paper_price,,,,skip(no절가),
리메이크스카이380,,,not_paper_price,,,,skip(no절가),
유포지 + 엠보코팅,X,,not_paper_price,,,,skip(no절가),
투명접착 PVC,X,,not_paper_price,,,,skip(no절가),
타투전용지,X,,not_paper_price,,,,skip(no절가),
모조 120g,120,,not_paper_price,,,,skip(no절가),
레자크체크백색 110g,110,,not_paper_price,,,,skip(no절가),
레자크줄무늬백색 110g,110,,not_paper_price,,,,skip(no절가),
무광코팅스티커,90,,not_paper_price,,,,skip(no절가),
유광코팅스티커,90,,not_paper_price,,,,skip(no절가),
비코팅스티커,90,,not_paper_price,,,,skip(no절가),
유포스티커,80,,not_paper_price,,,,skip(no절가),
투명데드롱스티커,25,,not_paper_price,,,,skip(no절가),
은데드롱스티커,25,,not_paper_price,,,,skip(no절가),
하드커버전용지+무광코팅,X,,not_paper_price,,,,skip(no절가),
인화지,X,,not_paper_price,,,,skip(no절가),
매트지,X,,not_paper_price,,,,skip(no절가),
PET,X,,not_paper_price,,,,skip(no절가),
유포지,X,,not_paper_price,,,,skip(no절가),
PVC,X,,not_paper_price,,,,skip(no절가),
투명PVC,X,,not_paper_price,,,,skip(no절가),
그래픽천,X,,not_paper_price,,,,skip(no절가),
현수막천,X,,not_paper_price,,,,skip(no절가),
메쉬,X,,not_paper_price,,,,skip(no절가),
린넨,X,,not_paper_price,,,,skip(no절가),
캔버스(옥스포드),X,,not_paper_price,,,,skip(no절가),
레더(화이트),X,,not_paper_price,,,,skip(no절가),
타이벡(하드),X,,not_paper_price,,,,skip(no절가),
타이벡(소프트),X,,not_paper_price,,,,skip(no절가),
화이트,X,,not_paper_price,,,,skip(no절가),
블랙,X,,not_paper_price,,,,skip(no절가),
홀로그램,X,,not_paper_price,,,,skip(no절가),
투명아크릴,3mm,,not_paper_price,,,,skip(no절가),
투명아크릴,1.5mm,,not_paper_price,,,,skip(no절가),
화이트아크릴,3mm,,not_paper_price,,,,skip(no절가),
블랙아크릴,3mm,,not_paper_price,,,,skip(no절가),
골드아크릴,3mm,,not_paper_price,,,,skip(no절가),
실버아크릴,3mm,,not_paper_price,,,,skip(no절가),
