verdict,deunggeup,clr,plt_grade,side,min_qty,auth_value,live_value,comp_cd,src_ref,comp_price_id
match,흑백(1도),흑백,3절,단면,350,140,140,COMP_PRINT_DIGITAL_S1,B91,40977
match,흑백(1도),흑백,3절,단면,400,120,120,COMP_PRINT_DIGITAL_S1,B92,40978
match,흑백(1도),흑백,3절,단면,450,110,110,COMP_PRINT_DIGITAL_S1,B93,40979
match,흑백(1도),흑백,3절,단면,500,95,95,COMP_PRINT_DIGITAL_S1,B94,40980
match,흑백(1도),흑백,3절,단면,600,95,95,COMP_PRINT_DIGITAL_S1,B95,40981
match,흑백(1도),흑백,3절,단면,700,95,95,COMP_PRINT_DIGITAL_S1,B96,40982
match,흑백(1도),흑백,3절,단면,800,95,95,COMP_PRINT_DIGITAL_S1,B97,40983
match,흑백(1도),흑백,3절,단면,900,95,95,COMP_PRINT_DIGITAL_S1,B98,40984
match,흑백(1도),흑백,3절,단면,1000,95,95,COMP_PRINT_DIGITAL_S1,B99,40985
match,흑백(1도),흑백,3절,단면,1200,95,95,COMP_PRINT_DIGITAL_S1,B100,40986
match,흑백(1도),흑백,3절,단면,1400,88,88,COMP_PRINT_DIGITAL_S1,B101,40987
match,흑백(1도),흑백,3절,단면,1600,88,88,COMP_PRINT_DIGITAL_S1,B102,40988
match,흑백(1도),흑백,3절,단면,1800,81,81,COMP_PRINT_DIGITAL_S1,B103,40989
match,흑백(1도),흑백,3절,단면,2000,81,81,COMP_PRINT_DIGITAL_S1,B104,40990
match,흑백(1도),흑백,3절,단면,2500,75,75,COMP_PRINT_DIGITAL_S1,B105,40991
match,흑백(1도),흑백,3절,단면,3000,75,75,COMP_PRINT_DIGITAL_S1,B106,40992
match,흑백(1도),흑백,3절,단면,3500,68,68,COMP_PRINT_DIGITAL_S1,B107,40993
match,흑백(1도),흑백,3절,단면,4000,68,68,COMP_PRINT_DIGITAL_S1,B108,40994
match,흑백(1도),흑백,3절,단면,4500,61,61,COMP_PRINT_DIGITAL_S1,B109,40995
match,흑백(1도),흑백,3절,단면,5000,61,61,COMP_PRINT_DIGITAL_S1,B110,40996
match,흑백(1도),흑백,3절,단면,6000,54,54,COMP_PRINT_DIGITAL_S1,B111,40997
match,흑백(1도),흑백,3절,단면,7000,54,54,COMP_PRINT_DIGITAL_S1,B112,40998
match,흑백(1도),흑백,3절,단면,8000,54,54,COMP_PRINT_DIGITAL_S1,B113,40999
match,흑백(1도),흑백,3절,단면,9000,54,54,COMP_PRINT_DIGITAL_S1,B114,41000
match,흑백(1도),흑백,3절,단면,10000,54,54,COMP_PRINT_DIGITAL_S1,B115,41001
match,흑백(1도),흑백,3절,단면,1000000,54,54,COMP_PRINT_DIGITAL_S1,B116,41002
match,흑백(1도),흑백,3절,양면,1,5000,5000,COMP_PRINT_DIGITAL_S1,C64,41250
match,흑백(1도),흑백,3절,양면,2,2900,2900,COMP_PRINT_DIGITAL_S1,C65,41251
match,흑백(1도),흑백,3절,양면,3,2500,2500,COMP_PRINT_DIGITAL_S1,C66,41252
match,흑백(1도),흑백,3절,양면,4,2200,2200,COMP_PRINT_DIGITAL_S1,C67,41253
match,흑백(1도),흑백,3절,양면,5,2000,2000,COMP_PRINT_DIGITAL_S1,C68,41254
match,흑백(1도),흑백,3절,양면,6,1900,1900,COMP_PRINT_DIGITAL_S1,C69,41255
match,흑백(1도),흑백,3절,양면,7,1700,1700,COMP_PRINT_DIGITAL_S1,C70,41256
match,흑백(1도),흑백,3절,양면,8,1500,1500,COMP_PRINT_DIGITAL_S1,C71,41257
match,흑백(1도),흑백,3절,양면,9,1300,1300,COMP_PRINT_DIGITAL_S1,C72,41258
match,흑백(1도),흑백,3절,양면,10,1200,1200,COMP_PRINT_DIGITAL_S1,C73,41259
match,흑백(1도),흑백,3절,양면,15,1200,1200,COMP_PRINT_DIGITAL_S1,C74,41260
match,흑백(1도),흑백,3절,양면,20,1080,1080,COMP_PRINT_DIGITAL_S1,C75,41261
match,흑백(1도),흑백,3절,양면,25,950,950,COMP_PRINT_DIGITAL_S1,C76,41262
match,흑백(1도),흑백,3절,양면,30,810,810,COMP_PRINT_DIGITAL_S1,C77,41263
match,흑백(1도),흑백,3절,양면,35,760,760,COMP_PRINT_DIGITAL_S1,C78,41264
match,흑백(1도),흑백,3절,양면,40,680,680,COMP_PRINT_DIGITAL_S1,C79,41265
match,흑백(1도),흑백,3절,양면,45,680,680,COMP_PRINT_DIGITAL_S1,C80,41266
match,흑백(1도),흑백,3절,양면,50,680,680,COMP_PRINT_DIGITAL_S1,C81,41267
match,흑백(1도),흑백,3절,양면,60,540,540,COMP_PRINT_DIGITAL_S1,C82,41268
match,흑백(1도),흑백,3절,양면,70,540,540,COMP_PRINT_DIGITAL_S1,C83,41269
match,흑백(1도),흑백,3절,양면,80,540,540,COMP_PRINT_DIGITAL_S1,C84,41270
match,흑백(1도),흑백,3절,양면,90,540,540,COMP_PRINT_DIGITAL_S1,C85,41271
match,흑백(1도),흑백,3절,양면,100,540,540,COMP_PRINT_DIGITAL_S1,C86,41272
match,흑백(1도),흑백,3절,양면,150,380,380,COMP_PRINT_DIGITAL_S1,C87,41273
match,흑백(1도),흑백,3절,양면,200,350,350,COMP_PRINT_DIGITAL_S1,C88,41274
match,흑백(1도),흑백,3절,양면,250,330,330,COMP_PRINT_DIGITAL_S1,C89,41275
match,흑백(1도),흑백,3절,양면,300,300,300,COMP_PRINT_DIGITAL_S1,C90,41276
match,흑백(1도),흑백,3절,양면,350,270,270,COMP_PRINT_DIGITAL_S1,C91,41277
match,흑백(1도),흑백,3절,양면,400,250,250,COMP_PRINT_DIGITAL_S1,C92,41278
match,흑백(1도),흑백,3절,양면,450,220,220,COMP_PRINT_DIGITAL_S1,C93,41279
match,흑백(1도),흑백,3절,양면,500,190,190,COMP_PRINT_DIGITAL_S1,C94,41280
match,흑백(1도),흑백,3절,양면,600,190,190,COMP_PRINT_DIGITAL_S1,C95,41281
match,흑백(1도),흑백,3절,양면,700,190,190,COMP_PRINT_DIGITAL_S1,C96,41282
match,흑백(1도),흑백,3절,양면,800,190,190,COMP_PRINT_DIGITAL_S1,C97,41283
match,흑백(1도),흑백,3절,양면,900,190,190,COMP_PRINT_DIGITAL_S1,C98,41284
match,흑백(1도),흑백,3절,양면,1000,190,190,COMP_PRINT_DIGITAL_S1,C99,41285
match,흑백(1도),흑백,3절,양면,1200,190,190,COMP_PRINT_DIGITAL_S1,C100,41286
match,흑백(1도),흑백,3절,양면,1400,180,180,COMP_PRINT_DIGITAL_S1,C101,41287
match,흑백(1도),흑백,3절,양면,1600,180,180,COMP_PRINT_DIGITAL_S1,C102,41288
match,흑백(1도),흑백,3절,양면,1800,160,160,COMP_PRINT_DIGITAL_S1,C103,41289
match,흑백(1도),흑백,3절,양면,2000,160,160,COMP_PRINT_DIGITAL_S1,C104,41290
match,흑백(1도),흑백,3절,양면,2500,150,150,COMP_PRINT_DIGITAL_S1,C105,41291
match,흑백(1도),흑백,3절,양면,3000,150,150,COMP_PRINT_DIGITAL_S1,C106,41292
match,흑백(1도),흑백,3절,양면,3500,135,135,COMP_PRINT_DIGITAL_S1,C107,41293
match,흑백(1도),흑백,3절,양면,4000,135,135,COMP_PRINT_DIGITAL_S1,C108,41294
match,흑백(1도),흑백,3절,양면,4500,122,122,COMP_PRINT_DIGITAL_S1,C109,41295
match,흑백(1도),흑백,3절,양면,5000,122,122,COMP_PRINT_DIGITAL_S1,C110,41296
match,흑백(1도),흑백,3절,양면,6000,108,108,COMP_PRINT_DIGITAL_S1,C111,41297
match,흑백(1도),흑백,3절,양면,7000,108,108,COMP_PRINT_DIGITAL_S1,C112,41298
match,흑백(1도),흑백,3절,양면,8000,108,108,COMP_PRINT_DIGITAL_S1,C113,41299
match,흑백(1도),흑백,3절,양면,9000,108,108,COMP_PRINT_DIGITAL_S1,C114,41300
match,흑백(1도),흑백,3절,양면,10000,108,108,COMP_PRINT_DIGITAL_S1,C115,41301
match,흑백(1도),흑백,3절,양면,1000000,108,108,COMP_PRINT_DIGITAL_S1,C116,41302
match,별색,별색-금색,국4절,단면,1,3000,3000,COMP_PRINT_SPOT_WHITE_S1,L4,7737
match,별색,별색-금색,국4절,단면,2,2500,2500,COMP_PRINT_SPOT_WHITE_S1,L5,7738
match,별색,별색-금색,국4절,단면,3,2300,2300,COMP_PRINT_SPOT_WHITE_S1,L6,7739
match,별색,별색-금색,국4절,단면,4,2300,2300,COMP_PRINT_SPOT_WHITE_S1,L7,7740
match,별색,별색-금색,국4절,단면,5,2100,2100,COMP_PRINT_SPOT_WHITE_S1,L8,7741
match,별색,별색-금색,국4절,단면,6,2000,2000,COMP_PRINT_SPOT_WHITE_S1,L9,7742
match,별색,별색-금색,국4절,단면,7,1900,1900,COMP_PRINT_SPOT_WHITE_S1,L10,7743
match,별색,별색-금색,국4절,단면,8,1800,1800,COMP_PRINT_SPOT_WHITE_S1,L11,7744
match,별색,별색-금색,국4절,단면,9,1700,1700,COMP_PRINT_SPOT_WHITE_S1,L12,7745
match,별색,별색-금색,국4절,단면,10,1600,1600,COMP_PRINT_SPOT_WHITE_S1,L13,7746
match,별색,별색-금색,국4절,단면,15,1500,1500,COMP_PRINT_SPOT_WHITE_S1,L14,7747
match,별색,별색-금색,국4절,단면,20,1450,1450,COMP_PRINT_SPOT_WHITE_S1,L15,7748
match,별색,별색-금색,국4절,단면,25,1400,1400,COMP_PRINT_SPOT_WHITE_S1,L16,7749
match,별색,별색-금색,국4절,단면,30,1350,1350,COMP_PRINT_SPOT_WHITE_S1,L17,7750
match,별색,별색-금색,국4절,단면,35,1300,1300,COMP_PRINT_SPOT_WHITE_S1,L18,7751
match,별색,별색-금색,국4절,단면,40,1250,1250,COMP_PRINT_SPOT_WHITE_S1,L19,7752
match,별색,별색-금색,국4절,단면,45,1200,1200,COMP_PRINT_SPOT_WHITE_S1,L20,7753
match,별색,별색-금색,국4절,단면,50,1150,1150,COMP_PRINT_SPOT_WHITE_S1,L21,7754
match,별색,별색-금색,국4절,단면,60,1150,1150,COMP_PRINT_SPOT_WHITE_S1,L22,7755
match,별색,별색-금색,국4절,단면,70,1100,1100,COMP_PRINT_SPOT_WHITE_S1,L23,7756
match,별색,별색-금색,국4절,단면,80,1050,1050,COMP_PRINT_SPOT_WHITE_S1,L24,7757
match,별색,별색-금색,국4절,단면,90,1000,1000,COMP_PRINT_SPOT_WHITE_S1,L25,7758
match,별색,별색-금색,국4절,단면,100,950,950,COMP_PRINT_SPOT_WHITE_S1,L26,7759
match,별색,별색-금색,국4절,단면,150,900,900,COMP_PRINT_SPOT_WHITE_S1,L27,7760
match,별색,별색-금색,국4절,단면,200,850,850,COMP_PRINT_SPOT_WHITE_S1,L28,7761
match,별색,별색-금색,국4절,단면,250,810,810,COMP_PRINT_SPOT_WHITE_S1,L29,7762
match,별색,별색-금색,국4절,단면,300,770,770,COMP_PRINT_SPOT_WHITE_S1,L30,7763
match,별색,별색-금색,국4절,단면,350,730,730,COMP_PRINT_SPOT_WHITE_S1,L31,7764
match,별색,별색-금색,국4절,단면,400,690,690,COMP_PRINT_SPOT_WHITE_S1,L32,7765
match,별색,별색-금색,국4절,단면,450,650,650,COMP_PRINT_SPOT_WHITE_S1,L33,7766
match,별색,별색-금색,국4절,단면,500,610,610,COMP_PRINT_SPOT_WHITE_S1,L34,7767
match,별색,별색-금색,국4절,단면,600,590,590,COMP_PRINT_SPOT_WHITE_S1,L35,7768
match,별색,별색-금색,국4절,단면,700,570,570,COMP_PRINT_SPOT_WHITE_S1,L36,7769
match,별색,별색-금색,국4절,단면,800,550,550,COMP_PRINT_SPOT_WHITE_S1,L37,7770
match,별색,별색-금색,국4절,단면,900,530,530,COMP_PRINT_SPOT_WHITE_S1,L38,7771
match,별색,별색-금색,국4절,단면,1000,510,510,COMP_PRINT_SPOT_WHITE_S1,L39,7772
match,별색,별색-금색,국4절,단면,1200,500,500,COMP_PRINT_SPOT_WHITE_S1,L40,7773
match,별색,별색-금색,국4절,단면,1400,500,500,COMP_PRINT_SPOT_WHITE_S1,L41,7774
